eps,agent_0_reward,agent_1_reward
0,-132.0,63.0
1,-119.0,92.0
2,-108.0,90.0
3,-117.0,92.0
4,-123.0,89.0
5,-116.0,91.0
6,-118.0,92.0
7,-132.0,92.0
8,-132.0,90.0
9,-145.0,88.0
10,-121.0,88.0
11,-126.0,89.0
12,-185.0,92.0
13,-133.0,92.0
14,-116.0,92.0
15,-132.0,92.0
16,-213.0,92.0
17,-163.0,92.0
18,40.0,92.0
19,-102.0,92.0
20,-102.0,92.0
21,-102.0,92.0
22,-102.0,92.0
23,-102.0,90.0
24,-103.0,87.0
25,-102.0,92.0
26,-102.0,92.0
27,-102.0,91.0
28,-102.0,92.0
29,-102.0,91.0
30,-111.0,92.0
31,-104.0,88.0
32,-103.0,89.0
33,-102.0,88.0
34,-102.0,90.0
35,-103.0,92.0
36,-102.0,92.0
37,-102.0,90.0
38,-102.0,92.0
39,-108.0,92.0
40,83.0,92.0
41,-120.0,92.0
42,81.0,92.0
43,-111.0,92.0
44,82.0,87.0
45,83.0,91.0
46,82.0,92.0
47,82.0,92.0
48,80.0,90.0
49,80.0,92.0
50,-110.0,90.0
51,83.0,92.0
52,-115.0,92.0
53,81.0,91.0
54,80.0,92.0
55,81.0,90.0
56,82.0,90.0
57,81.0,90.0
58,78.0,91.0
