eps,agent_0_reward,agent_1_reward
0,-108.0,-142.0
1,-122.0,-143.0
2,-111.0,-159.0
3,-130.0,-113.0
4,-114.0,-129.0
5,-110.0,-144.0
6,-126.0,-147.0
7,-139.0,-124.0
8,-106.0,-146.0
9,-115.0,-140.0
10,-129.0,-182.0
11,-111.0,-170.0
12,-162.0,9.0
13,-130.0,83.0
14,-144.0,73.0
15,-125.0,84.0
16,59.0,80.0
17,80.0,65.0
18,79.0,86.0
19,-102.0,-111.0
20,-102.0,77.0
21,-102.0,85.0
22,58.0,87.0
23,82.0,90.0
24,-114.0,90.0
25,-108.0,90.0
26,-109.0,90.0
27,-116.0,83.0
28,-145.0,90.0
29,-129.0,88.0
30,-112.0,89.0
31,-111.0,87.0
32,-137.0,88.0
33,-129.0,83.0
34,-157.0,90.0
35,42.0,88.0
36,83.0,90.0
37,78.0,90.0
38,75.0,89.0
39,-119.0,88.0
40,-109.0,90.0
41,-169.0,89.0
42,-120.0,90.0
43,-129.0,90.0
44,-8.0,90.0
45,83.0,90.0
46,79.0,90.0
47,-114.0,89.0
48,79.0,90.0
49,81.0,90.0
50,83.0,90.0
51,78.0,90.0
52,83.0,90.0
53,82.0,89.0
54,-117.0,90.0
55,83.0,90.0
56,82.0,88.0
57,81.0,87.0
58,66.0,90.0
