eps,agent_0_reward,agent_1_reward
0,-132.0,84.0
1,-136.0,92.0
2,-113.0,88.0
3,-105.0,91.0
4,-132.0,90.0
5,-104.0,92.0
6,-132.0,90.0
7,-131.0,89.0
8,-124.0,92.0
9,-124.0,90.0
10,-124.0,-107.0
11,-208.0,90.0
12,-148.0,90.0
13,-128.0,91.0
14,-200.0,92.0
15,-118.0,92.0
16,-131.0,91.0
17,72.0,92.0
18,84.0,90.0
19,-106.0,89.0
20,-113.0,92.0
21,-104.0,92.0
22,-112.0,92.0
23,-116.0,90.0
24,-119.0,90.0
25,-110.0,92.0
26,-132.0,92.0
27,76.0,90.0
28,87.0,90.0
29,87.0,92.0
30,75.0,91.0
31,87.0,92.0
32,87.0,92.0
33,84.0,91.0
34,87.0,-110.0
35,-111.0,92.0
36,83.0,80.0
37,87.0,92.0
38,86.0,92.0
39,-106.0,92.0
40,-107.0,91.0
41,-113.0,88.0
42,-131.0,88.0
43,-167.0,80.0
44,-119.0,92.0
45,-164.0,88.0
46,-146.0,91.0
47,-199.0,92.0
48,69.0,90.0
49,86.0,92.0
50,84.0,88.0
51,-135.0,81.0
52,65.0,92.0
53,84.0,89.0
54,85.0,81.0
55,83.0,92.0
56,85.0,92.0
57,85.0,92.0
58,85.0,90.0
