eps,agent_0_reward,agent_1_reward
0,-123.0,-142.0
1,-115.0,-111.0
2,-115.0,-153.0
3,-125.0,-151.0
4,-116.0,-121.0
5,-113.0,-127.0
6,-114.0,-163.0
7,-115.0,-150.0
8,-110.0,-118.0
9,-165.0,-157.0
10,-136.0,-124.0
11,-145.0,87.0
12,-120.0,92.0
13,-153.0,91.0
14,-113.0,92.0
15,-116.0,92.0
16,-107.0,92.0
17,-164.0,92.0
18,-109.0,90.0
19,-148.0,92.0
20,-132.0,91.0
21,-109.0,92.0
22,-112.0,91.0
23,70.0,92.0
24,81.0,91.0
25,-123.0,92.0
26,-153.0,92.0
27,-108.0,92.0
28,58.0,91.0
29,71.0,-121.0
30,83.0,92.0
31,82.0,-135.0
32,81.0,-122.0
33,83.0,71.0
34,81.0,86.0
35,81.0,88.0
36,-107.0,90.0
37,81.0,91.0
38,78.0,-106.0
39,-103.0,91.0
40,-128.0,92.0
41,-151.0,92.0
42,65.0,91.0
43,80.0,92.0
44,-109.0,92.0
45,-201.0,92.0
46,71.0,88.0
47,80.0,89.0
48,83.0,92.0
49,83.0,92.0
50,81.0,92.0
51,81.0,92.0
52,83.0,91.0
53,-201.0,92.0
54,82.0,92.0
55,80.0,92.0
56,81.0,91.0
57,81.0,90.0
58,76.0,92.0
