eps,agent_0_reward,agent_1_reward
0,-128.0,-125.0
1,-118.0,-124.0
2,-105.0,-115.0
3,-118.0,-127.0
4,-116.0,-114.0
5,-132.0,-139.0
6,-136.0,-185.0
7,-115.0,-167.0
8,-179.0,-141.0
9,-105.0,-159.0
10,-208.0,-149.0
11,-133.0,48.0
12,-116.0,90.0
13,-138.0,90.0
14,-154.0,90.0
15,-134.0,92.0
16,-127.0,90.0
17,-122.0,90.0
18,-114.0,88.0
19,-102.0,90.0
20,-136.0,90.0
21,-117.0,88.0
22,-125.0,80.0
23,-104.0,90.0
24,-150.0,86.0
25,-147.0,88.0
26,-117.0,90.0
27,-131.0,89.0
28,41.0,90.0
29,85.0,87.0
30,83.0,90.0
31,83.0,90.0
32,81.0,82.0
33,81.0,90.0
34,80.0,89.0
35,85.0,-108.0
36,83.0,88.0
37,85.0,90.0
38,83.0,90.0
39,-110.0,-107.0
40,-110.0,-105.0
41,-113.0,-103.0
42,-113.0,-103.0
43,-110.0,-103.0
44,-110.0,-103.0
45,-110.0,-103.0
46,-111.0,-103.0
47,-110.0,-104.0
48,-110.0,-105.0
49,-114.0,-103.0
50,-110.0,-103.0
51,-112.0,-103.0
52,-110.0,-103.0
53,-111.0,-103.0
54,-110.0,-104.0
55,-113.0,-103.0
56,-112.0,-105.0
57,-116.0,-103.0
58,-110.0,-103.0
