eps,agent_0_reward,agent_1_reward
0,-114.0,57.0
1,-122.0,84.0
2,-107.0,91.0
3,-118.0,92.0
4,-111.0,92.0
5,-104.0,84.0
6,-134.0,89.0
7,-118.0,92.0
8,-122.0,91.0
9,-114.0,92.0
10,-139.0,91.0
11,-115.0,89.0
12,-103.0,89.0
13,-177.0,-108.0
14,-139.0,92.0
15,-114.0,92.0
16,-133.0,92.0
17,33.0,92.0
18,79.0,86.0
19,81.0,89.0
20,83.0,92.0
21,82.0,90.0
22,79.0,91.0
23,83.0,91.0
24,-102.0,92.0
25,83.0,89.0
26,83.0,92.0
27,85.0,92.0
28,87.0,92.0
29,87.0,92.0
30,89.0,92.0
31,89.0,92.0
32,88.0,88.0
33,88.0,92.0
34,89.0,92.0
35,82.0,92.0
36,87.0,79.0
37,89.0,92.0
38,89.0,90.0
39,-106.0,-109.0
40,-112.0,-107.0
41,-106.0,-108.0
42,-108.0,-108.0
43,-106.0,-109.0
44,-107.0,-107.0
45,-107.0,-107.0
46,-107.0,-107.0
47,-106.0,-107.0
48,-106.0,-107.0
49,-106.0,-107.0
50,-107.0,-107.0
51,-106.0,-107.0
52,-106.0,-107.0
53,-108.0,-107.0
54,-106.0,-107.0
55,-106.0,-107.0
56,-106.0,-107.0
57,-107.0,-113.0
58,-107.0,-107.0
