eps,agent_0_reward,agent_1_reward
0,40.0,88.0
1,91.0,92.0
2,-104.0,91.0
3,91.0,92.0
4,90.0,90.0
5,91.0,89.0
6,91.0,88.0
7,90.0,89.0
8,91.0,92.0
9,91.0,83.0
10,90.0,90.0
11,-109.0,92.0
12,91.0,92.0
13,91.0,85.0
14,91.0,86.0
15,89.0,90.0
16,91.0,90.0
17,91.0,92.0
18,-105.0,79.0
19,-102.0,-106.0
20,-102.0,-106.0
21,-102.0,-107.0
22,-102.0,-106.0
23,-102.0,-107.0
24,-102.0,-108.0
25,-102.0,-108.0
26,-102.0,-108.0
27,-104.0,-107.0
28,-102.0,-108.0
29,-102.0,-106.0
30,-102.0,-106.0
31,-102.0,-112.0
32,-102.0,-106.0
33,-102.0,-112.0
34,-102.0,-106.0
35,-102.0,-109.0
36,-102.0,-106.0
37,-102.0,-106.0
38,-102.0,-108.0
39,-105.0,-107.0
40,-110.0,-108.0
41,-105.0,-107.0
42,-105.0,-109.0
43,-109.0,-107.0
44,-105.0,-111.0
45,-108.0,-107.0
46,-107.0,-107.0
47,-105.0,-111.0
48,-105.0,-107.0
49,-111.0,-109.0
50,-105.0,-107.0
51,-105.0,-107.0
52,-105.0,-107.0
53,-110.0,-109.0
54,-105.0,-107.0
55,-106.0,-107.0
56,-105.0,-107.0
57,-107.0,-107.0
58,-105.0,-117.0
