eps,agent_0_reward,agent_1_reward
0,-107.0,-117.0
1,-117.0,-198.0
2,-117.0,-127.0
3,-114.0,-132.0
4,-107.0,-119.0
5,-111.0,-139.0
6,-115.0,-175.0
7,-121.0,-119.0
8,-139.0,37.0
9,-115.0,92.0
10,51.0,92.0
11,89.0,91.0
12,88.0,86.0
13,89.0,92.0
14,88.0,89.0
15,89.0,92.0
16,88.0,91.0
17,89.0,89.0
18,89.0,92.0
19,-105.0,-106.0
20,-105.0,-106.0
21,-107.0,-109.0
22,-108.0,-106.0
23,-105.0,-106.0
24,-106.0,-108.0
25,-106.0,-106.0
26,-105.0,-113.0
27,-105.0,-106.0
28,-106.0,-106.0
29,-102.0,-104.0
30,-105.0,-106.0
31,-107.0,-106.0
32,-105.0,-106.0
33,-105.0,-118.0
34,-107.0,-106.0
35,-106.0,-107.0
36,-105.0,-106.0
37,-108.0,-107.0
38,-105.0,-106.0
39,-107.0,-103.0
40,-106.0,-103.0
41,-106.0,-103.0
42,-106.0,-103.0
43,-107.0,-104.0
44,-106.0,-103.0
45,-107.0,-103.0
46,-110.0,-103.0
47,-106.0,-103.0
48,-106.0,-103.0
49,-106.0,-103.0
50,-106.0,-103.0
51,-106.0,-103.0
52,-108.0,-103.0
53,-106.0,-103.0
54,-106.0,-103.0
55,-106.0,-103.0
56,-106.0,-104.0
57,-106.0,-103.0
58,-106.0,-104.0
