eps,agent_0_reward,agent_1_reward
0,-114.0,-121.0
1,64.0,-119.0
2,91.0,-149.0
3,91.0,-109.0
4,-111.0,-149.0
5,-115.0,51.0
6,-112.0,89.0
7,-122.0,74.0
8,-117.0,87.0
9,-110.0,87.0
10,-105.0,-117.0
11,-142.0,89.0
12,-128.0,90.0
13,-145.0,-113.0
14,-131.0,89.0
15,-120.0,91.0
16,-107.0,92.0
17,-182.0,92.0
18,-137.0,89.0
19,-110.0,92.0
20,-107.0,92.0
21,-161.0,87.0
22,-110.0,92.0
23,-109.0,92.0
24,-163.0,91.0
25,54.0,90.0
26,87.0,92.0
27,85.0,91.0
28,-111.0,74.0
29,-130.0,90.0
30,-130.0,92.0
31,-118.0,92.0
32,-125.0,92.0
33,-126.0,92.0
34,30.0,90.0
35,80.0,90.0
36,73.0,92.0
37,-122.0,92.0
38,53.0,92.0
39,71.0,92.0
40,78.0,92.0
41,79.0,69.0
42,83.0,92.0
43,76.0,85.0
44,83.0,91.0
45,-106.0,92.0
46,81.0,-106.0
47,77.0,87.0
48,82.0,92.0
49,83.0,90.0
50,83.0,92.0
51,82.0,92.0
52,82.0,92.0
53,82.0,92.0
54,79.0,92.0
55,83.0,91.0
56,79.0,90.0
57,79.0,92.0
58,-108.0,92.0
