eps,agent_0_reward,agent_1_reward
0,-122.0,70.0
1,-110.0,86.0
2,-125.0,-125.0
3,-106.0,-146.0
4,-112.0,72.0
5,-106.0,91.0
6,-134.0,91.0
7,-109.0,92.0
8,-122.0,92.0
9,59.0,88.0
10,74.0,90.0
11,78.0,90.0
12,-112.0,91.0
13,-182.0,-110.0
14,-123.0,92.0
15,55.0,92.0
16,79.0,92.0
17,79.0,92.0
18,77.0,77.0
19,-104.0,80.0
20,-134.0,92.0
21,82.0,-105.0
22,82.0,92.0
23,-117.0,91.0
24,-105.0,-115.0
25,-132.0,87.0
26,-114.0,92.0
27,-109.0,92.0
28,-106.0,92.0
29,-170.0,92.0
30,-128.0,92.0
31,-116.0,92.0
32,-184.0,91.0
33,-111.0,92.0
34,-151.0,91.0
35,-152.0,87.0
36,-170.0,90.0
37,-184.0,90.0
38,-120.0,92.0
39,-166.0,-107.0
40,-129.0,-111.0
41,-113.0,-122.0
42,-144.0,-129.0
43,-168.0,-121.0
44,-140.0,-106.0
45,-210.0,20.0
46,-117.0,90.0
47,-139.0,90.0
48,-114.0,83.0
49,53.0,79.0
50,87.0,88.0
51,85.0,88.0
52,86.0,75.0
53,89.0,77.0
54,80.0,88.0
55,87.0,85.0
56,87.0,84.0
57,87.0,86.0
58,86.0,86.0
