eps,agent_0_reward,agent_1_reward
0,-115.0,-193.0
1,-115.0,-114.0
2,-132.0,-115.0
3,-121.0,-152.0
4,-106.0,76.0
5,-122.0,88.0
6,-144.0,92.0
7,-111.0,92.0
8,-103.0,92.0
9,-133.0,88.0
10,-108.0,92.0
11,-139.0,90.0
12,-136.0,92.0
13,-109.0,91.0
14,-140.0,92.0
15,-148.0,92.0
16,-180.0,92.0
17,-116.0,90.0
18,-116.0,92.0
19,-108.0,92.0
20,-116.0,77.0
21,-111.0,92.0
22,-132.0,91.0
23,-103.0,92.0
24,-136.0,90.0
25,-202.0,92.0
26,-108.0,91.0
27,-134.0,-111.0
28,-181.0,92.0
29,-113.0,-111.0
30,-185.0,91.0
31,-111.0,92.0
32,-181.0,-128.0
33,73.0,-108.0
34,81.0,92.0
35,-134.0,92.0
36,83.0,90.0
37,76.0,92.0
38,82.0,88.0
39,83.0,92.0
40,81.0,92.0
41,-116.0,92.0
42,83.0,86.0
43,81.0,92.0
44,81.0,92.0
45,82.0,90.0
46,69.0,92.0
47,76.0,92.0
48,83.0,92.0
49,83.0,92.0
50,81.0,92.0
51,83.0,92.0
52,83.0,90.0
53,81.0,-107.0
54,82.0,92.0
55,71.0,90.0
56,83.0,88.0
57,79.0,90.0
58,83.0,92.0
