eps,agent_0_reward,agent_1_reward
0,-128.0,-137.0
1,-120.0,-115.0
2,-104.0,80.0
3,-103.0,92.0
4,-118.0,88.0
5,-145.0,89.0
6,-127.0,92.0
7,-105.0,88.0
8,-124.0,92.0
9,-147.0,92.0
10,-158.0,88.0
11,-115.0,91.0
12,-165.0,92.0
13,-136.0,92.0
14,-130.0,92.0
15,-159.0,88.0
16,84.0,92.0
17,91.0,89.0
18,91.0,-107.0
19,-102.0,-106.0
20,-102.0,-107.0
21,-102.0,-106.0
22,-102.0,-109.0
23,-102.0,-106.0
24,-107.0,-112.0
25,-102.0,-106.0
26,-102.0,-109.0
27,-102.0,-106.0
28,-102.0,-106.0
29,-102.0,-106.0
30,-102.0,-106.0
31,-102.0,-106.0
32,-102.0,-106.0
33,-102.0,-108.0
34,-102.0,-106.0
35,-102.0,-108.0
36,-102.0,-106.0
37,-103.0,-110.0
38,-103.0,-106.0
39,-111.0,-107.0
40,-109.0,-107.0
41,-108.0,-107.0
42,-109.0,-108.0
43,-107.0,-107.0
44,-108.0,-121.0
45,-108.0,-109.0
46,-108.0,-107.0
47,-108.0,-107.0
48,-114.0,-107.0
49,-108.0,-109.0
50,-108.0,-111.0
51,-108.0,-108.0
52,-116.0,-107.0
53,-110.0,-107.0
54,-109.0,-107.0
55,-108.0,-108.0
56,-108.0,-107.0
57,-108.0,-107.0
58,-109.0,-107.0
