eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
43,0.1,0.31,0.5,55,53,68,64,39,65,58,48,76,87,87,72,86,88,74,81,29,0.1,1,15,8
44,0.1,0.31,0.5,83,56,29,66,72,32,71,66,-110,86,87,81,86,88,70,84,31,0.1,0,15,8
45,0.1,0.31,0.5,62,60,81,63,55,70,68,63,74,87,84,83,86,88,66,83,35,0.1,1,15,8
46,0.1,0.31,0.5,50,47,57,50,59,54,63,48,70,87,87,83,30,88,70,84,71,0.1,1,15,8
47,0.1,0.31,0.5,85,66,38,65,76,39,69,64,-119,78,87,83,86,88,65,84,36,0.1,0,15,8
48,0.1,0.31,0.5,76,59,78,62,57,69,71,84,79,87,85,83,84,88,60,-116,41,0.1,0,15,8
49,0.1,0.31,0.5,32,50,79,52,43,53,60,61,79,87,-104,85,86,87,70,79,31,0.1,0,15,8
50,0.1,0.31,0.5,74,57,50,63,67,45,84,39,76,87,87,83,86,88,-152,81,53,0.1,0,15,8
51,0.1,0.31,0.5,75,63,53,64,58,62,67,70,75,83,-104,79,86,87,70,82,31,0.1,0,15,8
52,0.1,0.31,0.5,40,51,73,51,41,48,47,64,74,85,-110,83,86,88,67,84,34,0.1,0,15,8
53,0.1,0.31,0.5,73,54,53,62,64,48,76,40,75,86,70,82,86,85,70,83,31,0.1,1,15,8
54,0.1,0.31,0.5,71,53,52,54,58,60,65,65,65,87,86,83,85,88,70,84,36,0.1,1,15,8
55,0.1,0.31,0.5,49,43,78,50,40,45,77,62,72,86,-119,81,85,86,-111,77,29,0.1,0,15,8
56,0.1,0.31,0.5,65,59,69,63,55,54,50,50,79,87,87,82,-103,86,72,81,29,0.1,0,15,8
57,0.1,0.31,0.5,77,54,29,51,64,53,64,55,59,85,78,79,86,88,66,84,42,0.1,1,15,8
58,0.1,0.31,0.5,66,60,75,60,51,69,85,67,66,85,87,81,85,18,-109,81,83,0.1,0,15,8
59,0.1,0.31,0.5,61,58,66,67,60,49,76,53,78,87,87,81,79,87,69,84,32,0.1,1,15,8
60,0.1,0.31,0.5,66,55,34,57,80,55,41,58,79,85,87,75,48,88,74,84,53,0.1,1,15,8
61,0.1,0.31,0.5,54,64,66,63,55,58,76,82,79,71,83,84,84,86,74,-130,31,0.1,0,15,8
62,0.1,0.31,0.5,60,69,69,75,57,49,72,63,78,70,81,64,82,88,74,83,37,0.1,1,15,8
63,0.1,0.31,0.5,80,52,30,50,60,79,47,41,55,86,87,81,86,-114,74,84,46,0.1,0,15,8
64,0.1,0.31,0.5,71,60,77,64,63,60,84,79,67,87,86,83,84,88,73,79,34,0.1,1,15,8
65,0.1,0.31,0.5,57,63,65,65,52,33,70,60,79,81,83,83,86,88,74,82,27,0.1,1,15,8
66,0.1,0.31,0.5,67,58,40,68,60,72,49,51,79,87,87,64,86,88,71,82,37,0.1,1,15,8
67,0.1,0.31,0.5,49,54,83,93,54,63,80,62,79,87,21,-113,74,67,65,78,80,0.1,0,15,8
68,0.1,0.31,0.5,66,54,52,54,81,52,68,60,73,84,87,81,-112,86,70,84,31,0.1,0,15,8
69,0.1,0.31,0.5,81,67,57,50,59,79,55,56,-110,87,87,81,85,60,72,84,41,0.1,0,15,8
70,0.1,0.31,0.5,70,50,62,75,38,53,76,63,76,87,87,83,85,88,59,84,42,0.1,1,15,8
71,0.1,0.31,0.5,36,54,55,84,71,47,66,61,78,87,85,-130,86,85,56,84,45,0.1,0,15,8
72,0.1,0.31,0.5,64,66,59,59,65,80,60,54,-106,87,87,81,86,-112,72,84,29,0.1,0,15,8
73,0.1,0.31,0.5,83,51,64,42,42,73,70,66,79,87,87,83,85,86,74,84,27,0.1,1,15,8
74,0.1,0.31,0.5,45,53,46,81,68,25,65,57,73,87,87,81,86,88,74,81,28,0.1,1,15,8
75,0.1,0.31,0.5,66,70,64,60,69,74,67,58,79,85,85,83,81,88,59,84,42,0.1,1,15,8
76,0.1,0.31,0.5,83,57,68,42,43,69,68,72,77,85,87,81,86,88,70,83,31,0.1,1,15,8
77,0.1,0.31,0.5,43,51,44,78,64,35,64,90,77,86,86,83,83,67,74,-124,34,0.1,0,15,8
78,0.1,0.31,0.5,66,66,61,59,73,78,65,58,75,86,87,83,74,88,71,82,30,0.1,1,15,8
79,0.1,0.31,0.5,78,50,65,44,51,76,64,43,77,86,87,83,88,77,71,84,30,0.1,1,15,8
80,0.1,0.31,0.5,41,55,47,76,56,36,67,79,79,85,86,83,86,73,68,84,33,0.1,1,15,8
81,0.1,0.31,0.5,70,65,63,55,71,71,60,54,79,85,87,83,84,88,74,84,27,0.1,1,15,8
