eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
71,0.1,0.31,0.5,49,54,38,44,85,83,85,87,18,0.1,1,15,4
72,0.1,0.31,0.5,58,46,46,39,-114,82,83,87,19,0.1,0,15,4
73,0.1,0.31,0.5,58,30,32,34,-155,82,83,87,56,0.1,0,15,4
74,0.1,0.31,0.5,38,48,44,28,79,82,81,87,22,0.1,1,15,4
75,0.1,0.31,0.5,39,46,45,50,85,83,85,85,18,0.1,1,15,4
76,0.1,0.31,0.5,47,33,35,38,-110,79,84,87,22,0.1,0,15,4
77,0.1,0.31,0.5,48,39,36,28,-122,83,85,84,23,0.1,0,15,4
78,0.1,0.31,0.5,46,44,37,34,-199,83,85,87,100,0.1,0,15,4
79,0.1,0.31,0.5,46,24,28,34,-137,85,85,81,38,0.1,0,15,4
80,0.1,0.31,0.5,46,37,33,28,-149,77,85,87,50,0.1,0,15,4
81,0.1,0.31,0.5,65,43,36,35,47,80,85,85,54,0.1,1,15,4
82,0.1,0.31,0.5,15,37,43,45,87,83,83,87,18,0.1,1,15,4
83,0.1,0.31,0.5,55,40,38,28,83,73,83,87,28,0.1,1,15,4
84,0.1,0.31,0.5,57,52,45,41,78,83,85,87,23,0.1,1,15,4
85,0.1,0.31,0.5,16,34,38,43,87,83,85,87,18,0.1,1,15,4
86,0.1,0.31,0.5,41,41,40,55,87,78,85,-117,23,0.1,0,15,4
87,0.1,0.31,0.5,51,51,43,35,87,83,87,87,18,0.1,1,15,4
88,0.1,0.31,0.5,31,40,43,33,86,83,85,87,18,0.1,1,15,4
89,0.1,0.31,0.5,42,34,38,58,81,83,85,83,20,0.1,1,15,4
90,0.1,0.31,0.5,46,49,42,36,87,83,85,85,18,0.1,1,15,4
91,0.1,0.31,0.5,31,43,44,36,87,80,87,87,21,0.1,1,15,4
92,0.1,0.31,0.5,46,39,51,53,87,82,71,-115,30,0.1,0,15,4
93,0.1,0.31,0.5,36,55,37,46,87,-160,84,87,61,0.1,0,15,4
94,0.1,0.31,0.5,35,44,47,19,87,83,85,87,18,0.1,1,15,4
95,0.1,0.31,0.5,47,32,38,49,81,81,85,87,20,0.1,1,15,4
96,0.1,0.31,0.5,41,56,42,46,87,67,77,87,34,0.1,1,15,4
97,0.1,0.31,0.5,30,51,45,26,87,80,78,87,23,0.1,1,15,4
98,0.1,0.31,0.5,50,30,42,49,84,82,85,86,19,0.1,1,15,4
99,0.1,0.31,0.5,44,47,41,47,85,81,84,87,20,0.1,1,15,4
100,0.1,0.31,0.5,31,52,44,27,87,83,85,87,18,0.1,1,15,4
101,0.1,0.31,0.5,43,31,45,43,87,78,80,87,23,0.1,1,15,4
102,0.1,0.31,0.5,43,56,40,47,87,-146,85,87,47,0.1,0,15,4
103,0.1,0.31,0.5,36,47,43,29,85,82,83,87,19,0.1,1,15,4
104,0.1,0.31,0.5,42,27,47,41,86,83,82,87,19,0.1,1,15,4
105,0.1,0.31,0.5,41,54,39,48,87,83,83,85,18,0.1,1,15,4
106,0.1,0.31,0.5,47,47,38,36,-110,82,85,83,19,0.1,0,15,4
107,0.1,0.31,0.5,31,29,45,44,87,83,83,85,18,0.1,1,15,4
108,0.1,0.31,0.5,40,52,42,47,85,81,85,83,20,0.1,1,15,4
