eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.5,1,0,0,-131,-131,32,0.1,0,10
1,0.1,0.5,1,0,0,-111,-149,50,0.1,0,10
2,0.1,0.5,1,0,0,-109,-130,31,0.1,0,10
3,0.1,0.5,1,0,0,-120,-121,22,0.1,0,10
4,0.1,0.5,1,0,13,-105,63,38,0.1,0,10
5,0.1,0.5,1,12,13,-115,84,17,0.1,0,10
6,0.1,0.5,1,13,10,-115,92,16,0.1,0,10
7,0.1,0.5,1,26,10,47,92,54,0.1,1,10
8,0.1,0.5,1,20,22,-111,76,25,0.1,0,10
9,0.1,0.5,1,18,23,-150,-109,51,0.1,0,10
10,0.1,0.5,1,16,11,-163,92,64,0.1,0,10
11,0.1,0.5,1,20,10,29,92,72,0.1,1,10
12,0.1,0.5,1,16,17,-123,92,24,0.1,0,10
13,0.1,0.5,1,11,12,-157,92,58,0.1,0,10
14,0.1,0.5,1,10,11,-189,86,90,0.1,0,10
15,0.1,0.5,1,13,10,-132,88,33,0.1,0,10
16,0.1,0.5,1,13,10,-141,90,42,0.1,0,10
17,0.1,0.5,1,13,10,-141,91,42,0.1,0,10
18,0.1,0.5,1,18,10,62,92,39,0.1,1,10
19,0.1,0.5,1,21,16,63,92,38,0.1,1,10
20,0.1,0.5,1,16,11,-113,92,14,0.1,0,10
21,0.1,0.5,1,17,14,-139,83,40,0.1,0,10
22,0.1,0.5,1,17,10,-147,92,48,0.1,0,10
23,0.1,0.5,1,17,10,-120,92,21,0.1,0,10
24,0.1,0.5,1,15,10,78,92,23,0.1,1,10
25,0.1,0.5,1,11,17,-112,92,13,0.1,0,10
26,0.1,0.5,1,11,10,-123,92,24,0.1,0,10
27,0.1,0.5,1,17,11,45,90,56,0.1,1,10
28,0.1,0.5,1,22,17,87,92,14,0.1,1,10
29,0.1,0.5,1,15,11,85,91,16,0.1,1,10
30,0.1,0.5,1,15,13,88,90,13,0.1,1,10
31,0.1,0.5,1,15,11,75,92,26,0.1,1,10
32,0.1,0.5,1,14,17,91,91,10,0.1,1,10
33,0.1,0.5,1,14,11,90,91,11,0.1,1,10
34,0.1,0.5,1,17,13,86,92,15,0.1,1,10
35,0.1,0.5,1,14,15,90,90,11,0.1,1,10
36,0.1,0.5,1,14,13,91,92,10,0.1,1,10
37,0.1,0.5,1,15,14,90,92,11,0.1,1,10
38,0.1,0.5,1,12,15,91,90,11,0.1,1,10
39,0.1,0.5,1,17,16,91,87,14,0.1,1,10
40,0.1,0.5,1,12,17,91,88,13,0.1,1,10
41,0.1,0.5,1,20,16,89,88,13,0.1,1,10
42,0.1,0.5,1,12,16,91,90,11,0.1,1,10
43,0.1,0.5,1,23,15,83,90,18,0.1,1,10
44,0.1,0.5,1,15,17,83,87,18,0.1,1,10
45,0.1,0.5,1,16,18,90,85,16,0.1,1,10
46,0.1,0.5,1,12,16,91,86,15,0.1,1,10
47,0.1,0.5,1,15,20,90,-120,21,0.1,0,10
48,0.1,0.5,1,15,12,86,90,15,0.1,1,10
49,0.1,0.5,1,16,20,-107,88,13,0.1,0,10
50,0.1,0.5,1,17,12,-119,90,20,0.1,0,10
51,0.1,0.5,1,17,11,-105,90,11,0.1,0,10
52,0.1,0.5,1,17,12,-114,90,15,0.1,0,10
53,0.1,0.5,1,13,12,-121,90,22,0.1,0,10
54,0.1,0.5,1,13,12,-143,89,44,0.1,0,10
55,0.1,0.5,1,13,12,-133,90,34,0.1,0,10
56,0.1,0.5,1,13,12,-219,90,120,0.1,0,10
57,0.1,0.5,1,13,12,-146,90,47,0.1,0,10
