eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
70,0.1,0.31,0.5,40,36,29,27,-135,61,70,75,40,0.1,0,25,4
71,0.1,0.31,0.5,43,41,27,27,53,56,72,-188,89,0.1,0,25,4
72,0.1,0.31,0.5,39,41,29,39,60,-567,64,51,468,0.1,0,25,4
73,0.1,0.31,0.5,40,38,28,29,59,54,71,68,47,0.1,1,25,4
74,0.1,0.31,0.5,41,38,27,27,56,60,75,75,45,0.1,1,25,4
75,0.1,0.31,0.5,40,38,28,27,61,-321,70,74,222,0.1,0,25,4
76,0.1,0.31,0.5,41,34,28,28,53,-156,71,73,57,0.1,0,25,4
77,0.1,0.31,0.5,39,24,27,27,63,-162,75,75,63,0.1,0,25,4
78,0.1,0.31,0.5,56,23,28,27,19,-201,71,75,102,0.1,0,25,4
79,0.1,0.31,0.5,41,57,27,27,58,10,75,75,91,0.1,1,25,4
80,0.1,0.31,0.5,40,51,27,29,59,35,73,62,66,0.1,1,25,4
81,0.1,0.31,0.5,40,46,27,28,-140,49,75,70,52,0.1,0,25,4
82,0.1,0.31,0.5,41,49,126,31,54,41,-169,70,270,0.1,1,25,4
83,0.1,0.31,0.5,39,46,27,27,57,54,74,74,47,0.1,1,25,4
84,0.1,0.31,0.5,63,46,28,27,6,-136,73,72,95,0.1,0,25,4
85,0.1,0.31,0.5,57,46,27,33,-124,55,71,58,46,0.1,0,25,4
86,0.1,0.31,0.5,38,46,27,27,64,55,74,75,46,0.1,1,25,4
87,0.1,0.31,0.5,39,46,28,27,60,51,69,75,50,0.1,1,25,4
88,0.1,0.31,0.5,43,48,27,27,41,54,71,75,60,0.1,1,25,4
89,0.1,0.31,0.5,37,46,28,27,62,55,72,75,46,0.1,1,25,4
90,0.1,0.31,0.5,40,58,27,27,56,43,74,75,58,0.1,1,25,4
91,0.1,0.31,0.5,37,50,30,33,65,41,70,70,60,0.1,1,25,4
92,0.1,0.31,0.5,44,50,27,27,58,-136,75,75,43,0.1,0,25,4
93,0.1,0.31,0.5,44,46,27,27,-148,51,74,75,50,0.1,0,25,4
94,0.1,0.31,0.5,41,49,27,28,61,48,73,73,53,0.1,1,25,4
95,0.1,0.31,0.5,49,47,27,28,40,-234,73,73,135,0.1,0,25,4
96,0.1,0.31,0.5,43,53,32,28,-430,22,59,-139,331,0.1,0,25,4
