eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.1,1,0,0,-133,-144,45,0.1,0,10
1,0.1,0.1,1,0,0,-107,-112,13,0.1,0,10
2,0.1,0.1,1,0,0,-107,-135,36,0.1,0,10
3,0.1,0.1,1,0,0,-118,-123,24,0.1,0,10
4,0.1,0.1,1,0,0,-122,-172,73,0.1,0,10
5,0.1,0.1,1,0,0,-107,-132,33,0.1,0,10
6,0.1,0.1,1,0,19,-116,40,61,0.1,0,10
7,0.1,0.1,1,9,11,-108,90,11,0.1,0,10
8,0.1,0.1,1,11,12,-172,89,73,0.1,0,10
9,0.1,0.1,1,16,12,77,90,24,0.1,1,10
10,0.1,0.1,1,19,20,85,90,16,0.1,1,10
11,0.1,0.1,1,13,9,89,91,12,0.1,1,10
12,0.1,0.1,1,15,20,88,78,23,0.1,1,10
13,0.1,0.1,1,14,10,89,92,12,0.1,1,10
14,0.1,0.1,1,15,17,89,92,12,0.1,1,10
15,0.1,0.1,1,15,10,82,90,19,0.1,1,10
16,0.1,0.1,1,15,17,89,80,21,0.1,1,10
17,0.1,0.1,1,14,10,87,91,14,0.1,1,10
18,0.1,0.1,1,15,17,88,92,13,0.1,1,10
19,0.1,0.1,1,15,10,89,88,13,0.1,1,10
20,0.1,0.1,1,17,21,83,-123,24,0.1,0,10
21,0.1,0.1,1,15,13,89,82,19,0.1,1,10
22,0.1,0.1,1,14,17,89,92,12,0.1,1,10
23,0.1,0.1,1,15,10,88,90,13,0.1,1,10
24,0.1,0.1,1,14,18,89,85,16,0.1,1,10
25,0.1,0.1,1,13,12,87,85,16,0.1,1,10
26,0.1,0.1,1,19,17,-109,92,10,0.1,0,10
27,0.1,0.1,1,13,20,87,65,36,0.1,1,10
28,0.1,0.1,1,18,16,89,92,12,0.1,1,10
29,0.1,0.1,1,18,16,-107,-124,25,0.1,0,10
30,0.1,0.1,1,13,13,89,92,12,0.1,1,10
31,0.1,0.1,1,18,16,85,90,16,0.1,1,10
32,0.1,0.1,1,19,13,-115,91,16,0.1,0,10
33,0.1,0.1,1,12,15,87,92,14,0.1,1,10
34,0.1,0.1,1,16,12,89,79,22,0.1,1,10
35,0.1,0.1,1,13,16,87,92,14,0.1,1,10
36,0.1,0.1,1,20,11,80,92,21,0.1,1,10
37,0.1,0.1,1,13,16,89,92,12,0.1,1,10
38,0.1,0.1,1,13,10,89,89,12,0.1,1,10
39,0.1,0.1,1,14,17,87,86,15,0.1,1,10
40,0.1,0.1,1,18,15,89,79,22,0.1,1,10
41,0.1,0.1,1,14,18,89,85,16,0.1,1,10
42,0.1,0.1,1,17,14,89,90,12,0.1,1,10
43,0.1,0.1,1,14,17,87,88,14,0.1,1,10
44,0.1,0.1,1,19,14,84,90,17,0.1,1,10
45,0.1,0.1,1,13,16,89,89,12,0.1,1,10
46,0.1,0.1,1,17,14,89,90,12,0.1,1,10
47,0.1,0.1,1,14,15,88,90,13,0.1,1,10
48,0.1,0.1,1,16,13,82,86,19,0.1,1,10
49,0.1,0.1,1,17,11,-102,90,11,0.1,0,10
50,0.1,0.1,1,16,18,87,92,14,0.1,1,10
51,0.1,0.1,1,22,12,76,89,25,0.1,1,10
52,0.1,0.1,1,15,19,87,91,14,0.1,1,10
53,0.1,0.1,1,20,13,84,86,17,0.1,1,10
54,0.1,0.1,1,20,10,-102,92,9,0.1,0,10
55,0.1,0.1,1,21,13,-106,92,9,0.1,0,10
56,0.1,0.1,1,14,16,87,91,14,0.1,1,10
57,0.1,0.1,1,21,14,87,91,14,0.1,1,10
58,0.1,0.1,1,14,17,87,90,14,0.1,1,10
59,0.1,0.1,1,21,14,85,89,16,0.1,1,10
60,0.1,0.1,1,14,15,87,92,14,0.1,1,10
61,0.1,0.1,1,20,16,85,90,16,0.1,1,10
62,0.1,0.1,1,16,14,85,91,16,0.1,1,10
63,0.1,0.1,1,20,14,86,92,15,0.1,1,10
64,0.1,0.1,1,15,13,85,92,16,0.1,1,10
65,0.1,0.1,1,20,15,87,92,14,0.1,1,10
66,0.1,0.1,1,15,13,86,92,15,0.1,1,10
67,0.1,0.1,1,20,16,87,92,14,0.1,1,10
68,0.1,0.1,1,15,13,85,92,16,0.1,1,10
69,0.1,0.1,1,25,16,68,92,33,0.1,1,10
70,0.1,0.1,1,15,13,86,92,15,0.1,1,10
71,0.1,0.1,1,20,15,84,91,17,0.1,1,10
72,0.1,0.1,1,16,17,87,84,17,0.1,1,10
73,0.1,0.1,1,20,17,87,85,16,0.1,1,10
74,0.1,0.1,1,15,14,87,91,14,0.1,1,10
75,0.1,0.1,1,20,19,-117,82,19,0.1,0,10
76,0.1,0.1,1,14,13,85,90,16,0.1,1,10
77,0.1,0.1,1,21,15,-111,92,12,0.1,0,10
78,0.1,0.1,1,21,10,-127,92,28,0.1,0,10
79,0.1,0.1,1,14,20,86,90,15,0.1,1,10
80,0.1,0.1,1,21,10,87,92,14,0.1,1,10
81,0.1,0.1,1,14,16,85,92,16,0.1,1,10
82,0.1,0.1,1,21,13,87,92,14,0.1,1,10
83,0.1,0.1,1,14,15,87,92,14,0.1,1,10
84,0.1,0.1,1,21,13,87,92,14,0.1,1,10
85,0.1,0.1,1,21,10,-104,92,9,0.1,0,10
86,0.1,0.1,1,14,18,87,87,14,0.1,1,10
87,0.1,0.1,1,16,15,87,84,17,0.1,1,10
88,0.1,0.1,1,18,19,86,82,19,0.1,1,10
89,0.1,0.1,1,14,13,87,90,14,0.1,1,10
90,0.1,0.1,1,15,16,87,88,14,0.1,1,10
91,0.1,0.1,1,19,16,87,90,14,0.1,1,10
92,0.1,0.1,1,15,16,85,90,16,0.1,1,10
93,0.1,0.1,1,19,16,85,87,16,0.1,1,10
94,0.1,0.1,1,15,16,87,90,14,0.1,1,10
95,0.1,0.1,1,19,15,85,88,16,0.1,1,10
96,0.1,0.1,1,20,16,77,90,24,0.1,1,10
97,0.1,0.1,1,20,14,75,90,26,0.1,1,10
98,0.1,0.1,1,22,16,71,91,30,0.1,1,10
99,0.1,0.1,1,20,12,79,92,22,0.1,1,10
100,0.1,0.1,1,21,16,76,92,25,0.1,1,10
101,0.1,0.1,1,20,13,76,92,25,0.1,1,10
102,0.1,0.1,1,21,16,81,92,20,0.1,1,10
103,0.1,0.1,1,20,13,81,92,20,0.1,1,10
104,0.1,0.1,1,20,17,-107,81,20,0.1,0,10
105,0.1,0.1,1,20,15,79,90,22,0.1,1,10
106,0.1,0.1,1,21,14,81,92,20,0.1,1,10
107,0.1,0.1,1,20,15,80,92,21,0.1,1,10
108,0.1,0.1,1,19,14,78,92,23,0.1,1,10
109,0.1,0.1,1,18,14,82,92,19,0.1,1,10
110,0.1,0.1,1,18,18,81,-107,20,0.1,0,10
111,0.1,0.1,1,19,11,83,92,18,0.1,1,10
112,0.1,0.1,1,18,18,83,92,18,0.1,1,10
113,0.1,0.1,1,18,9,-109,90,11,0.1,0,10
114,0.1,0.1,1,18,17,79,92,22,0.1,1,10
115,0.1,0.1,1,19,20,82,66,35,0.1,1,10
116,0.1,0.1,1,18,14,83,92,18,0.1,1,10
117,0.1,0.1,1,18,16,83,-105,18,0.1,0,10
118,0.1,0.1,1,19,13,83,91,18,0.1,1,10
119,0.1,0.1,1,18,16,83,91,18,0.1,1,10
120,0.1,0.1,1,19,16,83,79,22,0.1,1,10
121,0.1,0.1,1,18,22,83,-109,18,0.1,0,10
122,0.1,0.1,1,24,15,82,84,19,0.1,1,10
123,0.1,0.1,1,19,21,83,90,18,0.1,1,10
124,0.1,0.1,1,24,12,83,90,18,0.1,1,10
125,0.1,0.1,1,19,21,82,90,19,0.1,1,10
126,0.1,0.1,1,23,12,80,90,21,0.1,1,10
127,0.1,0.1,1,22,22,74,88,27,0.1,1,10
128,0.1,0.1,1,20,12,82,90,19,0.1,1,10
129,0.1,0.1,1,23,21,77,89,24,0.1,1,10
130,0.1,0.1,1,21,12,79,89,22,0.1,1,10
131,0.1,0.1,1,22,21,82,90,19,0.1,1,10
132,0.1,0.1,1,21,12,83,90,18,0.1,1,10
133,0.1,0.1,1,21,21,83,90,18,0.1,1,10
134,0.1,0.1,1,22,12,82,90,19,0.1,1,10
135,0.1,0.1,1,21,20,83,90,18,0.1,1,10
136,0.1,0.1,1,19,13,79,90,22,0.1,1,10
137,0.1,0.1,1,24,19,73,90,28,0.1,1,10
138,0.1,0.1,1,21,17,78,86,23,0.1,1,10
139,0.1,0.1,1,22,19,79,90,22,0.1,1,10
140,0.1,0.1,1,20,14,78,90,23,0.1,1,10
141,0.1,0.1,1,22,19,81,90,20,0.1,1,10
142,0.1,0.1,1,20,14,81,90,20,0.1,1,10
143,0.1,0.1,1,19,19,83,90,18,0.1,1,10
144,0.1,0.1,1,20,14,82,90,19,0.1,1,10
145,0.1,0.1,1,20,19,83,90,18,0.1,1,10
146,0.1,0.1,1,20,14,83,90,18,0.1,1,10
147,0.1,0.1,1,20,19,81,90,20,0.1,1,10
148,0.1,0.1,1,20,15,83,88,18,0.1,1,10
