eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
0,0.1,0.2,0.1,0,0,-116,-114,17,0.45,0,10
1,0.1,0.2,0.1,0,0,-114,-155,56,0.45,0,10
2,0.1,0.2,0.1,0,16,-122,64,37,0.45,0,10
3,0.1,0.2,0.1,5,12,-106,84,17,0.45,0,10
4,0.1,0.2,0.1,11,12,-114,90,15,0.45,0,10
5,0.1,0.2,0.1,12,15,-127,80,28,0.45,0,10
6,0.1,0.2,0.1,17,16,-121,77,24,0.45,0,10
7,0.1,0.2,0.1,17,15,-137,90,38,0.45,0,10
8,0.1,0.2,0.1,17,19,-183,84,84,0.45,0,10
9,0.1,0.2,0.1,17,12,-108,90,11,0.45,0,10
10,0.1,0.2,0.1,17,12,-148,90,49,0.45,0,10
11,0.1,0.2,0.1,20,12,7,90,94,0.45,1,10
12,0.1,0.2,0.1,18,19,89,-107,12,0.45,0,10
13,0.1,0.2,0.1,18,16,89,79,22,0.45,1,10
14,0.1,0.2,0.1,19,18,90,87,14,0.45,1,10
15,0.1,0.2,0.1,13,19,89,-113,14,0.45,0,10
16,0.1,0.2,0.1,20,20,91,90,11,0.45,1,10
17,0.1,0.2,0.1,13,15,89,92,12,0.45,1,10
18,0.1,0.2,0.1,19,18,91,88,13,0.45,1,10
19,0.1,0.2,0.1,20,20,91,88,13,0.45,1,10
20,0.1,0.2,0.1,20,12,91,89,12,0.45,1,10
21,0.1,0.2,0.1,14,20,88,90,13,0.45,1,10
22,0.1,0.2,0.1,20,19,89,87,14,0.45,1,10
23,0.1,0.2,0.1,20,20,-112,90,13,0.45,0,10
24,0.1,0.2,0.1,20,17,91,90,11,0.45,1,10
25,0.1,0.2,0.1,20,18,-106,90,11,0.45,0,10
26,0.1,0.2,0.1,20,15,91,90,11,0.45,1,10
27,0.1,0.2,0.1,20,20,-132,90,33,0.45,0,10
28,0.1,0.2,0.1,18,20,90,88,13,0.45,1,10
29,0.1,0.2,0.1,21,18,88,90,13,0.45,1,10
30,0.1,0.2,0.1,20,19,90,90,11,0.45,1,10
31,0.1,0.2,0.1,13,14,91,89,12,0.45,1,10
32,0.1,0.2,0.1,17,17,88,-105,13,0.45,0,10
33,0.1,0.2,0.1,21,20,-113,89,14,0.45,0,10
34,0.1,0.2,0.1,20,27,91,61,40,0.45,1,10
35,0.1,0.2,0.1,20,22,-114,87,15,0.45,0,10
36,0.1,0.2,0.1,20,19,91,89,12,0.45,1,10
37,0.1,0.2,0.1,20,20,-111,90,12,0.45,0,10
38,0.1,0.2,0.1,14,15,-106,90,11,0.45,0,10
39,0.1,0.2,0.1,14,13,-124,90,25,0.45,0,10
40,0.1,0.2,0.1,14,12,-169,90,70,0.45,0,10
41,0.1,0.2,0.1,22,13,69,85,32,0.45,1,10
42,0.1,0.2,0.1,20,20,91,90,11,0.45,1,10
43,0.1,0.2,0.1,20,14,91,89,12,0.45,1,10
44,0.1,0.2,0.1,13,20,91,86,15,0.45,1,10
45,0.1,0.2,0.1,18,18,-107,90,11,0.45,0,10
46,0.1,0.2,0.1,18,20,91,-121,22,0.45,0,10
47,0.1,0.2,0.1,20,15,91,90,11,0.45,1,10
48,0.1,0.2,0.1,20,19,89,86,15,0.45,1,10
49,0.1,0.2,0.1,20,20,-106,-106,7,0.45,0,10
50,0.1,0.2,0.1,18,20,-104,-106,7,0.45,0,10
51,0.1,0.2,0.1,17,13,-130,-106,31,0.45,0,10
52,0.1,0.2,0.1,16,13,-104,-127,28,0.45,0,10
53,0.1,0.2,0.1,16,25,-103,64,37,0.45,0,10
54,0.1,0.2,0.1,23,20,60,83,41,0.45,1,10
55,0.1,0.2,0.1,20,19,91,89,12,0.45,1,10
56,0.1,0.2,0.1,17,16,91,90,11,0.45,1,10
57,0.1,0.2,0.1,16,16,91,88,13,0.45,1,10
58,0.1,0.2,0.1,17,17,91,90,11,0.45,1,10
59,0.1,0.2,0.1,17,24,91,92,10,0.45,1,10
