eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,-117,-110,-179,-129,-125,-101,80,0.1,0,10,6
1,0.1,0.31,0.5,0,0,0,0,0,0,-113,-108,-164,-113,-134,-124,65,0.1,0,10,6
2,0.1,0.31,0.5,0,0,33,0,0,29,-119,-114,20,-105,-103,-51,152,0.1,0,10,6
3,0.1,0.31,0.5,0,0,14,13,0,11,-106,-169,81,70,-108,88,70,0.1,0,10,6
4,0.1,0.31,0.5,0,0,15,10,0,11,-140,-122,80,91,-122,89,41,0.1,0,10,6
5,0.1,0.31,0.5,0,0,15,11,0,11,-121,-134,85,90,-126,91,35,0.1,0,10,6
6,0.1,0.31,0.5,0,13,15,10,0,11,-127,63,85,91,-135,90,38,0.1,0,10,6
7,0.1,0.31,0.5,0,10,15,11,0,12,-131,92,86,87,-109,87,32,0.1,0,10,6
8,0.1,0.31,0.5,0,10,15,10,0,11,-144,92,85,92,-148,91,49,0.1,0,10,6
9,0.1,0.31,0.5,0,10,15,10,0,11,-116,92,81,92,-123,91,24,0.1,0,10,6
10,0.1,0.31,0.5,0,10,9,10,0,11,-195,92,93,92,-130,90,96,0.1,0,10,6
11,0.1,0.31,0.5,0,10,9,10,0,11,-128,92,93,-143,-157,90,58,0.1,0,10,6
12,0.1,0.31,0.5,0,10,9,15,0,12,-118,92,93,64,-103,91,37,0.1,0,10,6
13,0.1,0.31,0.5,0,11,9,10,0,11,-108,86,90,91,-111,91,15,0.1,0,10,6
14,0.1,0.31,0.5,0,10,9,11,23,14,-143,91,93,88,15,79,86,0.1,0,10,6
15,0.1,0.31,0.5,0,10,9,11,14,14,-131,92,93,-115,88,-145,46,0.1,0,10,6
16,0.1,0.31,0.5,18,13,9,10,15,8,44,83,93,92,83,-123,57,0.1,0,10,6
17,0.1,0.31,0.5,11,10,9,11,14,13,91,92,93,88,88,76,25,0.1,1,10,6
18,0.1,0.31,0.5,10,10,9,12,13,10,91,92,93,84,74,91,27,0.1,1,10,6
