eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,37,0,0,-128,-165,-227,-167,-102,19,-198,-129,128,0.1,0,15,8
1,0.1,0.31,0.5,0,0,0,0,0,16,0,0,-132,-346,-215,-159,-150,84,-181,-166,247,0.1,0,15,8
2,0.1,0.31,0.5,0,0,45,0,0,16,0,76,-165,-197,-84,-135,-108,83,-173,-155,256,0.1,0,15,8
3,0.1,0.31,0.5,0,0,17,33,0,16,0,27,-184,-187,83,6,-163,86,-130,63,95,0.1,0,15,8
4,0.1,0.31,0.5,0,0,17,17,0,19,0,25,-118,-294,-147,85,-151,85,-108,71,195,0.1,0,15,8
5,0.1,0.31,0.5,0,0,17,19,0,16,0,25,-157,-151,81,80,-137,84,-110,76,58,0.1,0,15,8
6,0.1,0.31,0.5,0,70,19,19,0,16,0,21,-208,-140,76,-130,-112,86,-133,76,241,0.1,0,15,8
7,0.1,0.31,0.5,0,25,17,23,0,16,0,21,-151,76,82,74,-125,86,-191,-266,167,0.1,0,15,8
8,0.1,0.31,0.5,0,23,23,21,0,17,0,27,-125,77,73,56,-135,84,-119,60,45,0.1,0,15,8
9,0.1,0.31,0.5,0,21,18,16,0,14,81,23,-159,81,82,85,-208,87,-246,72,347,0.1,0,15,8
10,0.1,0.31,0.5,72,21,17,18,0,20,26,27,-189,-151,85,72,-177,76,70,71,290,0.1,0,15,8
11,0.1,0.31,0.5,35,22,17,17,0,14,29,23,59,78,85,85,-109,88,62,75,42,0.1,0,15,8
12,0.1,0.31,0.5,36,20,17,17,0,18,23,22,57,78,85,-124,-235,72,75,78,136,0.1,0,15,8
13,0.1,0.31,0.5,36,20,17,17,0,14,23,26,63,-134,-178,84,-178,88,-133,59,79,0.1,0,15,8
14,0.1,0.31,0.5,55,21,17,17,0,14,24,13,27,76,85,83,-196,87,78,86,97,0.1,0,15,8
15,0.1,0.31,0.5,36,25,9,19,24,14,24,17,51,69,-117,80,63,88,77,81,50,0.1,0,15,8
16,0.1,0.31,0.5,37,19,9,27,24,16,39,14,66,83,-239,64,-242,80,24,83,143,0.1,0,15,8
17,0.1,0.31,0.5,36,19,7,17,19,14,32,19,63,83,-126,83,81,86,64,72,38,0.1,0,15,8
18,0.1,0.31,0.5,36,21,34,17,23,39,32,13,61,77,6,84,65,51,-139,85,95,0.1,0,15,8
19,0.1,0.31,0.5,41,19,16,17,20,18,32,20,45,80,85,83,82,71,70,73,56,0.1,1,15,8
20,0.1,0.31,0.5,41,19,32,25,26,14,19,12,-130,82,25,63,64,86,78,89,76,0.1,0,15,8
21,0.1,0.31,0.5,43,19,21,17,26,17,13,12,59,79,67,87,-209,82,87,90,110,0.1,0,15,8
22,0.1,0.31,0.5,35,19,26,17,25,17,20,12,67,83,65,85,69,-155,62,90,56,0.1,0,15,8
23,0.1,0.31,0.5,35,22,21,17,20,14,14,12,63,69,80,83,81,88,87,87,38,0.1,1,15,8
24,0.1,0.31,0.5,47,19,20,17,20,14,14,32,19,81,79,85,80,87,86,33,82,0.1,1,15,8
25,0.1,0.31,0.5,34,19,20,17,21,14,14,12,66,83,-114,-241,78,88,85,90,142,0.1,0,15,8
26,0.1,0.31,0.5,28,19,19,17,22,14,16,12,73,82,83,82,75,87,81,-108,28,0.1,0,15,8
27,0.1,0.31,0.5,35,19,20,18,20,14,14,13,45,82,81,77,81,88,85,90,56,0.1,1,15,8
28,0.1,0.31,0.5,27,19,19,17,22,15,14,12,73,77,83,85,72,86,87,90,29,0.1,1,15,8
29,0.1,0.31,0.5,26,21,19,17,20,14,14,13,72,81,83,85,80,88,88,90,29,0.1,1,15,8
30,0.1,0.31,0.5,27,19,19,17,25,49,14,12,74,81,83,-116,67,-20,88,89,121,0.1,0,15,8
31,0.1,0.31,0.5,27,19,20,17,26,14,42,14,-121,83,82,83,66,86,-22,88,123,0.1,0,15,8
32,0.1,0.31,0.5,31,19,19,24,26,16,16,12,70,83,83,69,69,77,86,90,32,0.1,1,15,8
33,0.1,0.31,0.5,27,19,19,17,21,14,14,12,69,80,83,85,79,88,87,90,32,0.1,1,15,8
34,0.1,0.31,0.5,33,20,19,17,21,14,14,12,58,79,82,87,-113,88,88,90,43,0.1,0,15,8
35,0.1,0.31,0.5,31,24,19,17,24,14,14,12,55,69,83,-110,72,88,88,86,46,0.1,0,15,8
36,0.1,0.31,0.5,30,48,19,15,20,14,14,15,66,27,83,-121,76,-122,88,83,74,0.1,0,15,8
37,0.1,0.31,0.5,27,19,19,18,23,14,14,12,75,83,83,79,70,88,87,90,31,0.1,1,15,8
38,0.1,0.31,0.5,26,20,19,17,20,14,14,12,74,76,83,-114,82,87,88,90,27,0.1,0,15,8
39,0.1,0.31,0.5,29,21,33,20,20,14,14,12,68,74,67,68,82,88,88,90,34,0.1,1,15,8
40,0.1,0.31,0.5,26,22,29,23,23,14,14,12,74,78,70,69,76,88,88,90,32,0.1,1,15,8
41,0.1,0.31,0.5,26,21,30,15,23,14,14,12,-112,80,70,86,74,88,88,-164,65,0.1,0,15,8
42,0.1,0.31,0.5,27,21,33,16,23,21,15,12,73,76,60,85,76,73,88,87,41,0.1,1,15,8
43,0.1,0.31,0.5,31,23,32,22,20,15,15,12,54,72,62,77,82,84,-111,90,47,0.1,0,15,8
44,0.1,0.31,0.5,27,21,37,17,23,20,15,12,74,80,46,83,76,76,-137,-145,55,0.1,0,15,8
45,0.1,0.31,0.5,27,21,28,15,21,14,14,12,75,78,73,87,82,88,87,90,28,0.1,1,15,8
46,0.1,0.31,0.5,28,22,28,15,23,18,14,12,70,83,60,87,79,82,88,90,41,0.1,1,15,8
47,0.1,0.31,0.5,28,21,29,15,22,14,14,12,-131,81,73,86,65,88,86,89,36,0.1,0,15,8
48,0.1,0.31,0.5,27,21,30,15,20,15,14,12,73,80,57,84,82,86,-112,88,44,0.1,0,15,8
49,0.1,0.31,0.5,31,22,36,15,20,15,13,12,64,78,59,84,82,-131,87,89,42,0.1,0,15,8
50,0.1,0.31,0.5,27,33,32,15,22,12,14,12,74,42,83,84,76,90,88,89,59,0.1,1,15,8
51,0.1,0.31,0.5,27,21,18,21,20,10,14,12,75,80,77,77,82,90,88,90,26,0.1,1,15,8
52,0.1,0.31,0.5,32,22,20,19,20,10,15,12,54,79,80,83,-118,92,86,90,47,0.1,0,15,8
53,0.1,0.31,0.5,29,21,22,18,24,11,14,12,74,81,71,83,70,90,88,90,31,0.1,1,15,8
54,0.1,0.31,0.5,26,22,25,19,20,11,14,12,63,76,68,78,82,-129,88,-133,38,0.1,0,15,8
55,0.1,0.31,0.5,27,23,19,21,20,10,17,29,75,74,83,80,82,92,84,1,100,0.1,1,15,8
56,0.1,0.31,0.5,27,23,21,19,20,11,14,12,75,73,79,81,-117,88,88,90,28,0.1,0,15,8
57,0.1,0.31,0.5,26,22,19,19,23,10,14,12,75,79,83,83,77,91,-114,90,26,0.1,0,15,8
58,0.1,0.31,0.5,28,21,19,19,23,10,14,14,67,80,83,86,-110,92,-107,84,34,0.1,0,15,8
59,0.1,0.31,0.5,32,34,19,19,24,10,14,12,67,34,82,82,69,91,88,90,67,0.1,1,15,8
60,0.1,0.31,0.5,28,21,20,19,20,10,15,12,64,81,74,83,82,92,81,90,37,0.1,1,15,8
61,0.1,0.31,0.5,26,30,22,19,25,10,14,13,74,50,72,83,68,92,88,84,51,0.1,1,15,8
62,0.1,0.31,0.5,26,21,19,20,20,10,14,12,-125,81,82,83,82,92,88,90,26,0.1,0,15,8
63,0.1,0.31,0.5,26,21,19,19,22,10,14,12,77,79,83,83,79,92,87,90,24,0.1,1,15,8
64,0.1,0.31,0.5,28,21,19,19,52,10,14,12,72,81,83,78,2,91,88,90,99,0.1,1,15,8
65,0.1,0.31,0.5,28,21,19,19,20,16,14,12,-215,81,83,82,77,77,87,90,116,0.1,0,15,8
66,0.1,0.31,0.5,26,23,19,19,20,10,14,12,71,79,82,83,79,92,88,90,30,0.1,1,15,8
67,0.1,0.31,0.5,26,21,19,21,22,30,14,12,72,80,81,79,77,65,88,90,36,0.1,1,15,8
68,0.1,0.31,0.5,24,21,22,19,22,10,14,12,76,81,76,81,78,92,88,84,25,0.1,1,15,8
69,0.1,0.31,0.5,25,21,44,20,20,10,14,12,77,81,17,81,78,92,88,90,84,0.1,1,15,8
70,0.1,0.31,0.5,24,21,19,19,20,10,18,12,77,81,82,82,82,92,78,90,24,0.1,1,15,8
71,0.1,0.31,0.5,33,21,19,19,20,10,14,13,53,81,83,83,79,92,87,87,48,0.1,1,15,8
72,0.1,0.31,0.5,29,21,24,19,20,10,14,13,69,80,67,83,81,92,86,88,34,0.1,1,15,8
73,0.1,0.31,0.5,25,21,19,19,22,10,14,12,77,80,82,83,75,92,88,90,26,0.1,1,15,8
