eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
72,0.1,0.31,0.5,39,15,17,29,45,87,79,72,56,0.1,1,15,4
73,0.1,0.31,0.5,35,15,15,29,57,-152,85,71,53,0.1,0,15,4
74,0.1,0.31,0.5,32,15,16,29,68,87,85,73,33,0.1,1,15,4
75,0.1,0.31,0.5,35,17,15,29,59,83,86,69,42,0.1,1,15,4
76,0.1,0.31,0.5,33,16,15,29,69,84,87,71,32,0.1,1,15,4
77,0.1,0.31,0.5,32,18,15,31,68,72,86,69,33,0.1,1,15,4
78,0.1,0.31,0.5,31,15,15,31,69,87,87,71,32,0.1,1,15,4
79,0.1,0.31,0.5,33,15,15,29,65,83,86,71,36,0.1,1,15,4
80,0.1,0.31,0.5,33,15,16,29,69,87,82,66,35,0.1,1,15,4
81,0.1,0.31,0.5,33,15,15,29,60,87,87,73,41,0.1,1,15,4
82,0.1,0.31,0.5,34,15,15,29,61,87,87,73,40,0.1,1,15,4
83,0.1,0.31,0.5,34,15,15,29,-128,87,87,73,29,0.1,0,15,4
84,0.1,0.31,0.5,33,28,15,29,68,64,87,73,37,0.1,1,15,4
85,0.1,0.31,0.5,32,15,15,31,69,85,87,69,32,0.1,1,15,4
86,0.1,0.31,0.5,33,15,15,29,67,87,87,73,34,0.1,1,15,4
87,0.1,0.31,0.5,46,15,15,30,46,85,87,71,55,0.1,1,15,4
88,0.1,0.31,0.5,32,15,15,29,68,87,86,68,33,0.1,1,15,4
89,0.1,0.31,0.5,32,15,15,29,-132,87,85,78,33,0.1,0,15,4
90,0.1,0.31,0.5,33,15,15,22,63,87,87,79,38,0.1,1,15,4
91,0.1,0.31,0.5,32,15,17,27,-116,87,80,71,30,0.1,0,15,4
92,0.1,0.31,0.5,34,15,15,24,56,86,87,82,45,0.1,1,15,4
93,0.1,0.31,0.5,34,17,18,24,-146,81,78,67,47,0.1,0,15,4
94,0.1,0.31,0.5,34,15,15,23,64,87,87,79,37,0.1,1,15,4
95,0.1,0.31,0.5,34,15,15,23,63,87,87,79,38,0.1,1,15,4
96,0.1,0.31,0.5,22,15,15,26,-136,86,87,70,37,0.1,0,15,4
97,0.1,0.31,0.5,18,15,15,23,-158,87,87,79,59,0.1,0,15,4
98,0.1,0.31,0.5,16,15,15,23,-140,87,86,79,41,0.1,0,15,4
99,0.1,0.31,0.5,16,15,21,24,-151,87,69,77,52,0.1,0,15,4
100,0.1,0.31,0.5,16,15,16,26,-115,87,83,69,32,0.1,0,15,4
