eps,total_steps
0,47
1,14
2,16
3,71
4,21
5,28
6,48
7,30
8,23
9,32
10,18
11,25
12,18
13,24
14,19
15,18
16,18
17,19
18,19
19,19
20,22
21,18
22,22
23,22
