eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
72,0.1,0.31,0.5,26,32,30,40,87,88,89,84,17,0.1,1,10,4
73,0.1,0.31,0.5,43,42,35,33,89,88,85,88,16,0.1,1,10,4
74,0.1,0.31,0.5,35,29,36,31,88,88,89,87,14,0.1,1,10,4
75,0.1,0.31,0.5,34,30,29,37,64,88,89,88,37,0.1,1,10,4
76,0.1,0.31,0.5,40,39,37,32,89,87,85,85,16,0.1,1,10,4
77,0.1,0.31,0.5,32,31,38,31,89,82,90,88,19,0.1,1,10,4
78,0.1,0.31,0.5,25,30,21,35,89,88,92,87,14,0.1,1,10,4
79,0.1,0.31,0.5,40,40,42,31,88,88,85,88,16,0.1,1,10,4
80,0.1,0.31,0.5,37,31,37,33,89,88,93,88,13,0.1,1,10,4
81,0.1,0.31,0.5,26,30,22,36,86,87,93,87,15,0.1,1,10,4
82,0.1,0.31,0.5,41,38,25,32,85,88,93,87,16,0.1,1,10,4
83,0.1,0.31,0.5,38,35,24,36,87,88,93,88,14,0.1,1,10,4
84,0.1,0.31,0.5,26,32,25,37,89,88,93,88,13,0.1,1,10,4
85,0.1,0.31,0.5,42,34,29,28,-112,90,93,85,16,0.1,0,10,4
86,0.1,0.31,0.5,41,35,37,36,89,88,87,88,14,0.1,1,10,4
87,0.1,0.31,0.5,18,35,34,33,89,80,91,88,21,0.1,1,10,4
88,0.1,0.31,0.5,44,34,26,29,87,88,93,86,15,0.1,1,10,4
89,0.1,0.31,0.5,41,33,26,40,89,88,93,88,13,0.1,1,10,4
90,0.1,0.31,0.5,16,35,34,33,89,88,87,88,14,0.1,1,10,4
91,0.1,0.31,0.5,37,38,34,24,87,89,93,88,14,0.1,1,10,4
92,0.1,0.31,0.5,42,34,26,40,89,88,93,88,13,0.1,1,10,4
93,0.1,0.31,0.5,16,35,19,32,88,88,93,88,13,0.1,1,10,4
94,0.1,0.31,0.5,42,34,31,31,89,88,91,86,15,0.1,1,10,4
95,0.1,0.31,0.5,39,32,30,40,89,87,93,88,14,0.1,1,10,4
96,0.1,0.31,0.5,22,36,23,31,88,88,91,88,13,0.1,1,10,4
97,0.1,0.31,0.5,41,35,31,33,87,87,92,88,14,0.1,1,10,4
98,0.1,0.31,0.5,39,32,27,38,88,88,93,88,13,0.1,1,10,4
99,0.1,0.31,0.5,45,44,21,31,-108,-110,93,87,14,0.1,0,10,4
100,0.1,0.31,0.5,45,44,28,34,-108,-109,93,84,17,0.1,0,10,4
101,0.1,0.31,0.5,35,34,27,36,-108,-110,93,88,13,0.1,0,10,4
102,0.1,0.31,0.5,36,33,14,22,-124,89,93,84,25,0.1,0,10,4
103,0.1,0.31,0.5,40,17,20,25,-146,82,92,85,47,0.1,0,10,4
104,0.1,0.31,0.5,40,25,14,20,-120,92,93,86,21,0.1,0,10,4
105,0.1,0.31,0.5,40,21,21,28,-119,92,93,88,20,0.1,0,10,4
106,0.1,0.31,0.5,40,19,24,27,-163,91,93,88,64,0.1,0,10,4
107,0.1,0.31,0.5,40,26,14,21,-140,92,93,88,41,0.1,0,10,4
108,0.1,0.31,0.5,40,21,21,28,-215,92,93,88,116,0.1,0,10,4
109,0.1,0.31,0.5,40,18,24,27,-119,92,93,88,20,0.1,0,10,4
110,0.1,0.31,0.5,40,25,14,21,-335,92,93,88,236,0.1,0,10,4
111,0.1,0.31,0.5,40,19,20,28,-241,92,93,86,142,0.1,0,10,4
112,0.1,0.31,0.5,40,18,24,27,-144,92,93,88,45,0.1,0,10,4
113,0.1,0.31,0.5,40,27,15,21,-130,92,93,88,31,0.1,0,10,4
114,0.1,0.31,0.5,40,19,20,28,-177,92,93,88,78,0.1,0,10,4
115,0.1,0.31,0.5,40,16,30,27,-299,92,88,87,200,0.1,0,10,4
116,0.1,0.31,0.5,37,27,20,21,5,92,93,88,96,0.1,1,10,4
117,0.1,0.31,0.5,35,31,40,37,77,92,82,88,24,0.1,1,10,4
118,0.1,0.31,0.5,41,16,22,27,78,92,93,90,23,0.1,1,10,4
119,0.1,0.31,0.5,24,33,34,30,80,92,86,88,21,0.1,1,10,4
120,0.1,0.31,0.5,38,21,23,26,81,91,93,88,20,0.1,1,10,4
121,0.1,0.31,0.5,40,27,26,40,81,-103,93,86,20,0.1,0,10,4
122,0.1,0.31,0.5,23,29,22,19,83,92,92,88,18,0.1,1,10,4
123,0.1,0.31,0.5,47,21,24,29,47,92,93,88,54,0.1,1,10,4
124,0.1,0.31,0.5,45,34,27,42,77,90,93,88,24,0.1,1,10,4
125,0.1,0.31,0.5,32,25,18,19,64,92,93,88,37,0.1,1,10,4
126,0.1,0.31,0.5,49,23,24,29,-115,92,93,87,16,0.1,0,10,4
127,0.1,0.31,0.5,45,29,26,45,77,92,93,85,24,0.1,1,10,4
128,0.1,0.31,0.5,29,25,21,28,73,92,93,88,28,0.1,1,10,4
129,0.1,0.31,0.5,41,24,41,28,77,92,83,88,24,0.1,1,10,4
130,0.1,0.31,0.5,46,30,40,41,76,92,93,88,25,0.1,1,10,4
131,0.1,0.31,0.5,28,22,22,29,76,92,93,87,25,0.1,1,10,4
132,0.1,0.31,0.5,43,28,31,33,77,92,91,88,24,0.1,1,10,4
133,0.1,0.31,0.5,44,39,32,41,77,87,93,86,24,0.1,1,10,4
134,0.1,0.31,0.5,30,28,21,29,77,92,93,88,24,0.1,1,10,4
135,0.1,0.31,0.5,45,31,25,33,77,89,93,88,24,0.1,1,10,4
136,0.1,0.31,0.5,43,29,27,35,71,92,93,88,30,0.1,1,10,4
137,0.1,0.31,0.5,30,20,24,28,77,92,93,88,24,0.1,1,10,4
138,0.1,0.31,0.5,45,32,25,38,77,92,93,88,24,0.1,1,10,4
139,0.1,0.31,0.5,41,39,25,34,77,87,93,88,24,0.1,1,10,4
140,0.1,0.31,0.5,32,29,25,26,76,92,92,88,25,0.1,1,10,4
141,0.1,0.31,0.5,44,32,30,40,77,92,93,87,24,0.1,1,10,4
142,0.1,0.31,0.5,41,28,25,39,77,92,92,82,24,0.1,1,10,4
143,0.1,0.31,0.5,32,20,22,27,75,92,93,88,26,0.1,1,10,4
144,0.1,0.31,0.5,47,35,28,39,-121,91,93,88,22,0.1,0,10,4
145,0.1,0.31,0.5,44,30,25,36,76,92,93,87,25,0.1,1,10,4
146,0.1,0.31,0.5,27,19,22,26,76,92,93,88,25,0.1,1,10,4
147,0.1,0.31,0.5,47,33,28,39,72,92,93,88,29,0.1,1,10,4
148,0.1,0.31,0.5,44,29,25,36,77,92,93,88,24,0.1,1,10,4
