eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,38,0,0,-279,21,-104,-194,180,0.1,0,20,4
1,0.1,0.31,0.5,24,24,6,24,-199,73,-109,-135,100,0.1,0,20,4
2,0.1,0.31,0.5,24,24,7,24,-257,74,-110,-247,158,0.1,0,20,4
3,0.1,0.31,0.5,25,24,24,25,-137,78,-357,-143,258,0.1,0,20,4
4,0.1,0.31,0.5,25,24,25,25,-230,74,-141,-125,131,0.1,0,20,4
5,0.1,0.31,0.5,43,29,59,25,-4,67,11,-276,177,0.1,0,20,4
6,0.1,0.31,0.5,77,56,44,61,44,78,74,-126,57,0.1,0,20,4
7,0.1,0.31,0.5,38,48,25,70,55,59,81,-165,66,0.1,0,20,4
8,0.1,0.31,0.5,53,70,56,72,68,-120,69,-187,88,0.1,0,20,4
9,0.1,0.31,0.5,54,46,39,73,66,70,80,-166,67,0.1,0,20,4
10,0.1,0.31,0.5,64,37,57,73,-159,71,69,-177,78,0.1,0,20,4
11,0.1,0.31,0.5,46,64,53,73,72,66,72,-207,108,0.1,0,20,4
12,0.1,0.31,0.5,44,46,52,73,64,69,60,-109,41,0.1,0,20,4
13,0.1,0.31,0.5,55,43,49,73,68,78,79,-337,238,0.1,0,20,4
14,0.1,0.31,0.5,44,39,40,73,69,78,69,-160,61,0.1,0,20,4
15,0.1,0.31,0.5,61,47,52,74,52,71,60,-283,184,0.1,0,20,4
16,0.1,0.31,0.5,56,54,54,75,68,77,79,-190,91,0.1,0,20,4
17,0.1,0.31,0.5,61,46,63,75,-129,77,-211,-138,112,0.1,0,20,4
18,0.1,0.31,0.5,51,47,39,75,60,-104,81,-200,101,0.1,0,20,4
19,0.1,0.31,0.5,52,50,41,76,58,78,79,-93,194,0.1,1,20,4
20,0.1,0.31,0.5,80,69,91,86,70,71,63,48,53,0.1,1,20,4
21,0.1,0.31,0.5,54,53,46,98,71,75,73,25,76,0.1,1,20,4
22,0.1,0.31,0.5,58,57,76,50,69,-103,55,42,59,0.1,0,20,4
23,0.1,0.31,0.5,78,69,69,100,69,78,77,46,55,0.1,1,20,4
24,0.1,0.31,0.5,71,63,90,86,71,74,-127,53,48,0.1,0,20,4
25,0.1,0.31,0.5,60,74,63,50,70,59,76,51,50,0.1,1,20,4
26,0.1,0.31,0.5,84,73,47,83,21,78,76,51,80,0.1,1,20,4
27,0.1,0.31,0.5,67,49,98,90,69,77,52,-151,52,0.1,0,20,4
28,0.1,0.31,0.5,85,68,88,79,-128,77,-367,55,468,0.1,0,20,4
29,0.1,0.31,0.5,65,61,54,76,73,77,-22,33,123,0.1,1,20,4
