eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
134,0,0.2,0.4,17,21,89,80,21,0.45,1,10
135,0,0.2,0.4,13,9,89,89,12,0.45,1,10
136,0,0.2,0.4,16,16,86,92,15,0.45,1,10
137,0,0.2,0.4,14,12,89,92,12,0.45,1,10
138,0,0.2,0.4,16,15,88,92,13,0.45,1,10
139,0,0.2,0.4,14,13,89,92,12,0.45,1,10
140,0,0.2,0.4,16,15,89,92,12,0.45,1,10
141,0,0.2,0.4,14,13,88,92,13,0.45,1,10
142,0,0.2,0.4,8,15,-110,91,11,0.45,0,10
143,0,0.2,0.4,10,11,-155,88,56,0.45,0,10
144,0,0.2,0.4,10,9,-246,92,147,0.45,0,10
145,0,0.2,0.4,10,7,-121,-107,22,0.45,0,10
146,0,0.2,0.4,21,11,27,85,74,0.45,1,10
147,0,0.2,0.4,20,20,85,91,16,0.45,1,10
148,0,0.2,0.4,17,10,85,92,16,0.45,1,10
