eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,9999,0,21,-125,11,90,0.1,0,10,2
1,0.1,0.31,9999,5,11,-104,89,12,0.1,0,10,2
2,0.1,0.31,9999,11,10,-137,92,38,0.1,0,10,2
3,0.1,0.31,9999,13,10,-113,92,14,0.1,0,10,2
4,0.1,0.31,9999,13,10,-111,90,12,0.1,0,10,2
5,0.1,0.31,9999,13,10,-121,91,22,0.1,0,10,2
6,0.1,0.31,9999,25,10,65,87,36,0.1,1,10,2
7,0.1,0.31,9999,20,19,89,92,12,0.1,1,10,2
8,0.1,0.31,9999,23,15,81,91,20,0.1,1,10,2
9,0.1,0.31,9999,16,18,87,-108,14,0.1,0,10,2
10,0.1,0.31,9999,20,17,-109,92,10,0.1,0,10,2
11,0.1,0.31,9999,21,18,86,90,15,0.1,1,10,2
12,0.1,0.31,9999,20,16,84,92,17,0.1,1,10,2
13,0.1,0.31,9999,20,14,-105,92,9,0.1,0,10,2
14,0.1,0.31,9999,22,16,79,92,22,0.1,1,10,2
15,0.1,0.31,9999,19,21,89,89,12,0.1,1,10,2
16,0.1,0.31,9999,24,16,77,90,24,0.1,1,10,2
17,0.1,0.31,9999,22,21,87,90,14,0.1,1,10,2
18,0.1,0.31,9999,22,22,89,90,12,0.1,1,10,2
19,0.1,0.31,9999,21,21,88,88,13,0.1,1,10,2
20,0.1,0.31,9999,18,24,89,80,21,0.1,1,10,2
21,0.1,0.31,9999,19,21,87,90,14,0.1,1,10,2
22,0.1,0.31,9999,22,20,-126,90,27,0.1,0,10,2
23,0.1,0.31,9999,23,21,86,90,15,0.1,1,10,2
24,0.1,0.31,9999,23,17,-106,90,11,0.1,0,10,2
25,0.1,0.31,9999,21,21,91,90,11,0.1,1,10,2
26,0.1,0.31,9999,21,22,91,90,11,0.1,1,10,2
27,0.1,0.31,9999,23,21,89,90,12,0.1,1,10,2
28,0.1,0.31,9999,19,22,91,88,13,0.1,1,10,2
29,0.1,0.31,9999,21,21,91,90,11,0.1,1,10,2
30,0.1,0.31,9999,21,22,91,90,11,0.1,1,10,2
31,0.1,0.31,9999,21,22,91,90,11,0.1,1,10,2
32,0.1,0.31,9999,21,21,90,90,11,0.1,1,10,2
33,0.1,0.31,9999,20,20,90,90,11,0.1,1,10,2
34,0.1,0.31,9999,20,21,90,88,13,0.1,1,10,2
35,0.1,0.31,9999,21,20,91,90,11,0.1,1,10,2
36,0.1,0.31,9999,16,21,91,-108,10,0.1,0,10,2
37,0.1,0.31,9999,21,21,91,90,11,0.1,1,10,2
38,0.1,0.31,9999,21,22,91,90,11,0.1,1,10,2
39,0.1,0.31,9999,20,21,90,90,11,0.1,1,10,2
40,0.1,0.31,9999,17,19,91,92,10,0.1,1,10,2
41,0.1,0.31,9999,13,19,91,-113,14,0.1,0,10,2
42,0.1,0.31,9999,12,19,91,-118,19,0.1,0,10,2
43,0.1,0.31,9999,18,17,-140,92,41,0.1,0,10,2
44,0.1,0.31,9999,19,14,-119,92,20,0.1,0,10,2
45,0.1,0.31,9999,19,19,91,92,10,0.1,1,10,2
46,0.1,0.31,9999,19,17,89,92,12,0.1,1,10,2
47,0.1,0.31,9999,20,18,85,89,16,0.1,1,10,2
48,0.1,0.31,9999,19,19,91,92,10,0.1,1,10,2
49,0.1,0.31,9999,19,13,-102,91,10,0.1,0,10,2
50,0.1,0.31,9999,19,13,-104,-108,9,0.1,0,10,2
51,0.1,0.31,9999,19,13,-102,-112,13,0.1,0,10,2
52,0.1,0.31,9999,19,13,-106,92,9,0.1,0,10,2
53,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
54,0.1,0.31,9999,19,14,-102,88,13,0.1,0,10,2
55,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
56,0.1,0.31,9999,19,13,-102,91,10,0.1,0,10,2
57,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
58,0.1,0.31,9999,19,13,-102,91,10,0.1,0,10,2
59,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
60,0.1,0.31,9999,19,13,-103,92,9,0.1,0,10,2
61,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
62,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
63,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
64,0.1,0.31,9999,19,12,-102,92,9,0.1,0,10,2
65,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
66,0.1,0.31,9999,19,16,-102,86,15,0.1,0,10,2
67,0.1,0.31,9999,19,12,-102,92,9,0.1,0,10,2
68,0.1,0.31,9999,19,13,-104,92,9,0.1,0,10,2
69,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
70,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
71,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
72,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
73,0.1,0.31,9999,19,14,-102,88,13,0.1,0,10,2
74,0.1,0.31,9999,19,14,-103,85,16,0.1,0,10,2
75,0.1,0.31,9999,19,14,-102,89,12,0.1,0,10,2
76,0.1,0.31,9999,19,14,-102,-108,9,0.1,0,10,2
77,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
78,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
79,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
80,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
81,0.1,0.31,9999,19,13,-102,92,9,0.1,0,10,2
82,0.1,0.31,9999,19,13,-103,92,9,0.1,0,10,2
83,0.1,0.31,9999,19,16,-102,85,16,0.1,0,10,2
84,0.1,0.31,9999,21,14,-104,90,11,0.1,0,10,2
85,0.1,0.31,9999,21,15,-102,90,11,0.1,0,10,2
86,0.1,0.31,9999,21,15,-102,88,13,0.1,0,10,2
87,0.1,0.31,9999,24,15,-109,89,12,0.1,0,10,2
88,0.1,0.31,9999,24,15,-102,90,11,0.1,0,10,2
89,0.1,0.31,9999,24,15,-102,90,11,0.1,0,10,2
90,0.1,0.31,9999,24,15,-102,89,12,0.1,0,10,2
91,0.1,0.31,9999,24,15,-102,90,11,0.1,0,10,2
92,0.1,0.31,9999,24,15,-102,88,13,0.1,0,10,2
93,0.1,0.31,9999,26,15,-118,87,19,0.1,0,10,2
94,0.1,0.31,9999,26,15,-102,90,11,0.1,0,10,2
95,0.1,0.31,9999,26,15,-102,90,11,0.1,0,10,2
96,0.1,0.31,9999,26,15,-102,90,11,0.1,0,10,2
97,0.1,0.31,9999,26,15,-102,90,11,0.1,0,10,2
98,0.1,0.31,9999,26,15,-102,87,14,0.1,0,10,2
99,0.1,0.31,9999,26,20,-107,90,11,0.1,0,10,2
100,0.1,0.31,9999,26,20,-107,89,12,0.1,0,10,2
101,0.1,0.31,9999,26,25,-107,83,18,0.1,0,10,2
102,0.1,0.31,9999,27,20,-109,89,12,0.1,0,10,2
103,0.1,0.31,9999,27,20,-107,-104,8,0.1,0,10,2
104,0.1,0.31,9999,27,19,-110,90,11,0.1,0,10,2
105,0.1,0.31,9999,27,20,-107,90,11,0.1,0,10,2
106,0.1,0.31,9999,27,17,-107,90,11,0.1,0,10,2
