eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,81,0,-300,-276,-154,-373,-526,-224,-92,-159,427,0.1,0,25,8
1,0.1,0.31,0.5,25,25,25,25,25,25,36,25,-547,-232,-336,-304,-457,-407,55,-320,448,0.1,0,25,8
2,0.1,0.31,0.5,25,25,25,25,25,25,30,25,-267,-284,-177,-210,-304,-255,57,-121,205,0.1,0,25,8
3,0.1,0.31,0.5,25,25,79,25,25,25,27,25,-282,-148,-48,-233,-229,-315,76,-750,651,0.1,0,25,8
4,0.1,0.31,0.5,67,164,95,60,67,71,36,67,-269,-403,-189,-156,-395,31,79,-199,504,0.1,0,25,8
5,0.1,0.31,0.5,122,71,106,122,130,85,41,122,-249,42,43,-248,-37,37,79,-192,150,0.1,0,25,8
6,0.1,0.31,0.5,136,103,104,78,58,86,74,136,-312,56,-79,-34,63,39,77,-166,213,0.1,0,25,8
7,0.1,0.31,0.5,153,74,106,165,117,75,52,153,-489,55,28,-148,53,73,81,-169,390,0.1,0,25,8
8,0.1,0.31,0.5,168,132,99,159,79,91,129,155,-205,40,47,-157,64,69,-134,-117,106,0.1,0,25,8
9,0.1,0.31,0.5,175,142,128,77,89,120,79,134,-210,-120,-174,33,34,-162,81,-154,255,0.1,0,25,8
10,0.1,0.31,0.5,105,124,170,120,140,96,82,158,-38,51,-154,68,62,70,76,36,139,0.1,0,25,8
11,0.1,0.31,0.5,165,75,185,112,65,110,115,201,-158,73,-125,54,71,14,58,-135,87,0.1,0,25,8
12,0.1,0.31,0.5,100,144,119,93,112,125,82,175,21,19,-140,69,64,58,78,-158,241,0.1,0,25,8
13,0.1,0.31,0.5,140,131,185,129,111,113,82,134,20,41,-134,60,71,69,81,2,235,0.1,1,25,8
14,0.1,0.31,0.5,116,95,94,84,110,90,71,116,18,53,59,65,41,64,80,42,83,0.1,1,25,8
15,0.1,0.31,0.5,137,128,122,132,159,118,118,151,34,52,54,58,-115,75,69,42,67,0.1,0,25,8
16,0.1,0.31,0.5,142,125,108,122,123,90,106,121,-1,38,67,44,61,75,55,19,102,0.1,1,25,8
17,0.1,0.31,0.5,139,114,142,120,90,151,92,184,33,65,39,60,69,26,82,-148,75,0.1,0,25,8
18,0.1,0.31,0.5,121,119,97,115,134,116,144,101,33,56,69,60,76,-225,1,54,326,0.1,1,25,8
19,0.1,0.31,0.5,145,132,118,126,159,142,120,121,49,61,71,67,15,-29,68,57,130,0.1,1,25,8
20,0.1,0.31,0.5,165,125,121,113,133,147,85,180,23,52,67,59,33,-139,77,43,240,0.1,1,25,8
21,0.1,0.31,0.5,219,136,117,138,155,123,194,103,-140,57,67,60,50,17,-667,44,568,0.1,0,25,8
22,0.1,0.31,0.5,119,136,131,191,150,165,131,153,39,60,64,-152,38,-49,71,45,150,0.1,0,25,8
23,0.1,0.31,0.5,205,152,151,136,149,143,71,202,-176,60,63,63,56,47,79,-8,109,0.1,0,25,8
24,0.1,0.31,0.5,142,142,121,106,155,135,134,139,38,55,65,51,49,64,77,41,63,0.1,1,25,8
25,0.1,0.31,0.5,101,188,141,158,132,206,88,185,48,-151,51,46,53,-268,79,-275,252,0.1,0,25,8
26,0.1,0.31,0.5,173,105,127,135,220,116,94,151,28,55,58,43,-298,59,74,-61,199,0.1,0,25,8
27,0.1,0.31,0.5,136,160,111,112,97,139,102,183,-21,59,71,65,47,23,78,-94,195,0.1,1,25,8
28,0.1,0.31,0.5,173,174,130,158,172,183,127,200,46,47,74,59,45,53,74,-114,215,0.1,1,25,8
29,0.1,0.31,0.5,162,110,133,144,165,163,192,152,40,60,67,65,60,28,-41,-107,208,0.1,1,25,8
30,0.1,0.31,0.5,135,162,117,121,136,134,137,170,44,49,73,61,55,60,76,-10,111,0.1,1,25,8
31,0.1,0.31,0.5,165,138,124,160,148,134,111,222,35,65,70,48,37,67,79,-159,66,0.1,0,25,8
32,0.1,0.31,0.5,210,114,123,208,169,142,140,140,-127,64,68,-149,38,62,-115,24,77,0.1,0,25,8
33,0.1,0.31,0.5,145,158,124,125,127,128,76,125,46,64,74,64,54,65,81,45,56,0.1,1,25,8
34,0.1,0.31,0.5,143,166,111,93,137,128,136,188,-37,-17,73,64,37,61,58,14,138,0.1,1,25,8
35,0.1,0.31,0.5,173,221,105,167,170,141,139,140,50,-155,73,57,31,58,66,35,70,0.1,0,25,8
36,0.1,0.31,0.5,155,101,119,148,134,118,177,139,29,45,68,36,47,66,-128,26,75,0.1,0,25,8
37,0.1,0.31,0.5,131,157,138,126,160,148,91,190,49,40,73,65,46,65,70,23,78,0.1,1,25,8
38,0.1,0.31,0.5,164,216,96,127,155,116,95,131,35,-225,73,68,22,63,76,42,126,0.1,0,25,8
