eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
128,0.1,0.31,0.5,39,45,46,37,32,27,36,36,89,-107,91,92,96,97,95,92,12,0.1,0,10,8
129,0.1,0.31,0.5,46,31,35,32,37,28,22,27,-109,92,91,91,94,97,95,92,10,0.1,0,10,8
130,0.1,0.31,0.5,36,23,21,31,22,15,33,39,89,92,91,92,94,97,95,90,12,0.1,1,10,8
131,0.1,0.31,0.5,22,44,45,36,33,27,35,36,89,92,91,92,96,97,95,92,12,0.1,1,10,8
132,0.1,0.31,0.5,48,32,36,31,35,29,24,26,81,92,91,92,96,97,95,92,20,0.1,1,10,8
133,0.1,0.31,0.5,36,23,22,32,19,15,34,38,89,92,91,92,96,97,95,92,12,0.1,1,10,8
134,0.1,0.31,0.5,21,42,45,36,31,26,34,35,89,92,91,92,96,97,95,92,12,0.1,1,10,8
135,0.1,0.31,0.5,45,33,36,30,33,27,23,24,89,91,88,91,96,97,95,92,13,0.1,1,10,8
136,0.1,0.31,0.5,36,24,41,29,19,13,31,33,89,92,-101,92,96,97,95,92,12,0.1,0,10,8
137,0.1,0.31,0.5,22,43,22,38,33,28,35,39,89,92,91,92,96,97,95,90,12,0.1,1,10,8
138,0.1,0.31,0.5,46,34,39,34,33,30,27,31,85,90,91,92,96,97,95,92,16,0.1,1,10,8
139,0.1,0.31,0.5,36,23,40,28,19,13,31,33,89,92,93,92,96,97,95,92,12,0.1,1,10,8
140,0.1,0.31,0.5,22,43,23,38,34,28,35,37,87,92,91,92,96,97,95,92,14,0.1,1,10,8
141,0.1,0.31,0.5,43,31,37,32,32,29,26,28,89,92,90,92,96,97,95,91,12,0.1,1,10,8
142,0.1,0.31,0.5,37,26,40,28,18,12,29,34,89,90,93,92,96,97,95,91,12,0.1,1,10,8
143,0.1,0.31,0.5,21,41,21,35,35,29,35,35,89,92,93,92,96,97,95,92,12,0.1,1,10,8
144,0.1,0.31,0.5,41,30,35,34,33,30,29,29,89,92,93,91,96,97,95,92,12,0.1,1,10,8
145,0.1,0.31,0.5,38,26,38,29,18,12,29,32,89,92,93,91,96,97,95,92,12,0.1,1,10,8
146,0.1,0.31,0.5,21,40,22,35,34,27,35,35,89,92,93,92,96,97,95,92,12,0.1,1,10,8
147,0.1,0.31,0.5,40,31,34,33,32,30,29,30,89,89,93,92,96,97,95,91,12,0.1,1,10,8
148,0.1,0.31,0.5,37,27,36,28,18,13,27,43,88,92,92,92,96,97,95,-104,13,0.1,0,10,8
