eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,-598,-304,-358,-218,-180,-534,499,0.1,0,25,6
1,0.1,0.31,0.5,0,0,0,0,0,0,-364,-206,-294,-189,-631,-316,532,0.1,0,25,6
2,0.1,0.31,0.5,119,0,0,0,0,0,-197,-172,-387,-271,-225,-224,298,0.1,0,25,6
3,0.1,0.31,0.5,42,41,41,141,69,41,53,-680,-214,-255,40,-166,581,0.1,0,25,6
4,0.1,0.31,0.5,114,98,158,73,42,114,-321,-148,-128,2,79,-286,229,0.1,0,25,6
5,0.1,0.31,0.5,61,135,61,90,68,141,63,-180,53,64,79,-314,215,0.1,0,25,6
6,0.1,0.31,0.5,95,69,84,51,73,33,23,-63,52,63,42,60,164,0.1,1,25,6
7,0.1,0.31,0.5,145,138,98,134,142,114,-147,41,65,50,-127,71,60,0.1,0,25,6
8,0.1,0.31,0.5,77,77,80,75,47,94,60,59,63,55,69,12,89,0.1,1,25,6
9,0.1,0.31,0.5,120,105,113,111,112,93,-161,52,46,53,52,58,62,0.1,0,25,6
10,0.1,0.31,0.5,55,82,145,90,55,73,38,49,-102,50,75,68,203,0.1,1,25,6
11,0.1,0.31,0.5,141,125,93,99,93,101,24,55,60,68,75,70,77,0.1,1,25,6
12,0.1,0.31,0.5,129,97,120,108,93,92,60,59,53,60,69,73,48,0.1,1,25,6
13,0.1,0.31,0.5,68,102,84,141,91,89,67,55,63,-123,59,68,46,0.1,0,25,6
14,0.1,0.31,0.5,111,122,112,90,96,112,69,43,64,69,79,67,58,0.1,1,25,6
15,0.1,0.31,0.5,86,78,119,100,58,62,63,59,-19,48,75,70,120,0.1,1,25,6
16,0.1,0.31,0.5,110,126,118,100,144,109,60,49,52,64,-172,69,73,0.1,0,25,6
17,0.1,0.31,0.5,130,126,154,117,112,126,62,54,-141,65,79,65,47,0.1,0,25,6
18,0.1,0.31,0.5,89,108,121,111,76,85,67,45,35,63,65,69,66,0.1,1,25,6
19,0.1,0.31,0.5,131,102,75,89,100,99,-128,44,59,54,71,70,57,0.1,0,25,6
20,0.1,0.31,0.5,137,129,129,166,87,116,-39,31,56,-14,76,48,140,0.1,1,25,6
21,0.1,0.31,0.5,134,101,128,108,172,86,-13,58,59,58,-185,66,114,0.1,0,25,6
22,0.1,0.31,0.5,103,114,99,163,74,92,65,36,25,-254,79,57,155,0.1,0,25,6
23,0.1,0.31,0.5,111,181,124,98,94,118,53,-105,61,65,77,73,206,0.1,1,25,6
24,0.1,0.31,0.5,115,97,117,86,108,84,39,53,48,67,79,72,62,0.1,1,25,6
25,0.1,0.31,0.5,130,149,100,137,81,111,16,-144,62,59,66,63,85,0.1,0,25,6
26,0.1,0.31,0.5,96,110,143,104,89,103,57,30,-3,66,77,71,104,0.1,1,25,6
27,0.1,0.31,0.5,98,88,180,86,101,86,62,56,-162,62,78,70,63,0.1,0,25,6
28,0.1,0.31,0.5,147,148,112,117,67,114,-147,44,40,66,79,56,61,0.1,0,25,6
29,0.1,0.31,0.5,115,99,76,148,82,105,64,55,54,-160,73,68,61,0.1,0,25,6
30,0.1,0.31,0.5,89,102,142,96,108,103,27,45,59,64,79,63,74,0.1,1,25,6
31,0.1,0.31,0.5,131,123,132,76,59,98,47,54,20,68,79,62,81,0.1,1,25,6
32,0.1,0.31,0.5,105,143,99,134,78,115,63,-8,52,64,77,69,109,0.1,1,25,6
33,0.1,0.31,0.5,88,101,124,86,113,97,62,45,62,62,73,70,56,0.1,1,25,6
34,0.1,0.31,0.5,119,121,103,111,106,97,60,56,54,60,45,63,56,0.1,1,25,6
35,0.1,0.31,0.5,115,128,100,117,98,113,56,45,67,57,78,68,56,0.1,1,25,6
36,0.1,0.31,0.5,75,125,123,135,90,90,58,-34,47,-11,79,73,135,0.1,1,25,6
37,0.1,0.31,0.5,116,128,89,105,82,86,62,44,63,64,74,72,57,0.1,1,25,6
38,0.1,0.31,0.5,119,150,91,98,137,182,66,-153,65,63,-153,-157,258,0.1,0,25,6
39,0.1,0.31,0.5,74,127,148,100,140,82,65,42,-175,67,-128,73,76,0.1,0,25,6
40,0.1,0.31,0.5,142,64,121,101,102,83,-205,51,51,64,77,70,106,0.1,0,25,6
41,0.1,0.31,0.5,125,131,71,93,39,184,53,-177,62,64,77,-82,183,0.1,0,25,6
42,0.1,0.31,0.5,64,151,103,115,108,93,60,-1,67,33,70,73,102,0.1,1,25,6
43,0.1,0.31,0.5,120,63,96,152,86,100,64,61,67,-134,78,48,53,0.1,0,25,6
44,0.1,0.31,0.5,130,131,95,99,118,124,60,51,67,54,-121,-114,50,0.1,0,25,6
45,0.1,0.31,0.5,69,129,104,89,63,128,65,58,67,65,79,48,53,0.1,1,25,6
46,0.1,0.31,0.5,118,74,113,127,82,81,62,51,61,63,77,71,50,0.1,1,25,6
47,0.1,0.31,0.5,121,127,110,92,101,143,60,50,54,65,74,-184,85,0.1,0,25,6
48,0.1,0.31,0.5,75,119,99,87,94,125,66,59,59,67,64,33,68,0.1,1,25,6
49,0.1,0.31,0.5,129,79,111,126,124,63,68,58,67,66,15,71,86,0.1,1,25,6
50,0.1,0.31,0.5,140,105,93,147,96,114,4,51,64,-128,78,75,97,0.1,0,25,6
51,0.1,0.31,0.5,84,123,104,86,106,127,63,59,60,69,44,39,62,0.1,1,25,6
52,0.1,0.31,0.5,139,151,151,98,94,84,-133,-160,-210,54,79,67,111,0.1,0,25,6
53,0.1,0.31,0.5,107,72,99,157,89,122,65,56,67,-142,77,64,45,0.1,0,25,6
54,0.1,0.31,0.5,90,130,88,152,75,108,56,34,63,-135,77,63,67,0.1,0,25,6
55,0.1,0.31,0.5,94,101,91,151,70,68,64,37,67,-128,79,55,64,0.1,0,25,6
56,0.1,0.31,0.5,75,65,70,141,59,116,65,59,68,-209,79,-131,110,0.1,0,25,6
57,0.1,0.31,0.5,104,95,87,156,76,80,45,65,68,10,78,62,91,0.1,1,25,6
58,0.1,0.31,0.5,113,133,118,61,87,91,65,56,69,59,79,71,45,0.1,1,25,6
59,0.1,0.31,0.5,96,65,65,140,75,139,35,61,69,53,74,4,97,0.1,1,25,6
60,0.1,0.31,0.5,98,106,90,146,99,77,60,46,67,-226,65,69,127,0.1,0,25,6
61,0.1,0.31,0.5,126,133,115,124,97,117,62,51,71,61,78,14,87,0.1,1,25,6
62,0.1,0.31,0.5,71,68,62,145,64,95,65,65,71,-157,81,77,58,0.1,0,25,6
63,0.1,0.31,0.5,114,114,107,59,94,148,60,62,69,55,77,-145,46,0.1,0,25,6
64,0.1,0.31,0.5,140,95,87,143,67,72,-184,65,71,-68,79,73,169,0.1,0,25,6
65,0.1,0.31,0.5,84,106,84,113,80,83,54,56,71,51,79,75,50,0.1,1,25,6
66,0.1,0.31,0.5,104,92,119,80,81,102,42,60,40,62,76,72,61,0.1,1,25,6
67,0.1,0.31,0.5,121,118,115,130,81,97,65,61,59,37,79,68,64,0.1,1,25,6
68,0.1,0.31,0.5,97,84,81,119,95,79,59,51,71,57,66,69,50,0.1,1,25,6
69,0.1,0.31,0.5,105,118,105,86,123,116,61,62,71,61,57,73,44,0.1,1,25,6
70,0.1,0.31,0.5,116,124,100,144,95,83,54,19,59,-172,68,72,82,0.1,0,25,6
71,0.1,0.31,0.5,96,82,141,94,99,74,38,63,-165,65,56,71,66,0.1,0,25,6
72,0.1,0.31,0.5,73,96,80,89,83,103,65,63,26,40,67,63,75,0.1,1,25,6
73,0.1,0.31,0.5,127,122,95,130,106,141,63,64,69,66,77,5,96,0.1,1,25,6
74,0.1,0.31,0.5,95,78,113,102,120,75,68,62,69,64,-117,71,39,0.1,0,25,6
75,0.1,0.31,0.5,88,103,84,77,83,115,67,63,69,60,69,68,41,0.1,1,25,6
76,0.1,0.31,0.5,90,96,82,183,78,67,67,63,69,-323,69,70,424,0.1,1,25,6
77,0.1,0.31,0.5,98,96,101,97,90,87,67,52,59,46,70,70,55,0.1,1,25,6
78,0.1,0.31,0.5,100,109,104,120,116,118,69,65,70,59,64,69,42,0.1,1,25,6
79,0.1,0.31,0.5,113,119,99,120,92,88,52,59,67,60,70,68,49,0.1,1,25,6
80,0.1,0.31,0.5,119,86,146,98,96,96,60,64,-163,49,67,66,64,0.1,0,25,6
81,0.1,0.31,0.5,90,108,93,123,107,106,64,65,73,47,63,64,54,0.1,1,25,6
82,0.1,0.31,0.5,111,120,77,120,109,107,67,65,70,59,64,65,42,0.1,1,25,6
83,0.1,0.31,0.5,112,101,138,97,105,103,68,60,65,61,69,66,41,0.1,1,25,6
84,0.1,0.31,0.5,149,114,92,117,101,106,-153,59,71,61,67,70,54,0.1,0,25,6
85,0.1,0.31,0.5,95,112,93,117,96,108,65,64,53,55,67,59,48,0.1,1,25,6
86,0.1,0.31,0.5,75,83,120,120,90,92,69,65,66,8,77,62,93,0.1,1,25,6
87,0.1,0.31,0.5,133,116,88,117,104,98,69,63,71,57,68,70,44,0.1,1,25,6
88,0.1,0.31,0.5,96,126,86,119,126,113,60,56,71,57,42,66,59,0.1,1,25,6
89,0.1,0.31,0.5,92,89,114,104,97,96,69,61,67,53,65,70,48,0.1,1,25,6
90,0.1,0.31,0.5,149,102,112,107,94,94,-201,65,57,61,66,71,102,0.1,0,25,6
91,0.1,0.31,0.5,134,123,102,118,142,112,64,60,68,58,9,69,92,0.1,1,25,6
92,0.1,0.31,0.5,44,101,105,113,102,100,62,58,71,52,69,67,49,0.1,1,25,6
93,0.1,0.31,0.5,123,113,87,101,146,76,58,31,72,52,-163,71,70,0.1,0,25,6
94,0.1,0.31,0.5,124,127,93,122,97,102,62,62,69,59,51,70,50,0.1,1,25,6
95,0.1,0.31,0.5,81,106,117,111,71,164,53,38,70,54,67,-4,105,0.1,1,25,6
96,0.1,0.31,0.5,123,96,147,90,134,83,52,65,-190,59,65,66,91,0.1,0,25,6
97,0.1,0.31,0.5,126,145,87,116,95,103,37,-153,71,55,76,53,64,0.1,0,25,6
98,0.1,0.31,0.5,88,116,87,112,87,115,64,61,69,56,69,73,45,0.1,1,25,6
99,0.1,0.31,0.5,116,120,127,104,127,82,65,-26,65,53,65,69,127,0.1,1,25,6
100,0.1,0.31,0.5,116,120,80,116,93,99,52,63,71,61,65,73,49,0.1,1,25,6
101,0.1,0.31,0.5,86,123,94,106,95,104,66,63,69,61,66,73,40,0.1,1,25,6
102,0.1,0.31,0.5,119,78,111,94,143,76,67,63,70,60,21,73,80,0.1,1,25,6
103,0.1,0.31,0.5,102,116,96,126,89,114,67,64,71,57,67,63,44,0.1,1,25,6
104,0.1,0.31,0.5,91,118,91,131,94,112,63,61,67,15,69,71,86,0.1,1,25,6
105,0.1,0.31,0.5,118,84,142,107,128,83,67,61,-143,47,69,72,54,0.1,0,25,6
106,0.1,0.31,0.5,102,107,124,136,84,143,65,63,70,14,66,-308,209,0.1,0,25,6
107,0.1,0.31,0.5,90,114,52,120,93,116,64,64,61,54,66,60,47,0.1,1,25,6
108,0.1,0.31,0.5,114,85,124,106,127,65,66,65,71,58,68,63,43,0.1,1,25,6
109,0.1,0.31,0.5,102,115,114,120,87,136,66,63,72,61,67,67,40,0.1,1,25,6
110,0.1,0.31,0.5,98,120,57,118,100,99,65,63,70,60,69,72,41,0.1,1,25,6
111,0.1,0.31,0.5,113,94,121,103,114,65,67,60,70,43,69,68,58,0.1,1,25,6
112,0.1,0.31,0.5,117,109,123,126,90,119,43,64,67,56,67,73,58,0.1,1,25,6
113,0.1,0.31,0.5,99,131,64,130,100,113,67,41,71,46,69,55,60,0.1,1,25,6
114,0.1,0.31,0.5,115,102,117,97,113,79,62,65,68,55,66,62,46,0.1,1,25,6
115,0.1,0.31,0.5,101,103,114,124,101,123,67,56,68,60,65,53,48,0.1,1,25,6
116,0.1,0.31,0.5,104,119,75,124,96,119,60,65,71,47,69,70,54,0.1,1,25,6
117,0.1,0.31,0.5,122,94,107,90,109,66,52,62,71,58,79,78,49,0.1,1,25,6
118,0.1,0.31,0.5,153,116,109,141,87,117,-183,41,69,-144,68,36,84,0.1,0,25,6
119,0.1,0.31,0.5,108,119,75,119,108,107,67,63,67,56,57,73,45,0.1,1,25,6
120,0.1,0.31,0.5,73,98,115,79,125,78,64,52,68,58,79,72,49,0.1,1,25,6
121,0.1,0.31,0.5,140,116,103,133,70,104,-141,58,71,59,79,-111,43,0.1,0,25,6
122,0.1,0.31,0.5,138,115,67,114,77,99,67,52,68,57,77,73,49,0.1,1,25,6
123,0.1,0.31,0.5,50,85,107,145,89,55,51,51,69,-184,79,72,85,0.1,0,25,6
124,0.1,0.31,0.5,140,111,116,78,78,125,61,65,66,61,79,66,40,0.1,1,25,6
125,0.1,0.31,0.5,132,130,78,99,72,119,69,36,70,57,77,70,65,0.1,1,25,6
126,0.1,0.31,0.5,57,91,109,146,156,84,64,65,70,47,-38,39,139,0.1,1,25,6
127,0.1,0.31,0.5,125,105,99,80,85,102,68,63,71,60,79,73,41,0.1,1,25,6
128,0.1,0.31,0.5,122,111,80,117,81,100,55,61,61,31,79,72,70,0.1,1,25,6
129,0.1,0.31,0.5,79,86,99,136,91,72,-140,58,70,53,79,73,241,0.1,1,25,6
130,0.1,0.31,0.5,141,114,107,86,82,104,-94,65,71,60,75,73,195,0.1,1,25,6
131,0.1,0.31,0.5,126,111,129,107,90,107,-45,65,-17,59,79,70,146,0.1,1,25,6
132,0.1,0.31,0.5,152,95,104,133,93,81,-257,61,71,61,79,73,158,0.1,0,25,6
133,0.1,0.31,0.5,72,115,103,88,73,98,55,65,71,57,78,73,46,0.1,1,25,6
134,0.1,0.31,0.5,140,117,106,102,85,102,-528,50,33,61,79,71,429,0.1,0,25,6
135,0.1,0.31,0.5,108,92,109,130,91,84,3,58,71,61,79,73,98,0.1,1,25,6
136,0.1,0.31,0.5,69,110,92,82,65,174,-51,63,71,63,79,-138,239,0.1,1,25,6
137,0.1,0.31,0.5,135,97,108,115,78,90,37,62,41,43,79,72,64,0.1,1,25,6
138,0.1,0.31,0.5,139,101,117,175,94,90,-280,53,72,-152,79,66,253,0.1,0,25,6
139,0.1,0.31,0.5,135,99,90,79,61,118,-63,65,69,53,75,44,164,0.1,1,25,6
140,0.1,0.31,0.5,75,91,87,112,92,92,-157,65,69,41,74,73,258,0.1,1,25,6
141,0.1,0.31,0.5,122,97,97,120,96,83,42,60,69,52,79,72,59,0.1,1,25,6
142,0.1,0.31,0.5,132,105,120,102,69,98,-303,58,-112,37,78,73,404,0.1,0,25,6
143,0.1,0.31,0.5,76,101,116,104,76,105,-73,64,65,63,79,64,174,0.1,1,25,6
