eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
103,0.1,0.31,0.5,53,59,57,57,43,51,67,86,77,84,68,78,34,0.1,1,15,6
104,0.1,0.31,0.5,61,42,59,53,67,45,67,87,75,85,61,84,40,0.1,1,15,6
105,0.1,0.31,0.5,62,47,52,40,67,76,64,85,75,85,71,74,37,0.1,1,15,6
106,0.1,0.31,0.5,59,58,62,52,45,50,64,84,61,85,72,84,40,0.1,1,15,6
107,0.1,0.31,0.5,64,51,60,56,63,45,45,66,77,74,72,83,56,0.1,1,15,6
108,0.1,0.31,0.5,65,55,58,58,66,64,62,85,72,85,72,84,39,0.1,1,15,6
109,0.1,0.31,0.5,61,57,57,52,50,53,63,87,74,85,70,80,38,0.1,1,15,6
110,0.1,0.31,0.5,60,51,57,52,61,45,64,76,73,81,67,84,37,0.1,1,15,6
111,0.1,0.31,0.5,65,53,55,54,65,58,64,85,74,85,71,84,37,0.1,1,15,6
112,0.1,0.31,0.5,60,60,57,53,49,52,67,87,77,85,70,84,34,0.1,1,15,6
113,0.1,0.31,0.5,65,43,55,50,59,42,53,85,77,80,70,84,48,0.1,1,15,6
114,0.1,0.31,0.5,62,53,57,59,66,62,52,83,77,84,71,83,49,0.1,1,15,6
115,0.1,0.31,0.5,59,55,54,51,48,47,66,87,75,85,72,84,35,0.1,1,15,6
116,0.1,0.31,0.5,60,53,72,44,61,49,67,70,-120,85,72,81,34,0.1,0,15,6
117,0.1,0.31,0.5,59,52,54,60,63,61,67,87,75,82,70,84,34,0.1,1,15,6
118,0.1,0.31,0.5,69,55,43,53,48,46,13,86,77,85,72,84,88,0.1,1,15,6
119,0.1,0.31,0.5,58,43,70,45,60,49,66,87,75,85,72,84,35,0.1,1,15,6
120,0.1,0.31,0.5,64,46,53,56,66,62,67,87,77,83,72,84,34,0.1,1,15,6
121,0.1,0.31,0.5,59,58,46,54,49,46,61,85,77,83,72,84,40,0.1,1,15,6
