eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status
0,0.1,0.1,0.2,0,15,-103,70,31,0.49,0
1,0.1,0.1,0.2,5,14,-104,81,20,0.49,0
2,0.1,0.1,0.2,9,10,-122,87,23,0.49,0
3,0.1,0.1,0.2,10,10,-143,91,44,0.49,0
4,0.1,0.1,0.2,10,10,-136,91,37,0.49,0
5,0.1,0.1,0.2,10,10,-126,92,27,0.49,0
6,0.1,0.1,0.2,10,11,-115,92,16,0.49,0
7,0.1,0.1,0.2,11,11,-113,92,14,0.49,0
8,0.1,0.1,0.2,14,12,-109,87,14,0.49,0
9,0.1,0.1,0.2,15,12,-111,90,12,0.49,0
10,0.1,0.1,0.2,15,12,-150,90,51,0.49,0
11,0.1,0.1,0.2,15,12,-120,90,21,0.49,0
12,0.1,0.1,0.2,15,12,-119,-107,20,0.49,0
13,0.1,0.1,0.2,15,20,-105,67,34,0.49,0
14,0.1,0.1,0.2,15,12,-169,90,70,0.49,0
15,0.1,0.1,0.2,15,12,-130,90,31,0.49,0
16,0.1,0.1,0.2,15,12,-129,90,30,0.49,0
17,0.1,0.1,0.2,15,12,-114,90,15,0.49,0
18,0.1,0.1,0.2,18,12,26,90,75,0.49,1
19,0.1,0.1,0.2,18,16,-103,90,11,0.49,0
20,0.1,0.1,0.2,21,15,-110,90,11,0.49,0
21,0.1,0.1,0.2,20,16,-116,-108,17,0.49,0
22,0.1,0.1,0.2,20,13,-129,86,30,0.49,0
23,0.1,0.1,0.2,18,13,-182,-110,83,0.49,0
24,0.1,0.1,0.2,23,12,71,88,30,0.49,1
25,0.1,0.1,0.2,16,22,-112,90,13,0.49,0
26,0.1,0.1,0.2,27,12,48,89,53,0.49,1
27,0.1,0.1,0.2,13,23,89,83,18,0.49,1
28,0.1,0.1,0.2,20,13,87,86,15,0.49,1
29,0.1,0.1,0.2,20,21,88,-112,13,0.49,0
30,0.1,0.1,0.2,19,12,89,90,12,0.49,1
31,0.1,0.1,0.2,14,16,-105,91,10,0.49,0
32,0.1,0.1,0.2,16,12,-141,89,42,0.49,0
33,0.1,0.1,0.2,16,12,-142,90,43,0.49,0
34,0.1,0.1,0.2,16,12,-127,90,28,0.49,0
35,0.1,0.1,0.2,16,12,-119,90,20,0.49,0
36,0.1,0.1,0.2,16,12,-119,88,20,0.49,0
37,0.1,0.1,0.2,12,12,81,90,20,0.49,1
38,0.1,0.1,0.2,20,20,87,90,14,0.49,1
39,0.1,0.1,0.2,20,20,-106,-111,12,0.49,0
40,0.1,0.1,0.2,15,17,-106,84,17,0.49,0
41,0.1,0.1,0.2,15,17,-116,-109,17,0.49,0
42,0.1,0.1,0.2,15,17,-175,-111,76,0.49,0
43,0.1,0.1,0.2,15,17,-113,-109,14,0.49,0
44,0.1,0.1,0.2,13,16,-128,-109,29,0.49,0
45,0.1,0.1,0.2,13,12,-138,85,39,0.49,0
46,0.1,0.1,0.2,14,12,-169,89,70,0.49,0
47,0.1,0.1,0.2,14,15,-139,77,40,0.49,0
48,0.1,0.1,0.2,14,12,-137,90,38,0.49,0
49,0.1,0.1,0.2,14,12,-123,90,24,0.49,0
50,0.1,0.1,0.2,14,14,-261,85,162,0.49,0
51,0.1,0.1,0.2,14,12,-112,90,13,0.49,0
52,0.1,0.1,0.2,14,12,-150,86,51,0.49,0
53,0.1,0.1,0.2,14,12,-180,90,81,0.49,0
54,0.1,0.1,0.2,14,12,-150,90,51,0.49,0
55,0.1,0.1,0.2,14,12,-201,87,102,0.49,0
56,0.1,0.1,0.2,14,12,-126,90,27,0.49,0
57,0.1,0.1,0.2,14,12,-200,90,101,0.49,0
58,0.1,0.1,0.2,14,12,-121,-107,22,0.49,0
