eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status
0,0.1,0.4,0.2,0,0,-114,-161,62,0.49,0
1,0.1,0.4,0.2,0,0,-140,-139,41,0.49,0
2,0.1,0.4,0.2,0,0,-114,-124,25,0.49,0
3,0.1,0.4,0.2,0,0,-140,-124,41,0.49,0
4,0.1,0.4,0.2,0,24,-121,-12,113,0.49,0
5,0.1,0.4,0.2,7,9,-106,92,9,0.49,0
6,0.1,0.4,0.2,9,10,-129,91,30,0.49,0
7,0.1,0.4,0.2,21,10,64,92,37,0.49,1
8,0.1,0.4,0.2,23,15,-109,89,12,0.49,0
9,0.1,0.4,0.2,21,11,-108,-115,16,0.49,0
10,0.1,0.4,0.2,26,13,58,-130,43,0.49,0
11,0.1,0.4,0.2,15,22,87,69,32,0.49,1
12,0.1,0.4,0.2,21,13,-109,92,10,0.49,0
13,0.1,0.4,0.2,21,9,-141,92,42,0.49,0
14,0.1,0.4,0.2,23,11,66,86,35,0.49,1
15,0.1,0.4,0.2,22,19,87,92,14,0.49,1
16,0.1,0.4,0.2,20,16,85,90,16,0.49,1
17,0.1,0.4,0.2,20,19,87,87,14,0.49,1
18,0.1,0.4,0.2,25,12,72,92,29,0.49,1
19,0.1,0.4,0.2,25,12,-103,92,9,0.49,0
20,0.1,0.4,0.2,23,14,-120,90,21,0.49,0
21,0.1,0.4,0.2,23,10,-112,92,13,0.49,0
22,0.1,0.4,0.2,23,10,-113,92,14,0.49,0
23,0.1,0.4,0.2,22,18,-182,72,83,0.49,0
24,0.1,0.4,0.2,22,10,-105,92,9,0.49,0
25,0.1,0.4,0.2,30,10,63,92,38,0.49,1
26,0.1,0.4,0.2,27,16,-104,88,13,0.49,0
27,0.1,0.4,0.2,32,13,51,91,50,0.49,1
28,0.1,0.4,0.2,24,17,87,92,14,0.49,1
29,0.1,0.4,0.2,17,11,89,92,12,0.49,1
30,0.1,0.4,0.2,10,17,-118,92,19,0.49,0
31,0.1,0.4,0.2,11,16,-140,-108,41,0.49,0
32,0.1,0.4,0.2,11,10,-131,92,32,0.49,0
33,0.1,0.4,0.2,11,10,-114,92,15,0.49,0
34,0.1,0.4,0.2,11,11,-133,90,34,0.49,0
35,0.1,0.4,0.2,11,12,-127,89,28,0.49,0
36,0.1,0.4,0.2,11,11,-159,92,60,0.49,0
37,0.1,0.4,0.2,11,10,-110,92,11,0.49,0
38,0.1,0.4,0.2,11,10,-153,92,54,0.49,0
39,0.1,0.4,0.2,10,11,-114,89,15,0.49,0
40,0.1,0.4,0.2,10,10,-140,91,41,0.49,0
41,0.1,0.4,0.2,10,10,-140,90,41,0.49,0
42,0.1,0.4,0.2,10,10,-125,-105,26,0.49,0
43,0.1,0.4,0.2,10,10,-131,92,32,0.49,0
44,0.1,0.4,0.2,10,10,-116,92,17,0.49,0
45,0.1,0.4,0.2,26,10,22,92,79,0.49,1
46,0.1,0.4,0.2,17,16,87,92,14,0.49,1
47,0.1,0.4,0.2,15,12,87,89,14,0.49,1
48,0.1,0.4,0.2,17,16,87,89,14,0.49,1
49,0.1,0.4,0.2,16,11,84,92,17,0.49,1
50,0.1,0.4,0.2,17,17,87,92,14,0.49,1
51,0.1,0.4,0.2,16,16,87,89,14,0.49,1
52,0.1,0.4,0.2,16,17,86,-107,15,0.49,0
53,0.1,0.4,0.2,18,12,85,92,16,0.49,1
54,0.1,0.4,0.2,16,17,86,89,15,0.49,1
55,0.1,0.4,0.2,16,15,86,92,15,0.49,1
56,0.1,0.4,0.2,17,17,87,89,14,0.49,1
57,0.1,0.4,0.2,15,12,87,92,14,0.49,1
58,0.1,0.4,0.2,17,17,86,92,15,0.49,1
