eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status
0,0.1,0.2,0.2,0,0,-108,-123,24,0.49,0
1,0.1,0.2,0.2,0,0,-112,-199,100,0.49,0
2,0.1,0.2,0.2,0,0,-141,-126,42,0.49,0
3,0.1,0.2,0.2,0,0,-106,-110,11,0.49,0
4,0.1,0.2,0.2,0,0,-115,-188,89,0.49,0
5,0.1,0.2,0.2,0,16,-114,46,55,0.49,0
6,0.1,0.2,0.2,9,11,-116,90,17,0.49,0
7,0.1,0.2,0.2,11,10,-123,92,24,0.49,0
8,0.1,0.2,0.2,11,10,-133,90,34,0.49,0
9,0.1,0.2,0.2,11,10,-132,92,33,0.49,0
10,0.1,0.2,0.2,11,10,-138,92,39,0.49,0
11,0.1,0.2,0.2,11,10,-149,92,50,0.49,0
12,0.1,0.2,0.2,11,10,-180,-108,81,0.49,0
13,0.1,0.2,0.2,11,10,-124,92,25,0.49,0
14,0.1,0.2,0.2,11,10,-123,92,24,0.49,0
15,0.1,0.2,0.2,11,10,-139,91,40,0.49,0
16,0.1,0.2,0.2,27,10,42,-124,59,0.49,0
17,0.1,0.2,0.2,19,19,83,91,18,0.49,1
18,0.1,0.2,0.2,19,10,80,91,21,0.49,1
19,0.1,0.2,0.2,21,19,78,90,23,0.49,1
20,0.1,0.2,0.2,18,10,80,92,21,0.49,1
21,0.1,0.2,0.2,19,23,81,85,20,0.49,1
22,0.1,0.2,0.2,19,19,82,92,19,0.49,1
23,0.1,0.2,0.2,19,10,77,92,24,0.49,1
24,0.1,0.2,0.2,18,16,79,92,22,0.49,1
25,0.1,0.2,0.2,19,19,82,91,19,0.49,1
26,0.1,0.2,0.2,19,19,-102,92,9,0.49,0
27,0.1,0.2,0.2,19,13,82,89,19,0.49,1
28,0.1,0.2,0.2,19,16,82,92,19,0.49,1
29,0.1,0.2,0.2,18,19,83,92,18,0.49,1
30,0.1,0.2,0.2,19,20,82,90,19,0.49,1
31,0.1,0.2,0.2,21,14,78,89,23,0.49,1
32,0.1,0.2,0.2,19,16,82,92,19,0.49,1
33,0.1,0.2,0.2,23,19,69,90,32,0.49,1
34,0.1,0.2,0.2,18,19,83,-106,18,0.49,0
35,0.1,0.2,0.2,20,20,76,89,25,0.49,1
36,0.1,0.2,0.2,20,20,81,-115,20,0.49,0
37,0.1,0.2,0.2,19,13,82,90,19,0.49,1
38,0.1,0.2,0.2,18,17,83,92,18,0.49,1
39,0.1,0.2,0.2,18,18,-117,-107,18,0.49,0
40,0.1,0.2,0.2,18,18,-116,-107,17,0.49,0
41,0.1,0.2,0.2,3,10,-122,-108,23,0.49,0
42,0.1,0.2,0.2,3,10,-113,-143,44,0.49,0
43,0.1,0.2,0.2,3,9,-131,-162,63,0.49,0
44,0.1,0.2,0.2,3,8,-122,-109,23,0.49,0
45,0.1,0.2,0.2,5,28,-188,29,89,0.49,0
46,0.1,0.2,0.2,16,21,-134,87,35,0.49,0
47,0.1,0.2,0.2,25,15,63,86,38,0.49,1
48,0.1,0.2,0.2,27,14,-147,88,48,0.49,0
49,0.1,0.2,0.2,27,26,71,88,30,0.49,1
50,0.1,0.2,0.2,23,17,78,86,23,0.49,1
51,0.1,0.2,0.2,22,16,78,92,23,0.49,1
52,0.1,0.2,0.2,20,23,81,64,37,0.49,1
53,0.1,0.2,0.2,25,12,70,92,31,0.49,1
54,0.1,0.2,0.2,24,15,76,91,25,0.49,1
55,0.1,0.2,0.2,21,19,77,92,24,0.49,1
56,0.1,0.2,0.2,24,18,81,92,20,0.49,1
57,0.1,0.2,0.2,22,13,79,92,22,0.49,1
58,0.1,0.2,0.2,20,24,-115,82,19,0.49,0
