eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status
0,0.1,0.4,0.2,0,0,-123,-167,68,0.49,0
1,0.1,0.4,0.2,0,0,-127,-112,28,0.49,0
2,0.1,0.4,0.2,0,0,-112,-159,60,0.49,0
3,0.1,0.4,0.2,0,16,-107,81,20,0.49,0
4,0.1,0.4,0.2,0,13,-111,88,13,0.49,0
5,0.1,0.4,0.2,0,14,-131,88,32,0.49,0
6,0.1,0.4,0.2,0,14,-154,86,55,0.49,0
7,0.1,0.4,0.2,0,3,-134,-115,35,0.49,0
8,0.1,0.4,0.2,0,3,-156,-160,61,0.49,0
9,0.1,0.4,0.2,0,14,-123,75,26,0.49,0
10,0.1,0.4,0.2,0,10,-136,92,37,0.49,0
11,0.1,0.4,0.2,0,10,-188,92,89,0.49,0
12,0.1,0.4,0.2,0,10,-144,91,45,0.49,0
13,0.1,0.4,0.2,0,10,-103,92,9,0.49,0
14,0.1,0.4,0.2,0,10,-136,92,37,0.49,0
15,0.1,0.4,0.2,0,10,-117,90,18,0.49,0
16,0.1,0.4,0.2,0,10,-153,92,54,0.49,0
17,0.1,0.4,0.2,0,10,-119,91,20,0.49,0
18,0.1,0.4,0.2,0,10,-167,92,68,0.49,0
19,0.1,0.4,0.2,0,11,-166,89,67,0.49,0
20,0.1,0.4,0.2,0,10,-108,92,9,0.49,0
21,0.1,0.4,0.2,0,10,-104,92,9,0.49,0
22,0.1,0.4,0.2,0,10,-115,92,16,0.49,0
23,0.1,0.4,0.2,0,10,-127,91,28,0.49,0
24,0.1,0.4,0.2,0,10,-125,90,26,0.49,0
25,0.1,0.4,0.2,0,10,-155,92,56,0.49,0
26,0.1,0.4,0.2,0,10,-121,90,22,0.49,0
27,0.1,0.4,0.2,0,10,-118,-115,19,0.49,0
28,0.1,0.4,0.2,0,10,-136,91,37,0.49,0
29,0.1,0.4,0.2,0,11,-116,90,17,0.49,0
30,0.1,0.4,0.2,0,5,-162,-108,63,0.49,0
31,0.1,0.4,0.2,0,5,-126,-119,27,0.49,0
32,0.1,0.4,0.2,0,4,-114,-119,20,0.49,0
33,0.1,0.4,0.2,0,16,-184,73,85,0.49,0
34,0.1,0.4,0.2,0,14,-136,88,37,0.49,0
35,0.1,0.4,0.2,0,14,-228,88,129,0.49,0
36,0.1,0.4,0.2,0,10,-135,-109,36,0.49,0
37,0.1,0.4,0.2,0,11,-141,92,42,0.49,0
38,0.1,0.4,0.2,0,10,-117,91,18,0.49,0
39,0.1,0.4,0.2,0,10,-151,91,52,0.49,0
40,0.1,0.4,0.2,0,10,-141,92,42,0.49,0
41,0.1,0.4,0.2,0,14,-121,89,22,0.49,0
42,0.1,0.4,0.2,0,10,-114,91,15,0.49,0
43,0.1,0.4,0.2,0,10,-126,92,27,0.49,0
44,0.1,0.4,0.2,0,13,-194,86,95,0.49,0
45,0.1,0.4,0.2,0,10,-125,92,26,0.49,0
46,0.1,0.4,0.2,0,10,-121,91,22,0.49,0
47,0.1,0.4,0.2,0,10,-159,92,60,0.49,0
48,0.1,0.4,0.2,0,10,-114,92,15,0.49,0
49,0.1,0.4,0.2,0,15,-142,77,43,0.49,0
50,0.1,0.4,0.2,0,10,-119,91,20,0.49,0
51,0.1,0.4,0.2,0,10,-174,91,75,0.49,0
52,0.1,0.4,0.2,0,10,-145,89,46,0.49,0
53,0.1,0.4,0.2,0,10,-160,92,61,0.49,0
54,0.1,0.4,0.2,0,10,-188,92,89,0.49,0
55,0.1,0.4,0.2,0,10,-184,92,85,0.49,0
56,0.1,0.4,0.2,0,10,-118,92,19,0.49,0
57,0.1,0.4,0.2,0,10,-144,92,45,0.49,0
58,0.1,0.4,0.2,0,10,-163,92,64,0.49,0
