eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status
0,0.1,0.4,0.2,0,0,-121,-123,24,0.49,0
1,0.1,0.4,0.2,0,0,-111,-127,28,0.49,0
2,0.1,0.4,0.2,0,23,-108,52,49,0.49,0
3,0.1,0.4,0.2,0,14,-137,85,38,0.49,0
4,0.1,0.4,0.2,0,13,-108,82,19,0.49,0
5,0.1,0.4,0.2,0,19,-143,73,44,0.49,0
6,0.1,0.4,0.2,0,13,-106,86,15,0.49,0
7,0.1,0.4,0.2,0,15,-193,84,94,0.49,0
8,0.1,0.4,0.2,0,11,-110,-118,19,0.49,0
9,0.1,0.4,0.2,0,8,-139,-147,48,0.49,0
10,0.1,0.4,0.2,20,8,41,-129,60,0.49,0
11,0.1,0.4,0.2,17,17,81,67,34,0.49,1
12,0.1,0.4,0.2,13,13,89,88,13,0.49,1
13,0.1,0.4,0.2,13,14,87,88,14,0.49,1
14,0.1,0.4,0.2,13,13,89,87,14,0.49,1
15,0.1,0.4,0.2,13,13,87,87,14,0.49,1
16,0.1,0.4,0.2,15,13,87,85,16,0.49,1
17,0.1,0.4,0.2,13,13,87,84,17,0.49,1
18,0.1,0.4,0.2,12,13,88,88,13,0.49,1
19,0.1,0.4,0.2,12,13,-105,88,13,0.49,0
20,0.1,0.4,0.2,5,14,-105,79,22,0.49,0
21,0.1,0.4,0.2,5,14,-113,88,14,0.49,0
22,0.1,0.4,0.2,5,15,-113,81,20,0.49,0
23,0.1,0.4,0.2,5,14,-117,87,18,0.49,0
24,0.1,0.4,0.2,5,13,-113,87,14,0.49,0
25,0.1,0.4,0.2,5,13,-140,-108,41,0.49,0
26,0.1,0.4,0.2,5,14,-115,87,16,0.49,0
27,0.1,0.4,0.2,5,19,-155,82,56,0.49,0
28,0.1,0.4,0.2,5,14,-136,88,37,0.49,0
29,0.1,0.4,0.2,17,14,49,88,52,0.49,1
30,0.1,0.4,0.2,14,14,86,88,15,0.49,1
31,0.1,0.4,0.2,11,14,-105,85,16,0.49,0
32,0.1,0.4,0.2,11,16,-123,84,24,0.49,0
33,0.1,0.4,0.2,11,14,-111,86,15,0.49,0
34,0.1,0.4,0.2,17,14,70,88,31,0.49,1
35,0.1,0.4,0.2,14,17,85,85,16,0.49,1
36,0.1,0.4,0.2,14,14,87,88,14,0.49,1
37,0.1,0.4,0.2,14,14,87,88,14,0.49,1
38,0.1,0.4,0.2,15,14,82,88,19,0.49,1
39,0.1,0.4,0.2,6,17,-108,83,18,0.49,0
40,0.1,0.4,0.2,5,15,-155,86,56,0.49,0
41,0.1,0.4,0.2,5,14,-122,86,23,0.49,0
42,0.1,0.4,0.2,5,14,-170,88,71,0.49,0
43,0.1,0.4,0.2,5,14,-168,-112,69,0.49,0
44,0.1,0.4,0.2,5,14,-120,88,21,0.49,0
45,0.1,0.4,0.2,5,14,-148,86,49,0.49,0
46,0.1,0.4,0.2,5,14,-139,88,40,0.49,0
47,0.1,0.4,0.2,5,14,-138,87,39,0.49,0
48,0.1,0.4,0.2,5,14,-215,88,116,0.49,0
49,0.1,0.4,0.2,5,14,-185,87,86,0.49,0
50,0.1,0.4,0.2,5,14,-194,86,95,0.49,0
51,0.1,0.4,0.2,5,14,-201,88,102,0.49,0
52,0.1,0.4,0.2,5,14,-139,88,40,0.49,0
53,0.1,0.4,0.2,5,14,-183,88,84,0.49,0
54,0.1,0.4,0.2,5,14,-161,88,62,0.49,0
55,0.1,0.4,0.2,5,14,-136,88,37,0.49,0
56,0.1,0.4,0.2,5,22,-185,71,86,0.49,0
57,0.1,0.4,0.2,5,14,-140,84,41,0.49,0
58,0.1,0.4,0.2,5,14,-139,88,40,0.49,0
