eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,62,-211,-496,-289,-435,-180,-55,397,0.1,0,25,6
1,0.1,0.31,0.5,0,0,0,0,0,24,-392,-165,-529,-145,-546,72,447,0.1,0,25,6
2,0.1,0.31,0.5,0,0,0,0,0,28,-217,-383,-184,-278,-198,67,284,0.1,0,25,6
3,0.1,0.31,0.5,188,0,0,0,0,30,-534,-487,-239,-336,-297,77,635,0.1,0,25,6
4,0.1,0.31,0.5,53,0,0,0,0,26,28,-266,-588,-338,-176,69,489,0.1,0,25,6
5,0.1,0.31,0.5,53,0,0,0,0,29,-186,-680,-553,-243,-274,53,581,0.1,0,25,6
6,0.1,0.31,0.5,52,0,101,0,0,26,41,-206,-311,-395,-608,69,509,0.1,0,25,6
7,0.1,0.31,0.5,54,0,31,0,0,26,28,-535,66,-266,-240,-148,436,0.1,0,25,6
8,0.1,0.31,0.5,49,0,55,0,0,26,52,-176,0,-296,-331,69,232,0.1,0,25,6
9,0.1,0.31,0.5,72,0,50,0,0,28,-30,-599,44,-271,-256,73,500,0.1,0,25,6
10,0.1,0.31,0.5,49,41,46,114,0,25,53,16,27,-184,-162,74,285,0.1,0,25,6
11,0.1,0.31,0.5,49,27,46,43,87,25,-179,68,-144,48,-194,79,295,0.1,0,25,6
12,0.1,0.31,0.5,51,25,34,43,42,25,44,75,56,-158,50,76,59,0.1,0,25,6
13,0.1,0.31,0.5,44,26,33,40,42,25,40,73,63,45,-119,71,61,0.1,0,25,6
14,0.1,0.31,0.5,50,26,33,45,26,24,34,-269,64,24,68,69,170,0.1,0,25,6
15,0.1,0.31,0.5,50,28,43,38,17,29,-128,70,39,45,-237,63,138,0.1,0,25,6
16,0.1,0.31,0.5,28,24,34,38,46,23,-181,77,63,-247,6,72,148,0.1,0,25,6
17,0.1,0.31,0.5,69,27,43,12,21,23,-51,70,66,-310,77,74,211,0.1,0,25,6
