eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
112,0.1,0.31,0.5,47,30,37,48,42,25,-364,-110,64,49,57,77,265,0.1,0,25,6
113,0.1,0.31,0.5,46,29,38,48,19,25,54,73,61,-116,83,77,47,0.1,0,25,6
114,0.1,0.31,0.5,50,31,95,42,21,25,51,64,-63,50,77,77,164,0.1,1,25,6
115,0.1,0.31,0.5,46,29,37,41,20,25,52,73,61,60,72,75,49,0.1,1,25,6
116,0.1,0.31,0.5,48,29,36,38,19,25,49,72,67,-249,83,77,150,0.1,0,25,6
117,0.1,0.31,0.5,47,29,35,40,39,25,52,72,66,50,46,72,55,0.1,1,25,6
118,0.1,0.31,0.5,47,29,35,40,24,25,-206,73,-145,-142,79,76,107,0.1,0,25,6
119,0.1,0.31,0.5,47,34,45,37,25,25,55,72,35,61,74,76,66,0.1,1,25,6
120,0.1,0.31,0.5,47,29,35,37,26,32,-167,71,62,61,68,58,68,0.1,0,25,6
121,0.1,0.31,0.5,49,29,35,37,27,25,46,-243,63,69,71,77,144,0.1,0,25,6
122,0.1,0.31,0.5,47,31,35,37,25,26,-156,66,67,65,75,75,57,0.1,0,25,6
123,0.1,0.31,0.5,47,30,36,37,25,26,-146,70,61,64,77,-251,152,0.1,0,25,6
124,0.1,0.31,0.5,49,29,35,36,28,25,48,73,67,65,69,75,53,0.1,1,25,6
125,0.1,0.31,0.5,49,29,35,40,25,26,44,72,66,43,76,74,58,0.1,1,25,6
126,0.1,0.31,0.5,262,29,38,37,25,29,-645,73,58,62,77,68,746,0.1,1,25,6
127,0.1,0.31,0.5,46,29,35,35,26,25,55,73,67,67,75,73,46,0.1,1,25,6
128,0.1,0.31,0.5,46,29,35,35,25,37,-155,72,66,67,72,67,56,0.1,0,25,6
129,0.1,0.31,0.5,51,29,37,37,25,25,41,73,61,63,77,77,60,0.1,1,25,6
130,0.1,0.31,0.5,46,29,35,35,26,25,49,70,67,70,75,76,52,0.1,1,25,6
131,0.1,0.31,0.5,46,30,35,35,26,25,54,71,67,67,79,77,47,0.1,1,25,6
132,0.1,0.31,0.5,54,29,35,35,28,25,36,72,67,65,70,77,65,0.1,1,25,6
133,0.1,0.31,0.5,50,31,35,35,37,25,45,68,67,67,33,77,68,0.1,1,25,6
134,0.1,0.31,0.5,47,29,49,35,25,25,50,69,13,64,76,-454,355,0.1,0,25,6
135,0.1,0.31,0.5,46,36,35,35,25,25,53,56,65,67,77,76,48,0.1,1,25,6
136,0.1,0.31,0.5,47,29,35,54,30,25,57,72,67,24,67,76,77,0.1,1,25,6
137,0.1,0.31,0.5,48,81,35,36,25,25,55,-75,67,64,77,79,176,0.1,1,25,6
138,0.1,0.31,0.5,47,38,35,43,31,25,57,57,66,52,55,76,49,0.1,1,25,6
139,0.1,0.31,0.5,47,29,35,35,25,41,-142,73,64,65,77,33,68,0.1,0,25,6
140,0.1,0.31,0.5,48,29,35,35,25,25,46,69,66,61,76,77,55,0.1,1,25,6
141,0.1,0.31,0.5,47,30,35,38,25,30,55,72,67,47,77,67,54,0.1,1,25,6
142,0.1,0.31,0.5,51,29,39,35,25,33,45,73,58,67,77,62,56,0.1,1,25,6
143,0.1,0.31,0.5,47,30,35,42,25,25,52,75,66,49,77,77,52,0.1,1,25,6
144,0.1,0.31,0.5,47,29,35,35,25,25,-223,73,66,67,77,77,124,0.1,0,25,6
145,0.1,0.31,0.5,47,29,39,36,25,25,55,73,53,71,77,76,48,0.1,1,25,6
146,0.1,0.31,0.5,44,40,35,35,28,26,52,57,67,69,75,71,49,0.1,1,25,6
147,0.1,0.31,0.5,48,40,53,35,25,29,44,-154,40,64,72,79,61,0.1,0,25,6
148,0.1,0.31,0.5,48,37,35,35,51,25,50,64,65,65,10,77,91,0.1,1,25,6
