eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,44,-313,-379,-123,-196,-360,-264,-145,-43,280,0.1,0,20,8
1,0.1,0.31,0.5,0,0,0,0,0,0,0,25,-206,-120,-205,-133,-142,-196,-222,67,123,0.1,0,20,8
2,0.1,0.31,0.5,0,0,0,0,0,0,0,18,-217,-105,-163,-224,-364,-115,-302,70,265,0.1,0,20,8
3,0.1,0.31,0.5,0,0,68,0,0,66,0,23,-217,-147,-48,-191,-242,-109,-189,56,210,0.1,0,20,8
4,0.1,0.31,0.5,0,0,33,0,0,29,0,14,-308,-111,61,-146,-244,69,-213,87,209,0.1,0,20,8
5,0.1,0.31,0.5,0,0,33,0,0,29,0,17,-229,-221,-189,-127,-139,-151,-224,79,130,0.1,0,20,8
6,0.1,0.31,0.5,0,0,33,0,0,31,0,14,-344,-190,56,-156,-174,66,-201,88,245,0.1,0,20,8
7,0.1,0.31,0.5,0,60,39,0,0,30,0,22,-214,-42,49,-141,-186,72,-232,72,143,0.1,0,20,8
8,0.1,0.31,0.5,0,21,39,38,0,29,0,14,-394,78,-141,9,-143,71,-202,88,295,0.1,0,20,8
9,0.1,0.31,0.5,0,21,31,22,0,33,0,14,-162,-107,71,74,-355,47,-174,88,256,0.1,0,20,8
10,0.1,0.31,0.5,0,20,32,29,0,29,0,14,-177,81,64,51,-373,65,-187,88,274,0.1,0,20,8
11,0.1,0.31,0.5,0,23,32,21,0,26,0,18,-247,74,52,75,-470,73,-153,78,371,0.1,0,20,8
12,0.1,0.31,0.5,0,27,28,20,58,27,0,14,-248,58,53,81,-74,59,-346,88,247,0.1,0,20,8
13,0.1,0.31,0.5,0,20,20,20,27,24,0,19,-367,82,77,-173,75,80,-414,75,315,0.1,0,20,8
14,0.1,0.31,0.5,0,20,40,21,24,34,0,14,-264,81,19,77,77,65,-273,88,174,0.1,0,20,8
15,0.1,0.31,0.5,0,20,24,22,41,24,84,14,-362,82,73,71,39,78,-180,86,281,0.1,0,20,8
16,0.1,0.31,0.5,0,20,21,39,31,24,27,15,-232,82,81,32,60,-115,74,86,133,0.1,0,20,8
17,0.1,0.31,0.5,0,26,21,20,34,24,28,47,-256,64,80,82,55,78,71,-4,157,0.1,0,20,8
18,0.1,0.31,0.5,33,21,22,21,29,19,28,14,35,80,73,77,72,86,-162,86,66,0.1,0,20,8
19,0.1,0.31,0.5,31,25,22,20,29,19,28,14,61,74,-112,78,70,75,71,85,40,0.1,0,20,8
20,0.1,0.31,0.5,21,25,21,20,31,19,27,14,79,-122,81,-106,73,-125,69,88,32,0.1,0,20,8
21,0.1,0.31,0.5,21,20,21,22,27,16,28,14,80,80,81,78,65,86,70,-158,59,0.1,0,20,8
22,0.1,0.31,0.5,22,20,18,20,25,9,28,14,79,82,78,82,74,-149,-148,88,50,0.1,0,20,8
23,0.1,0.31,0.5,38,20,18,20,25,30,38,14,47,81,-107,82,76,46,47,88,55,0.1,0,20,8
24,0.1,0.31,0.5,34,20,14,23,29,21,45,14,50,82,-255,74,75,80,31,88,156,0.1,0,20,8
25,0.1,0.31,0.5,34,20,12,20,29,21,42,15,-118,81,-116,80,-257,80,40,84,158,0.1,0,20,8
26,0.1,0.31,0.5,41,30,35,22,26,20,30,14,40,60,31,78,73,77,63,88,70,0.1,1,20,8
27,0.1,0.31,0.5,22,37,22,23,26,22,55,14,78,61,76,81,71,82,-13,-179,114,0.1,0,20,8
28,0.1,0.31,0.5,20,20,28,42,26,19,60,14,-123,80,56,24,-143,-137,4,88,97,0.1,0,20,8
29,0.1,0.31,0.5,22,21,28,20,44,29,34,14,72,75,-181,82,42,47,64,88,82,0.1,0,20,8
30,0.1,0.31,0.5,26,20,23,22,35,20,52,14,70,82,76,74,61,82,-12,-141,113,0.1,0,20,8
31,0.1,0.31,0.5,21,20,20,20,27,20,58,14,81,81,79,80,69,82,15,87,86,0.1,1,20,8
32,0.1,0.31,0.5,22,20,24,39,27,20,41,15,78,80,69,44,75,81,58,84,57,0.1,1,20,8
