eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,total_steps,del_threshold,eps_status,grid_size,num_agents
77,0.1,0.31,0.5,16,10,9,12,14,11,83,92,93,90,88,81,20,0.1,1,10,6
78,0.1,0.31,0.5,15,10,9,12,14,10,87,92,93,88,88,86,15,0.1,1,10,6
79,0.1,0.31,0.5,14,10,9,12,14,9,87,92,93,90,88,93,14,0.1,1,10,6
80,0.1,0.31,0.5,14,10,9,12,14,9,86,92,93,90,88,-107,15,0.1,0,10,6
81,0.1,0.31,0.5,15,10,9,12,14,6,85,92,93,90,88,95,16,0.1,1,10,6
82,0.1,0.31,0.5,15,10,9,12,14,5,87,92,92,89,86,-177,78,0.1,0,10,6
83,0.1,0.31,0.5,19,12,9,12,14,11,78,86,93,-105,88,80,23,0.1,0,10,6
84,0.1,0.31,0.5,14,10,9,12,14,7,87,92,93,90,88,95,14,0.1,1,10,6
85,0.1,0.31,0.5,14,10,9,12,14,7,85,92,93,90,88,95,16,0.1,1,10,6
86,0.1,0.31,0.5,15,10,9,12,15,7,87,90,93,90,85,95,16,0.1,1,10,6
87,0.1,0.31,0.5,15,10,9,12,13,7,87,92,92,90,86,94,15,0.1,1,10,6
88,0.1,0.31,0.5,14,10,9,12,14,7,87,91,93,90,88,95,14,0.1,1,10,6
89,0.1,0.31,0.5,15,10,9,12,16,7,84,92,93,89,85,95,17,0.1,1,10,6
90,0.1,0.31,0.5,16,11,9,12,14,7,87,91,93,90,88,95,14,0.1,1,10,6
91,0.1,0.31,0.5,14,10,9,12,14,7,86,91,93,89,88,95,15,0.1,1,10,6
92,0.1,0.31,0.5,15,10,9,12,22,7,87,92,93,90,68,93,33,0.1,1,10,6
93,0.1,0.31,0.5,14,10,9,12,14,7,86,92,93,90,88,95,15,0.1,1,10,6
94,0.1,0.31,0.5,17,10,9,12,14,7,81,92,93,90,87,95,20,0.1,1,10,6
95,0.1,0.31,0.5,14,10,10,12,14,7,85,92,89,90,88,95,16,0.1,1,10,6
96,0.1,0.31,0.5,20,10,9,12,13,7,87,92,93,88,86,95,15,0.1,1,10,6
97,0.1,0.31,0.5,14,10,9,12,14,7,85,92,93,90,88,95,16,0.1,1,10,6
98,0.1,0.31,0.5,15,10,9,12,13,7,87,92,93,90,86,95,15,0.1,1,10,6
99,0.1,0.31,0.5,14,10,9,12,14,7,86,-107,93,-106,88,95,15,0.1,0,10,6
100,0.1,0.31,0.5,14,10,9,12,14,7,86,-107,93,-105,88,95,15,0.1,0,10,6
101,0.1,0.31,0.5,14,3,9,5,14,7,87,-105,91,-107,87,95,14,0.1,0,10,6
102,0.1,0.31,0.5,15,3,9,5,14,7,87,-107,93,-137,88,93,38,0.1,0,10,6
103,0.1,0.31,0.5,15,3,9,5,14,7,87,-207,93,-130,88,95,108,0.1,0,10,6
104,0.1,0.31,0.5,15,14,9,5,14,7,87,70,93,-110,88,95,31,0.1,0,10,6
105,0.1,0.31,0.5,15,10,9,5,14,13,87,92,93,-115,88,93,16,0.1,0,10,6
106,0.1,0.31,0.5,15,10,9,5,16,7,85,92,93,-127,84,95,28,0.1,0,10,6
107,0.1,0.31,0.5,14,10,9,5,16,7,87,92,93,-105,-103,95,14,0.1,0,10,6
108,0.1,0.31,0.5,14,12,9,5,14,7,-201,86,93,-145,88,95,102,0.1,0,10,6
109,0.1,0.31,0.5,15,15,9,5,14,7,87,76,92,-284,88,97,185,0.1,0,10,6
110,0.1,0.31,0.5,16,12,9,5,14,7,82,90,93,-108,87,95,19,0.1,0,10,6
111,0.1,0.31,0.5,14,12,9,5,14,7,87,90,93,-111,88,95,14,0.1,0,10,6
112,0.1,0.31,0.5,15,12,9,5,16,7,87,88,93,-122,77,95,24,0.1,0,10,6
113,0.1,0.31,0.5,15,12,9,5,14,7,87,90,93,-155,88,95,56,0.1,0,10,6
114,0.1,0.31,0.5,15,12,9,5,14,7,87,90,93,-166,88,95,67,0.1,0,10,6
115,0.1,0.31,0.5,15,12,9,5,15,7,87,90,92,-177,83,95,78,0.1,0,10,6
116,0.1,0.31,0.5,15,14,9,5,14,7,87,85,93,-170,88,95,71,0.1,0,10,6
117,0.1,0.31,0.5,15,12,9,5,14,7,87,90,93,-116,88,95,17,0.1,0,10,6
118,0.1,0.31,0.5,15,12,9,5,14,7,87,90,93,-154,88,95,55,0.1,0,10,6
