eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0.0,-164.0,127,0.1,0,15,6
1,0.1,0.31,0.5,4.166666666666667,-132.66666666666666,128,0.1,0,15,6
2,0.1,0.31,0.5,15.5,-141.0,213,0.1,0,15,6
3,0.1,0.31,0.5,8.666666666666666,-107.16666666666667,160,0.1,0,15,6
4,0.1,0.31,0.5,17.666666666666668,-53.666666666666664,235,0.1,0,15,6
5,0.1,0.31,0.5,11.0,-39.0,92,0.1,0,15,6
6,0.1,0.31,0.5,10.333333333333334,-78.16666666666667,231,0.1,0,15,6
7,0.1,0.31,0.5,8.5,-64.16666666666667,206,0.1,0,15,6
8,0.1,0.31,0.5,12.166666666666666,-70.33333333333333,138,0.1,0,15,6
9,0.1,0.31,0.5,10.333333333333334,-80.66666666666667,145,0.1,0,15,6
10,0.1,0.31,0.5,20.666666666666668,-22.666666666666668,216,0.1,0,15,6
11,0.1,0.31,0.5,22.666666666666668,-49.166666666666664,213,0.1,0,15,6
12,0.1,0.31,0.5,18.166666666666668,39.666666666666664,40,0.1,0,15,6
13,0.1,0.31,0.5,18.333333333333332,-47.5,149,0.1,0,15,6
14,0.1,0.31,0.5,18.5,-2.1666666666666665,95,0.1,0,15,6
15,0.1,0.31,0.5,23.833333333333332,20.5,91,0.1,0,15,6
16,0.1,0.31,0.5,20.5,-12.833333333333334,350,0.1,0,15,6
17,0.1,0.31,0.5,15.666666666666666,30.833333333333332,122,0.1,0,15,6
18,0.1,0.31,0.5,17.0,36.833333333333336,57,0.1,0,15,6
19,0.1,0.31,0.5,23.333333333333332,20.5,110,0.1,0,15,6
20,0.1,0.31,0.5,20.166666666666668,39.666666666666664,47,0.1,0,15,6
21,0.1,0.31,0.5,23.0,-22.333333333333332,347,0.1,0,15,6
22,0.1,0.31,0.5,20.833333333333332,-19.5,154,0.1,0,15,6
23,0.1,0.31,0.5,19.166666666666668,50.0,22,0.1,0,15,6
24,0.1,0.31,0.5,19.166666666666668,79.0,35,0.1,1,15,6
25,0.1,0.31,0.5,19.833333333333332,75.33333333333333,56,0.1,1,15,6
26,0.1,0.31,0.5,20.666666666666668,43.0,49,0.1,0,15,6
27,0.1,0.31,0.5,20.666666666666668,78.16666666666667,34,0.1,1,15,6
28,0.1,0.31,0.5,18.5,80.0,30,0.1,1,15,6
29,0.1,0.31,0.5,17.333333333333332,13.333333333333334,28,0.1,0,15,6
30,0.1,0.31,0.5,22.666666666666668,70.5,62,0.1,1,15,6
31,0.1,0.31,0.5,17.5,82.5,27,0.1,1,15,6
32,0.1,0.31,0.5,18.333333333333332,49.5,29,0.1,0,15,6
33,0.1,0.31,0.5,17.5,83.5,24,0.1,1,15,6
34,0.1,0.31,0.5,17.833333333333332,83.83333333333333,24,0.1,1,15,6
35,0.1,0.31,0.5,17.0,49.666666666666664,25,0.1,0,15,6
36,0.1,0.31,0.5,16.833333333333332,6.0,87,0.1,0,15,6
37,0.1,0.31,0.5,19.166666666666668,2.0,67,0.1,0,15,6
38,0.1,0.31,0.5,17.0,42.833333333333336,65,0.1,0,15,6
39,0.1,0.31,0.5,18.333333333333332,77.5,52,0.1,1,15,6
40,0.1,0.31,0.5,18.166666666666668,81.33333333333333,33,0.1,1,15,6
41,0.1,0.31,0.5,17.166666666666668,82.83333333333333,23,0.1,1,15,6
42,0.1,0.31,0.5,20.0,78.0,46,0.1,1,15,6
43,0.1,0.31,0.5,19.5,78.5,34,0.1,1,15,6
44,0.1,0.31,0.5,18.5,-7.0,116,0.1,0,15,6
45,0.1,0.31,0.5,17.0,50.666666666666664,22,0.1,0,15,6
46,0.1,0.31,0.5,19.166666666666668,79.83333333333333,34,0.1,1,15,6
47,0.1,0.31,0.5,17.166666666666668,82.16666666666667,36,0.1,1,15,6
48,0.1,0.31,0.5,20.5,79.16666666666667,39,0.1,1,15,6
49,0.1,0.31,0.5,17.833333333333332,48.5,40,0.1,0,15,6
50,0.1,0.31,0.5,17.333333333333332,81.66666666666667,32,0.1,1,15,6
51,0.1,0.31,0.5,17.333333333333332,83.16666666666667,30,0.1,1,15,6
52,0.1,0.31,0.5,26.166666666666668,46.166666666666664,235,0.1,1,15,6
53,0.1,0.31,0.5,19.333333333333332,49.0,29,0.1,0,15,6
54,0.1,0.31,0.5,18.333333333333332,81.0,25,0.1,1,15,6
55,0.1,0.31,0.5,18.166666666666668,81.33333333333333,27,0.1,1,15,6
56,0.1,0.31,0.5,17.166666666666668,50.666666666666664,24,0.1,0,15,6
57,0.1,0.31,0.5,16.666666666666668,43.0,67,0.1,0,15,6
58,0.1,0.31,0.5,17.833333333333332,50.166666666666664,23,0.1,0,15,6
59,0.1,0.31,0.5,19.0,80.5,41,0.1,1,15,6
60,0.1,0.31,0.5,17.0,83.16666666666667,26,0.1,1,15,6
61,0.1,0.31,0.5,16.833333333333332,83.5,26,0.1,1,15,6
62,0.1,0.31,0.5,21.5,42.833333333333336,46,0.1,0,15,6
63,0.1,0.31,0.5,18.666666666666668,79.5,47,0.1,1,15,6
64,0.1,0.31,0.5,17.0,84.66666666666667,22,0.1,1,15,6
65,0.1,0.31,0.5,16.833333333333332,83.66666666666667,24,0.1,1,15,6
66,0.1,0.31,0.5,16.666666666666668,49.0,29,0.1,0,15,6
67,0.1,0.31,0.5,17.333333333333332,83.0,29,0.1,1,15,6
68,0.1,0.31,0.5,16.833333333333332,48.833333333333336,29,0.1,0,15,6
69,0.1,0.31,0.5,18.833333333333332,45.166666666666664,56,0.1,0,15,6
70,0.1,0.31,0.5,17.666666666666668,82.5,28,0.1,1,15,6
71,0.1,0.31,0.5,16.5,84.83333333333333,25,0.1,1,15,6
72,0.1,0.31,0.5,18.666666666666668,75.66666666666667,76,0.1,1,15,6
73,0.1,0.31,0.5,19.5,25.166666666666668,174,0.1,0,15,6
74,0.1,0.31,0.5,18.0,80.66666666666667,43,0.1,1,15,6
75,0.1,0.31,0.5,17.0,83.16666666666667,25,0.1,1,15,6
76,0.1,0.31,0.5,17.5,48.166666666666664,37,0.1,0,15,6
77,0.1,0.31,0.5,17.166666666666668,46.833333333333336,40,0.1,0,15,6
78,0.1,0.31,0.5,18.166666666666668,80.83333333333333,28,0.1,1,15,6
79,0.1,0.31,0.5,16.5,84.16666666666667,23,0.1,1,15,6
80,0.1,0.31,0.5,17.0,82.33333333333333,26,0.1,1,15,6
81,0.1,0.31,0.5,18.666666666666668,79.33333333333333,39,0.1,1,15,6
82,0.1,0.31,0.5,17.0,83.83333333333333,25,0.1,1,15,6
83,0.1,0.31,0.5,17.0,12.666666666666666,44,0.1,0,15,6
84,0.1,0.31,0.5,17.666666666666668,82.33333333333333,38,0.1,1,15,6
85,0.1,0.31,0.5,17.0,35.666666666666664,110,0.1,0,15,6
86,0.1,0.31,0.5,17.666666666666668,83.0,27,0.1,1,15,6
87,0.1,0.31,0.5,17.0,84.5,22,0.1,1,15,6
88,0.1,0.31,0.5,16.833333333333332,84.33333333333333,24,0.1,1,15,6
89,0.1,0.31,0.5,16.833333333333332,84.33333333333333,23,0.1,1,15,6
90,0.1,0.31,0.5,16.5,85.33333333333333,22,0.1,1,15,6
91,0.1,0.31,0.5,17.666666666666668,50.666666666666664,22,0.1,0,15,6
92,0.1,0.31,0.5,23.666666666666668,46.166666666666664,239,0.1,1,15,6
93,0.1,0.31,0.5,21.666666666666668,33.5,117,0.1,0,15,6
94,0.1,0.31,0.5,17.5,83.66666666666667,24,0.1,1,15,6
95,0.1,0.31,0.5,16.666666666666668,84.66666666666667,22,0.1,1,15,6
