eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
91,0.1,0.31,0.5,18.625,82.125,30,0.1,1,15,8
92,0.1,0.31,0.5,18.75,34.375,26,0.1,0,15,8
93,0.1,0.31,0.5,18.125,82.75,27,0.1,1,15,8
94,0.1,0.31,0.5,19.25,82.0,29,0.1,1,15,8
95,0.1,0.31,0.5,20.25,78.625,66,0.1,1,15,8
96,0.1,0.31,0.5,18.625,81.75,28,0.1,1,15,8
97,0.1,0.31,0.5,18.5,82.875,30,0.1,1,15,8
98,0.1,0.31,0.5,19.0,82.625,27,0.1,1,15,8
99,0.1,0.31,0.5,19.75,59.375,25,0.1,0,15,8
100,0.1,0.31,0.5,23.375,51.25,72,0.1,0,15,8
101,0.1,0.31,0.5,18.875,55.375,37,0.1,0,15,8
102,0.1,0.31,0.5,18.0,57.5,31,0.1,0,15,8
103,0.1,0.31,0.5,17.375,28.375,52,0.1,0,15,8
104,0.1,0.31,0.5,17.5,54.25,35,0.1,0,15,8
105,0.1,0.31,0.5,20.625,5.5,151,0.1,0,15,8
106,0.1,0.31,0.5,19.125,-1.5,235,0.1,0,15,8
107,0.1,0.31,0.5,18.125,53.375,36,0.1,0,15,8
108,0.1,0.31,0.5,19.25,56.25,49,0.1,0,15,8
109,0.1,0.31,0.5,18.875,52.875,39,0.1,0,15,8
110,0.1,0.31,0.5,18.5,31.0,28,0.1,0,15,8
111,0.1,0.31,0.5,19.125,58.625,29,0.1,0,15,8
112,0.1,0.31,0.5,20.125,81.375,28,0.1,1,15,8
113,0.1,0.31,0.5,22.375,72.375,82,0.1,1,15,8
114,0.1,0.31,0.5,19.625,79.125,47,0.1,1,15,8
115,0.1,0.31,0.5,19.25,82.5,25,0.1,1,15,8
116,0.1,0.31,0.5,18.75,83.0,23,0.1,1,15,8
117,0.1,0.31,0.5,18.625,53.125,59,0.1,0,15,8
118,0.1,0.31,0.5,20.0,32.75,174,0.1,0,15,8
119,0.1,0.31,0.5,19.125,82.125,27,0.1,1,15,8
120,0.1,0.31,0.5,19.25,81.5,35,0.1,1,15,8
121,0.1,0.31,0.5,18.75,56.875,27,0.1,0,15,8
122,0.1,0.31,0.5,18.75,56.75,27,0.1,0,15,8
123,0.1,0.31,0.5,19.5,80.375,25,0.1,1,15,8
124,0.1,0.31,0.5,18.5,59.75,26,0.1,0,15,8
125,0.1,0.31,0.5,18.5,22.125,110,0.1,0,15,8
126,0.1,0.31,0.5,18.25,83.375,25,0.1,1,15,8
127,0.1,0.31,0.5,19.125,79.75,37,0.1,1,15,8
128,0.1,0.31,0.5,18.25,82.75,23,0.1,1,15,8
129,0.1,0.31,0.5,18.5,83.0,24,0.1,1,15,8
130,0.1,0.31,0.5,18.375,82.25,28,0.1,1,15,8
131,0.1,0.31,0.5,18.5,48.375,96,0.1,0,15,8
132,0.1,0.31,0.5,19.125,82.125,26,0.1,1,15,8
133,0.1,0.31,0.5,18.875,81.625,31,0.1,1,15,8
134,0.1,0.31,0.5,18.5,82.5,27,0.1,1,15,8
135,0.1,0.31,0.5,18.875,81.875,26,0.1,1,15,8
136,0.1,0.31,0.5,18.75,58.75,23,0.1,0,15,8
137,0.1,0.31,0.5,19.125,82.25,26,0.1,1,15,8
138,0.1,0.31,0.5,19.0,59.5,27,0.1,0,15,8
139,0.1,0.31,0.5,18.75,82.375,31,0.1,1,15,8
140,0.1,0.31,0.5,19.75,78.625,44,0.1,1,15,8
141,0.1,0.31,0.5,19.5,81.125,32,0.1,1,15,8
142,0.1,0.31,0.5,18.25,83.875,23,0.1,1,15,8
143,0.1,0.31,0.5,19.5,80.625,39,0.1,1,15,8
144,0.1,0.31,0.5,19.375,81.25,28,0.1,1,15,8
145,0.1,0.31,0.5,18.75,82.875,24,0.1,1,15,8
146,0.1,0.31,0.5,20.375,55.375,47,0.1,0,15,8
147,0.1,0.31,0.5,18.5,49.125,85,0.1,0,15,8
148,0.1,0.31,0.5,18.25,83.125,23,0.1,1,15,8
