eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,5.125,-73.875,68,0.1,0,10,8
1,0.1,0.31,0.5,2.75,-69.125,33,0.1,0,10,8
2,0.1,0.31,0.5,2.75,-60.125,18,0.1,0,10,8
3,0.1,0.31,0.5,4.375,-45.625,61,0.1,0,10,8
4,0.1,0.31,0.5,3.625,-37.75,25,0.1,0,10,8
5,0.1,0.31,0.5,3.625,-76.5,135,0.1,0,10,8
6,0.1,0.31,0.5,4.25,-60.75,125,0.1,0,10,8
7,0.1,0.31,0.5,8.0,-26.625,85,0.1,0,10,8
8,0.1,0.31,0.5,8.875,-10.25,129,0.1,0,10,8
9,0.1,0.31,0.5,9.875,23.375,84,0.1,0,10,8
10,0.1,0.31,0.5,8.5,36.125,23,0.1,0,10,8
11,0.1,0.31,0.5,9.375,23.5,90,0.1,0,10,8
12,0.1,0.31,0.5,7.625,39.75,25,0.1,0,10,8
13,0.1,0.31,0.5,9.875,31.25,32,0.1,0,10,8
14,0.1,0.31,0.5,7.75,32.125,80,0.1,0,10,8
15,0.1,0.31,0.5,10.75,54.25,69,0.1,0,10,8
16,0.1,0.31,0.5,9.75,63.75,21,0.1,0,10,8
17,0.1,0.31,0.5,9.5,31.25,82,0.1,0,10,8
18,0.1,0.31,0.5,10.25,64.875,14,0.1,0,10,8
19,0.1,0.31,0.5,9.625,63.25,27,0.1,0,10,8
20,0.1,0.31,0.5,9.5,38.375,26,0.1,0,10,8
21,0.1,0.31,0.5,12.125,88.375,28,0.1,1,10,8
22,0.1,0.31,0.5,11.0,38.0,32,0.1,0,10,8
23,0.1,0.31,0.5,10.375,91.75,13,0.1,1,10,8
24,0.1,0.31,0.5,10.0,91.375,15,0.1,1,10,8
25,0.1,0.31,0.5,10.375,89.375,21,0.1,1,10,8
26,0.1,0.31,0.5,10.75,62.75,33,0.1,0,10,8
27,0.1,0.31,0.5,10.25,90.625,19,0.1,1,10,8
28,0.1,0.31,0.5,10.5,89.875,28,0.1,1,10,8
29,0.1,0.31,0.5,9.625,63.5,39,0.1,0,10,8
30,0.1,0.31,0.5,9.75,65.5,18,0.1,0,10,8
31,0.1,0.31,0.5,10.0,91.5,14,0.1,1,10,8
32,0.1,0.31,0.5,10.125,64.0,28,0.1,0,10,8
33,0.1,0.31,0.5,9.875,65.75,16,0.1,0,10,8
34,0.1,0.31,0.5,9.875,91.375,15,0.1,1,10,8
35,0.1,0.31,0.5,9.5,40.625,30,0.1,0,10,8
36,0.1,0.31,0.5,9.5,92.0,14,0.1,1,10,8
37,0.1,0.31,0.5,9.375,91.75,12,0.1,1,10,8
38,0.1,0.31,0.5,9.0,92.625,12,0.1,1,10,8
39,0.1,0.31,0.5,9.0,92.375,12,0.1,1,10,8
40,0.1,0.31,0.5,9.625,65.625,14,0.1,0,10,8
41,0.1,0.31,0.5,9.125,68.5,10,0.1,0,10,8
42,0.1,0.31,0.5,9.25,92.25,11,0.1,1,10,8
43,0.1,0.31,0.5,9.75,90.625,18,0.1,1,10,8
44,0.1,0.31,0.5,11.125,85.875,55,0.1,1,10,8
45,0.1,0.31,0.5,9.125,92.375,12,0.1,1,10,8
46,0.1,0.31,0.5,9.25,91.625,11,0.1,1,10,8
47,0.1,0.31,0.5,9.125,92.75,12,0.1,1,10,8
48,0.1,0.31,0.5,9.125,92.25,11,0.1,1,10,8
49,0.1,0.31,0.5,9.25,16.375,24,0.1,0,10,8
50,0.1,0.31,0.5,9.125,18.375,14,0.1,0,10,8
51,0.1,0.31,0.5,7.625,17.875,15,0.1,0,10,8
52,0.1,0.31,0.5,7.25,7.75,52,0.1,0,10,8
53,0.1,0.31,0.5,7.125,16.875,16,0.1,0,10,8
54,0.1,0.31,0.5,7.125,6.875,73,0.1,0,10,8
55,0.1,0.31,0.5,7.125,-22.625,85,0.1,0,10,8
56,0.1,0.31,0.5,7.125,10.75,35,0.1,0,10,8
57,0.1,0.31,0.5,8.25,12.375,32,0.1,0,10,8
58,0.1,0.31,0.5,8.25,-7.125,103,0.1,0,10,8
59,0.1,0.31,0.5,8.25,38.375,44,0.1,0,10,8
60,0.1,0.31,0.5,8.125,36.25,46,0.1,0,10,8
61,0.1,0.31,0.5,8.25,8.875,77,0.1,0,10,8
62,0.1,0.31,0.5,8.25,27.875,104,0.1,0,10,8
63,0.1,0.31,0.5,8.625,17.875,176,0.1,0,10,8
64,0.1,0.31,0.5,8.5,30.5,54,0.1,0,10,8
65,0.1,0.31,0.5,11.75,47.375,93,0.1,0,10,8
66,0.1,0.31,0.5,9.375,62.0,46,0.1,0,10,8
67,0.1,0.31,0.5,9.375,52.125,121,0.1,0,10,8
68,0.1,0.31,0.5,9.5,64.75,18,0.1,0,10,8
69,0.1,0.31,0.5,9.375,21.75,166,0.1,0,10,8
70,0.1,0.31,0.5,9.375,58.0,78,0.1,0,10,8
71,0.1,0.31,0.5,10.375,53.875,95,0.1,0,10,8
72,0.1,0.31,0.5,11.5,84.875,58,0.1,1,10,8
73,0.1,0.31,0.5,10.5,91.125,15,0.1,1,10,8
74,0.1,0.31,0.5,10.375,91.125,15,0.1,1,10,8
75,0.1,0.31,0.5,13.375,84.125,43,0.1,1,10,8
76,0.1,0.31,0.5,12.125,66.125,19,0.1,0,10,8
77,0.1,0.31,0.5,10.625,65.25,19,0.1,0,10,8
78,0.1,0.31,0.5,10.375,90.875,17,0.1,1,10,8
79,0.1,0.31,0.5,10.375,91.25,15,0.1,1,10,8
80,0.1,0.31,0.5,10.625,66.0,18,0.1,0,10,8
81,0.1,0.31,0.5,10.375,91.25,15,0.1,1,10,8
82,0.1,0.31,0.5,11.0,90.125,18,0.1,1,10,8
83,0.1,0.31,0.5,11.125,64.25,19,0.1,0,10,8
84,0.1,0.31,0.5,10.625,90.625,17,0.1,1,10,8
85,0.1,0.31,0.5,10.75,90.625,19,0.1,1,10,8
86,0.1,0.31,0.5,10.625,90.125,26,0.1,1,10,8
87,0.1,0.31,0.5,10.875,64.875,22,0.1,0,10,8
88,0.1,0.31,0.5,10.375,66.5,15,0.1,0,10,8
89,0.1,0.31,0.5,10.375,91.625,15,0.1,1,10,8
90,0.1,0.31,0.5,10.5,91.0,18,0.1,1,10,8
91,0.1,0.31,0.5,11.125,89.375,19,0.1,1,10,8
92,0.1,0.31,0.5,11.875,88.5,33,0.1,1,10,8
93,0.1,0.31,0.5,10.375,91.25,15,0.1,1,10,8
94,0.1,0.31,0.5,10.375,91.125,15,0.1,1,10,8
95,0.1,0.31,0.5,10.5,46.5,169,0.1,0,10,8
96,0.1,0.31,0.5,10.375,91.0,16,0.1,1,10,8
97,0.1,0.31,0.5,10.875,90.0,17,0.1,1,10,8
98,0.1,0.31,0.5,10.375,91.5,15,0.1,1,10,8
99,0.1,0.31,0.5,10.375,42.125,15,0.1,0,10,8
100,0.1,0.31,0.5,10.5,42.0,19,0.1,0,10,8
101,0.1,0.31,0.5,8.5,42.25,15,0.1,0,10,8
102,0.1,0.31,0.5,8.625,37.0,30,0.1,0,10,8
103,0.1,0.31,0.5,9.75,60.75,35,0.1,0,10,8
104,0.1,0.31,0.5,9.375,26.625,137,0.1,0,10,8
105,0.1,0.31,0.5,9.375,55.125,95,0.1,0,10,8
106,0.1,0.31,0.5,9.375,56.625,89,0.1,0,10,8
107,0.1,0.31,0.5,9.5,63.25,35,0.1,0,10,8
108,0.1,0.31,0.5,9.375,61.125,55,0.1,0,10,8
109,0.1,0.31,0.5,9.375,60.875,57,0.1,0,10,8
110,0.1,0.31,0.5,9.375,61.5,55,0.1,0,10,8
111,0.1,0.31,0.5,16.0,74.5,141,0.1,1,10,8
112,0.1,0.31,0.5,11.25,89.75,20,0.1,1,10,8
113,0.1,0.31,0.5,11.25,60.0,59,0.1,0,10,8
114,0.1,0.31,0.5,11.125,65.875,19,0.1,0,10,8
115,0.1,0.31,0.5,11.125,91.375,18,0.1,1,10,8
116,0.1,0.31,0.5,12.125,88.25,24,0.1,1,10,8
117,0.1,0.31,0.5,11.625,90.125,20,0.1,1,10,8
118,0.1,0.31,0.5,11.625,90.0,20,0.1,1,10,8
119,0.1,0.31,0.5,11.75,90.375,24,0.1,1,10,8
120,0.1,0.31,0.5,11.875,63.625,28,0.1,0,10,8
121,0.1,0.31,0.5,10.5,91.0,20,0.1,1,10,8
122,0.1,0.31,0.5,10.5,91.75,16,0.1,1,10,8
123,0.1,0.31,0.5,10.125,90.5,16,0.1,1,10,8
124,0.1,0.31,0.5,10.875,89.25,36,0.1,1,10,8
125,0.1,0.31,0.5,10.375,65.25,18,0.1,0,10,8
126,0.1,0.31,0.5,10.125,91.75,16,0.1,1,10,8
127,0.1,0.31,0.5,10.125,91.5,16,0.1,1,10,8
128,0.1,0.31,0.5,10.125,91.5,17,0.1,1,10,8
