eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.5,0.5,0,0,-133,-126,34,0.39,0,10,2
1,0.1,0.5,0.5,0,0,-117,-179,80,0.39,0,10,2
2,0.1,0.5,0.5,0,0,-104,-111,12,0.39,0,10,2
3,0.1,0.5,0.5,0,20,-107,67,34,0.39,0,10,2
4,0.1,0.5,0.5,13,14,-114,86,15,0.39,0,10,2
5,0.1,0.5,0.5,13,15,-104,80,21,0.39,0,10,2
6,0.1,0.5,0.5,13,6,-140,-115,41,0.39,0,10,2
7,0.1,0.5,0.5,14,5,-129,-122,30,0.39,0,10,2
8,0.1,0.5,0.5,14,23,-118,40,61,0.39,0,10,2
9,0.1,0.5,0.5,27,10,-2,92,103,0.39,1,10,2
10,0.1,0.5,0.5,21,25,85,87,16,0.39,1,10,2
11,0.1,0.5,0.5,24,10,-117,90,18,0.39,0,10,2
12,0.1,0.5,0.5,18,10,-126,92,27,0.39,0,10,2
13,0.1,0.5,0.5,16,10,62,92,39,0.39,1,10,2
14,0.1,0.5,0.5,19,27,86,81,20,0.39,1,10,2
15,0.1,0.5,0.5,22,10,87,92,14,0.39,1,10,2
16,0.1,0.5,0.5,20,14,86,-108,15,0.39,0,10,2
17,0.1,0.5,0.5,17,14,87,-110,14,0.39,0,10,2
18,0.1,0.5,0.5,15,23,87,55,46,0.39,1,10,2
19,0.1,0.5,0.5,19,19,-123,-116,24,0.39,0,10,2
20,0.1,0.5,0.5,15,29,83,-41,142,0.39,1,10,2
21,0.1,0.5,0.5,23,19,86,-113,214,0.39,1,10,2
22,0.1,0.5,0.5,14,18,-235,-57,158,0.39,0,10,2
23,0.1,0.5,0.5,20,24,78,25,76,0.39,1,10,2
24,0.1,0.5,0.5,25,29,84,85,17,0.39,1,10,2
25,0.1,0.5,0.5,20,17,84,84,17,0.39,1,10,2
26,0.1,0.5,0.5,22,25,86,82,19,0.39,1,10,2
27,0.1,0.5,0.5,25,21,-133,88,34,0.39,0,10,2
28,0.1,0.5,0.5,18,14,70,87,31,0.39,1,10,2
29,0.1,0.5,0.5,20,31,-120,84,21,0.39,0,10,2
30,0.1,0.5,0.5,19,17,-121,86,22,0.39,0,10,2
31,0.1,0.5,0.5,19,15,-124,82,25,0.39,0,10,2
32,0.1,0.5,0.5,19,13,-107,88,13,0.39,0,10,2
33,0.1,0.5,0.5,28,18,82,74,27,0.39,1,10,2
34,0.1,0.5,0.5,10,22,87,87,14,0.39,1,10,2
35,0.1,0.5,0.5,18,11,91,90,11,0.39,1,10,2
36,0.1,0.5,0.5,14,21,89,90,12,0.39,1,10,2
37,0.1,0.5,0.5,17,12,89,90,12,0.39,1,10,2
38,0.1,0.5,0.5,14,19,90,90,11,0.39,1,10,2
39,0.1,0.5,0.5,17,18,91,90,11,0.39,1,10,2
40,0.1,0.5,0.5,15,14,91,90,11,0.39,1,10,2
41,0.1,0.5,0.5,21,20,91,90,11,0.39,1,10,2
42,0.1,0.5,0.5,18,19,84,90,17,0.39,1,10,2
43,0.1,0.5,0.5,15,13,91,90,11,0.39,1,10,2
44,0.1,0.5,0.5,20,21,91,88,13,0.39,1,10,2
45,0.1,0.5,0.5,18,17,88,90,13,0.39,1,10,2
46,0.1,0.5,0.5,15,15,91,88,13,0.39,1,10,2
47,0.1,0.5,0.5,20,19,91,90,11,0.39,1,10,2
48,0.1,0.5,0.5,17,17,91,84,17,0.39,1,10,2
49,0.1,0.5,0.5,18,14,-102,90,11,0.39,0,10,2
50,0.1,0.5,0.5,17,12,-109,90,11,0.39,0,10,2
