inc_success,dec_unsuccess,dec_success_nocase,eps,total_case_agent_0,total_case_agent_1
0.1,-0.4,-0.2,0,0.0,0.0
0.1,-0.4,-0.2,1,16.0,10.0
0.1,-0.4,-0.2,2,26.0,19.0
0.1,-0.4,-0.2,3,26.0,19.0
0.1,-0.4,-0.2,4,26.0,19.0
0.1,-0.4,-0.2,5,26.0,21.0
0.1,-0.4,-0.2,6,27.0,22.0
0.1,-0.4,-0.2,7,27.0,25.0
0.1,-0.4,-0.2,8,28.0,25.0
0.1,-0.4,-0.2,9,28.0,25.0
0.1,-0.4,-0.2,10,28.0,27.0
0.1,-0.4,-0.2,11,28.0,28.0
0.1,-0.4,-0.2,12,28.0,28.0
0.1,-0.4,-0.2,13,28.0,28.0
0.1,-0.4,-0.2,14,29.0,30.0
0.1,-0.4,-0.2,15,30.0,30.0
0.1,-0.4,-0.2,16,31.0,31.0
0.1,-0.4,-0.2,17,31.0,31.0
0.1,-0.4,-0.2,18,31.0,31.0
0.1,-0.4,-0.2,19,31.0,32.0
0.1,-0.4,-0.2,20,31.0,32.0
0.1,-0.4,-0.2,21,31.0,32.0
0.1,-0.4,-0.2,22,31.0,32.0
0.1,-0.4,-0.2,23,31.0,32.0
0.1,-0.4,-0.2,24,31.0,32.0
0.1,-0.4,-0.2,25,32.0,32.0
0.1,-0.4,-0.2,26,32.0,32.0
0.1,-0.4,-0.2,27,32.0,32.0
0.1,-0.4,-0.2,28,32.0,33.0
0.1,-0.4,-0.2,29,32.0,33.0
0.1,-0.4,-0.2,30,32.0,33.0
0.1,-0.4,-0.2,31,32.0,33.0
0.1,-0.4,-0.2,32,32.0,33.0
0.1,-0.4,-0.2,33,32.0,33.0
0.1,-0.4,-0.2,34,32.0,33.0
0.1,-0.4,-0.2,35,32.0,33.0
0.1,-0.4,-0.2,36,32.0,33.0
0.1,-0.4,-0.2,37,32.0,33.0
0.1,-0.4,-0.2,38,32.0,33.0
0.1,-0.4,-0.2,39,32.0,33.0
0.1,-0.4,-0.2,40,32.0,33.0
0.1,-0.4,-0.2,41,32.0,33.0
0.1,-0.4,-0.2,42,32.0,33.0
0.1,-0.4,-0.2,43,32.0,33.0
0.1,-0.4,-0.2,44,32.0,34.0
0.1,-0.4,-0.2,45,32.0,34.0
0.1,-0.4,-0.2,46,32.0,34.0
0.1,-0.4,-0.2,47,32.0,34.0
0.1,-0.4,-0.2,48,32.0,34.0
0.1,-0.4,-0.2,49,32.0,34.0
0.1,-0.4,-0.2,50,32.0,35.0
0.1,-0.4,-0.2,51,32.0,35.0
0.1,-0.4,-0.2,52,32.0,35.0
0.1,-0.4,-0.2,53,32.0,35.0
0.1,-0.4,-0.2,54,32.0,35.0
0.1,-0.4,-0.2,55,32.0,35.0
0.1,-0.4,-0.2,56,32.0,35.0
0.1,-0.4,-0.2,57,32.0,35.0
0.1,-0.4,-0.2,58,32.0,35.0
