inc_success,dec_unsuccess,dec_success_nocase,eps,total_case_agent_0,total_case_agent_1
0.1,-0.2,-0.2,0,0.0,0.0
0.1,-0.2,-0.2,1,0.0,0.0
0.1,-0.2,-0.2,2,0.0,0.0
0.1,-0.2,-0.2,3,0.0,0.0
0.1,-0.2,-0.2,4,0.0,0.0
0.1,-0.2,-0.2,5,0.0,0.0
0.1,-0.2,-0.2,6,0.0,0.0
0.1,-0.2,-0.2,7,0.0,0.0
0.1,-0.2,-0.2,8,0.0,0.0
0.1,-0.2,-0.2,9,0.0,0.0
0.1,-0.2,-0.2,10,0.0,0.0
0.1,-0.2,-0.2,11,0.0,0.0
0.1,-0.2,-0.2,12,0.0,21.0
0.1,-0.2,-0.2,13,11.0,22.0
0.1,-0.2,-0.2,14,12.0,22.0
0.1,-0.2,-0.2,15,12.0,22.0
0.1,-0.2,-0.2,16,12.0,22.0
0.1,-0.2,-0.2,17,12.0,22.0
0.1,-0.2,-0.2,18,12.0,22.0
0.1,-0.2,-0.2,19,12.0,22.0
0.1,-0.2,-0.2,20,12.0,22.0
0.1,-0.2,-0.2,21,12.0,22.0
0.1,-0.2,-0.2,22,13.0,22.0
0.1,-0.2,-0.2,23,17.0,23.0
0.1,-0.2,-0.2,24,17.0,23.0
0.1,-0.2,-0.2,25,17.0,23.0
0.1,-0.2,-0.2,26,17.0,23.0
0.1,-0.2,-0.2,27,17.0,23.0
0.1,-0.2,-0.2,28,17.0,23.0
0.1,-0.2,-0.2,29,29.0,23.0
0.1,-0.2,-0.2,30,29.0,30.0
0.1,-0.2,-0.2,31,29.0,30.0
0.1,-0.2,-0.2,32,29.0,30.0
0.1,-0.2,-0.2,33,29.0,34.0
0.1,-0.2,-0.2,34,29.0,34.0
0.1,-0.2,-0.2,35,29.0,36.0
0.1,-0.2,-0.2,36,29.0,36.0
0.1,-0.2,-0.2,37,29.0,36.0
0.1,-0.2,-0.2,38,29.0,36.0
0.1,-0.2,-0.2,39,29.0,36.0
0.1,-0.2,-0.2,40,29.0,36.0
0.1,-0.2,-0.2,41,29.0,36.0
0.1,-0.2,-0.2,42,29.0,36.0
0.1,-0.2,-0.2,43,29.0,36.0
0.1,-0.2,-0.2,44,29.0,36.0
0.1,-0.2,-0.2,45,29.0,36.0
0.1,-0.2,-0.2,46,29.0,36.0
0.1,-0.2,-0.2,47,29.0,36.0
0.1,-0.2,-0.2,48,29.0,36.0
0.1,-0.2,-0.2,49,29.0,36.0
0.1,-0.2,-0.2,50,29.0,36.0
0.1,-0.2,-0.2,51,29.0,36.0
0.1,-0.2,-0.2,52,29.0,36.0
0.1,-0.2,-0.2,53,29.0,36.0
0.1,-0.2,-0.2,54,29.0,36.0
0.1,-0.2,-0.2,55,29.0,36.0
0.1,-0.2,-0.2,56,29.0,36.0
0.1,-0.2,-0.2,57,29.0,36.0
0.1,-0.2,-0.2,58,29.0,36.0
