inc_success,dec_unsuccess,dec_success_nocase,eps,total_case_agent_0,total_case_agent_1
0.1,-0.6,-0.2,0,0.0,0.0
0.1,-0.6,-0.2,1,0.0,0.0
0.1,-0.6,-0.2,2,0.0,0.0
0.1,-0.6,-0.2,3,0.0,12.0
0.1,-0.6,-0.2,4,4.0,12.0
0.1,-0.6,-0.2,5,10.0,13.0
0.1,-0.6,-0.2,6,11.0,14.0
0.1,-0.6,-0.2,7,11.0,14.0
0.1,-0.6,-0.2,8,11.0,14.0
0.1,-0.6,-0.2,9,11.0,14.0
0.1,-0.6,-0.2,10,11.0,14.0
0.1,-0.6,-0.2,11,11.0,14.0
0.1,-0.6,-0.2,12,11.0,14.0
0.1,-0.6,-0.2,13,11.0,14.0
0.1,-0.6,-0.2,14,11.0,14.0
0.1,-0.6,-0.2,15,11.0,14.0
0.1,-0.6,-0.2,16,11.0,15.0
0.1,-0.6,-0.2,17,20.0,15.0
0.1,-0.6,-0.2,18,20.0,23.0
0.1,-0.6,-0.2,19,20.0,23.0
0.1,-0.6,-0.2,20,20.0,23.0
0.1,-0.6,-0.2,21,20.0,23.0
0.1,-0.6,-0.2,22,20.0,23.0
0.1,-0.6,-0.2,23,20.0,23.0
0.1,-0.6,-0.2,24,20.0,23.0
0.1,-0.6,-0.2,25,21.0,24.0
0.1,-0.6,-0.2,26,21.0,24.0
0.1,-0.6,-0.2,27,21.0,24.0
0.1,-0.6,-0.2,28,21.0,24.0
0.1,-0.6,-0.2,29,21.0,24.0
0.1,-0.6,-0.2,30,21.0,24.0
0.1,-0.6,-0.2,31,21.0,24.0
0.1,-0.6,-0.2,32,21.0,24.0
0.1,-0.6,-0.2,33,21.0,24.0
0.1,-0.6,-0.2,34,21.0,24.0
0.1,-0.6,-0.2,35,21.0,24.0
0.1,-0.6,-0.2,36,21.0,24.0
0.1,-0.6,-0.2,37,21.0,24.0
0.1,-0.6,-0.2,38,21.0,24.0
0.1,-0.6,-0.2,39,21.0,24.0
0.1,-0.6,-0.2,40,21.0,24.0
0.1,-0.6,-0.2,41,21.0,24.0
0.1,-0.6,-0.2,42,21.0,24.0
0.1,-0.6,-0.2,43,21.0,24.0
0.1,-0.6,-0.2,44,21.0,24.0
0.1,-0.6,-0.2,45,21.0,24.0
0.1,-0.6,-0.2,46,21.0,24.0
0.1,-0.6,-0.2,47,21.0,24.0
0.1,-0.6,-0.2,48,21.0,24.0
0.1,-0.6,-0.2,49,21.0,24.0
0.1,-0.6,-0.2,50,21.0,24.0
0.1,-0.6,-0.2,51,21.0,24.0
0.1,-0.6,-0.2,52,21.0,24.0
0.1,-0.6,-0.2,53,21.0,24.0
0.1,-0.6,-0.2,54,21.0,24.0
0.1,-0.6,-0.2,55,21.0,24.0
0.1,-0.6,-0.2,56,21.0,24.0
0.1,-0.6,-0.2,57,21.0,24.0
0.1,-0.6,-0.2,58,21.0,24.0
