inc_success,dec_unsuccess,dec_success_nocase,eps,total_case_agent_0,total_case_agent_1
0.1,-0.1,-0.2,0,0.0,0.0
0.1,-0.1,-0.2,1,0.0,16.0
0.1,-0.1,-0.2,2,9.0,17.0
0.1,-0.1,-0.2,3,9.0,17.0
0.1,-0.1,-0.2,4,10.0,17.0
0.1,-0.1,-0.2,5,10.0,17.0
0.1,-0.1,-0.2,6,10.0,17.0
0.1,-0.1,-0.2,7,10.0,17.0
0.1,-0.1,-0.2,8,10.0,17.0
0.1,-0.1,-0.2,9,11.0,17.0
0.1,-0.1,-0.2,10,11.0,18.0
0.1,-0.1,-0.2,11,11.0,18.0
0.1,-0.1,-0.2,12,11.0,18.0
0.1,-0.1,-0.2,13,11.0,18.0
0.1,-0.1,-0.2,14,11.0,18.0
0.1,-0.1,-0.2,15,11.0,18.0
0.1,-0.1,-0.2,16,11.0,18.0
0.1,-0.1,-0.2,17,11.0,18.0
0.1,-0.1,-0.2,18,11.0,18.0
0.1,-0.1,-0.2,19,33.0,18.0
0.1,-0.1,-0.2,20,33.0,22.0
0.1,-0.1,-0.2,21,33.0,22.0
0.1,-0.1,-0.2,22,33.0,22.0
0.1,-0.1,-0.2,23,33.0,22.0
0.1,-0.1,-0.2,24,34.0,23.0
0.1,-0.1,-0.2,25,34.0,25.0
0.1,-0.1,-0.2,26,34.0,25.0
0.1,-0.1,-0.2,27,34.0,25.0
0.1,-0.1,-0.2,28,34.0,25.0
0.1,-0.1,-0.2,29,34.0,25.0
0.1,-0.1,-0.2,30,34.0,25.0
0.1,-0.1,-0.2,31,34.0,26.0
0.1,-0.1,-0.2,32,34.0,26.0
0.1,-0.1,-0.2,33,34.0,26.0
0.1,-0.1,-0.2,34,34.0,26.0
0.1,-0.1,-0.2,35,34.0,26.0
0.1,-0.1,-0.2,36,34.0,26.0
0.1,-0.1,-0.2,37,34.0,26.0
0.1,-0.1,-0.2,38,34.0,26.0
0.1,-0.1,-0.2,39,34.0,26.0
0.1,-0.1,-0.2,40,34.0,29.0
0.1,-0.1,-0.2,41,34.0,31.0
0.1,-0.1,-0.2,42,34.0,31.0
0.1,-0.1,-0.2,43,34.0,31.0
0.1,-0.1,-0.2,44,34.0,31.0
0.1,-0.1,-0.2,45,35.0,32.0
0.1,-0.1,-0.2,46,35.0,32.0
0.1,-0.1,-0.2,47,35.0,32.0
0.1,-0.1,-0.2,48,35.0,32.0
0.1,-0.1,-0.2,49,36.0,32.0
0.1,-0.1,-0.2,50,36.0,32.0
0.1,-0.1,-0.2,51,37.0,32.0
0.1,-0.1,-0.2,52,37.0,32.0
0.1,-0.1,-0.2,53,37.0,32.0
0.1,-0.1,-0.2,54,37.0,32.0
0.1,-0.1,-0.2,55,37.0,32.0
0.1,-0.1,-0.2,56,37.0,33.0
0.1,-0.1,-0.2,57,37.0,33.0
0.1,-0.1,-0.2,58,37.0,33.0
