inc_success,dec_unsuccess,dec_success_nocase,eps,total_case_agent_0,total_case_agent_1
0.1,-0.4,-0.2,0,0.0,0.0
0.1,-0.4,-0.2,1,0.0,18.0
0.1,-0.4,-0.2,2,10.0,19.0
0.1,-0.4,-0.2,3,10.0,19.0
0.1,-0.4,-0.2,4,11.0,19.0
0.1,-0.4,-0.2,5,11.0,19.0
0.1,-0.4,-0.2,6,11.0,22.0
0.1,-0.4,-0.2,7,12.0,22.0
0.1,-0.4,-0.2,8,12.0,22.0
0.1,-0.4,-0.2,9,12.0,22.0
0.1,-0.4,-0.2,10,12.0,22.0
0.1,-0.4,-0.2,11,12.0,22.0
0.1,-0.4,-0.2,12,13.0,22.0
0.1,-0.4,-0.2,13,13.0,22.0
0.1,-0.4,-0.2,14,13.0,22.0
0.1,-0.4,-0.2,15,13.0,22.0
0.1,-0.4,-0.2,16,13.0,22.0
0.1,-0.4,-0.2,17,13.0,22.0
0.1,-0.4,-0.2,18,29.0,22.0
0.1,-0.4,-0.2,19,30.0,30.0
0.1,-0.4,-0.2,20,30.0,30.0
0.1,-0.4,-0.2,21,30.0,30.0
0.1,-0.4,-0.2,22,30.0,30.0
0.1,-0.4,-0.2,23,30.0,30.0
0.1,-0.4,-0.2,24,31.0,30.0
0.1,-0.4,-0.2,25,31.0,31.0
0.1,-0.4,-0.2,26,31.0,31.0
0.1,-0.4,-0.2,27,31.0,31.0
0.1,-0.4,-0.2,28,32.0,31.0
0.1,-0.4,-0.2,29,32.0,32.0
0.1,-0.4,-0.2,30,32.0,32.0
0.1,-0.4,-0.2,31,32.0,32.0
0.1,-0.4,-0.2,32,32.0,32.0
0.1,-0.4,-0.2,33,33.0,32.0
0.1,-0.4,-0.2,34,33.0,32.0
0.1,-0.4,-0.2,35,33.0,32.0
0.1,-0.4,-0.2,36,33.0,32.0
0.1,-0.4,-0.2,37,33.0,32.0
0.1,-0.4,-0.2,38,33.0,32.0
0.1,-0.4,-0.2,39,33.0,32.0
0.1,-0.4,-0.2,40,33.0,32.0
0.1,-0.4,-0.2,41,33.0,34.0
0.1,-0.4,-0.2,42,33.0,34.0
0.1,-0.4,-0.2,43,33.0,34.0
0.1,-0.4,-0.2,44,33.0,34.0
0.1,-0.4,-0.2,45,33.0,34.0
0.1,-0.4,-0.2,46,33.0,34.0
0.1,-0.4,-0.2,47,33.0,34.0
0.1,-0.4,-0.2,48,33.0,34.0
0.1,-0.4,-0.2,49,33.0,34.0
0.1,-0.4,-0.2,50,33.0,34.0
0.1,-0.4,-0.2,51,33.0,34.0
0.1,-0.4,-0.2,52,33.0,34.0
0.1,-0.4,-0.2,53,33.0,34.0
0.1,-0.4,-0.2,54,33.0,34.0
0.1,-0.4,-0.2,55,33.0,34.0
0.1,-0.4,-0.2,56,33.0,34.0
0.1,-0.4,-0.2,57,33.0,34.0
0.1,-0.4,-0.2,58,33.0,34.0
