eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
101,0.1,0.6,0.1,14,10,-114,92,15,0.45,0,10
102,0.1,0.6,0.1,14,10,-161,92,62,0.45,0,10
103,0.1,0.6,0.1,14,10,-188,92,89,0.45,0,10
104,0.1,0.6,0.1,14,10,-137,92,38,0.45,0,10
105,0.1,0.6,0.1,27,10,53,92,48,0.45,1,10
106,0.1,0.6,0.1,23,18,80,92,21,0.45,1,10
107,0.1,0.6,0.1,23,12,80,86,21,0.45,1,10
108,0.1,0.6,0.1,23,17,79,89,22,0.45,1,10
109,0.1,0.6,0.1,22,19,81,90,20,0.45,1,10
110,0.1,0.6,0.1,21,13,79,92,22,0.45,1,10
111,0.1,0.6,0.1,21,19,81,92,20,0.45,1,10
112,0.1,0.6,0.1,4,16,-135,91,36,0.45,0,10
113,0.1,0.6,0.1,11,10,-130,92,31,0.45,0,10
114,0.1,0.6,0.1,12,10,-152,92,53,0.45,0,10
115,0.1,0.6,0.1,12,10,-130,92,31,0.45,0,10
116,0.1,0.6,0.1,12,10,-138,92,39,0.45,0,10
117,0.1,0.6,0.1,27,10,53,91,48,0.45,1,10
118,0.1,0.6,0.1,25,19,80,92,21,0.45,1,10
119,0.1,0.6,0.1,25,13,80,90,21,0.45,1,10
120,0.1,0.6,0.1,25,19,80,92,21,0.45,1,10
121,0.1,0.6,0.1,24,19,80,92,21,0.45,1,10
122,0.1,0.6,0.1,23,17,80,92,21,0.45,1,10
123,0.1,0.6,0.1,25,12,79,92,22,0.45,1,10
124,0.1,0.6,0.1,23,25,79,88,22,0.45,1,10
125,0.1,0.6,0.1,23,25,81,92,20,0.45,1,10
126,0.1,0.6,0.1,23,23,78,92,23,0.45,1,10
127,0.1,0.6,0.1,23,23,83,91,18,0.45,1,10
128,0.1,0.6,0.1,22,21,81,92,20,0.45,1,10
129,0.1,0.6,0.1,21,23,81,89,20,0.45,1,10
130,0.1,0.6,0.1,23,12,78,92,23,0.45,1,10
131,0.1,0.6,0.1,23,17,81,92,20,0.45,1,10
132,0.1,0.6,0.1,23,19,81,92,20,0.45,1,10
133,0.1,0.6,0.1,23,19,78,92,23,0.45,1,10
134,0.1,0.6,0.1,23,19,81,92,20,0.45,1,10
135,0.1,0.6,0.1,22,17,80,92,21,0.45,1,10
136,0.1,0.6,0.1,22,20,81,91,20,0.45,1,10
137,0.1,0.6,0.1,23,17,85,90,16,0.45,1,10
138,0.1,0.6,0.1,22,22,79,92,22,0.45,1,10
139,0.1,0.6,0.1,23,21,81,92,20,0.45,1,10
140,0.1,0.6,0.1,23,23,81,92,20,0.45,1,10
141,0.1,0.6,0.1,14,23,-110,92,11,0.45,0,10
142,0.1,0.6,0.1,23,20,62,92,39,0.45,1,10
143,0.1,0.6,0.1,21,18,86,86,15,0.45,1,10
144,0.1,0.6,0.1,21,15,87,92,14,0.45,1,10
145,0.1,0.6,0.1,21,14,83,92,18,0.45,1,10
146,0.1,0.6,0.1,20,16,84,92,17,0.45,1,10
147,0.1,0.6,0.1,17,20,87,91,14,0.45,1,10
148,0.1,0.6,0.1,21,17,87,92,14,0.45,1,10
