eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
129,0.1,0.31,0.5,14,33,22,25,91,-122,93,91,23,0.1,0,10,4
130,0.1,0.31,0.5,27,33,20,20,91,-135,93,92,36,0.1,0,10,4
131,0.1,0.31,0.5,26,33,17,19,91,-152,93,92,53,0.1,0,10,4
132,0.1,0.31,0.5,14,33,21,25,89,-237,93,92,138,0.1,0,10,4
133,0.1,0.31,0.5,27,33,24,19,91,-142,91,92,43,0.1,0,10,4
134,0.1,0.31,0.5,27,33,19,26,-107,-117,93,-109,18,0.1,0,10,4
135,0.1,0.31,0.5,26,33,21,19,91,-119,93,92,20,0.1,0,10,4
136,0.1,0.31,0.5,14,33,22,20,91,-151,93,90,52,0.1,0,10,4
137,0.1,0.31,0.5,28,33,14,25,87,-143,93,92,44,0.1,0,10,4
138,0.1,0.31,0.5,25,33,27,19,91,-135,84,90,36,0.1,0,10,4
139,0.1,0.31,0.5,14,33,27,21,91,-144,93,92,45,0.1,0,10,4
140,0.1,0.31,0.5,28,33,14,24,91,-126,93,92,27,0.1,0,10,4
141,0.1,0.31,0.5,25,33,19,24,91,-146,93,-104,47,0.1,0,10,4
142,0.1,0.31,0.5,14,33,24,19,91,-109,93,92,10,0.1,0,10,4
143,0.1,0.31,0.5,27,33,16,21,90,-155,93,91,56,0.1,0,10,4
144,0.1,0.31,0.5,25,33,22,22,91,-136,90,92,37,0.1,0,10,4
145,0.1,0.31,0.5,15,33,29,18,91,-362,91,92,263,0.1,0,10,4
146,0.1,0.31,0.5,27,33,16,23,89,-152,92,91,53,0.1,0,10,4
147,0.1,0.31,0.5,24,33,19,23,91,-116,93,92,17,0.1,0,10,4
148,0.1,0.31,0.5,16,33,24,17,91,-130,93,92,31,0.1,0,10,4
