eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,31,0,-114,-117,-37,-137,138,0.1,0,10,4
1,0.1,0.31,0.5,8,8,9,30,-113,-130,91,30,71,0.1,0,10,4
2,0.1,0.31,0.5,19,18,16,13,-116,-112,93,87,17,0.1,0,10,4
3,0.1,0.31,0.5,19,19,29,13,-123,-115,51,88,50,0.1,0,10,4
4,0.1,0.31,0.5,21,21,12,22,-131,-112,89,80,32,0.1,0,10,4
5,0.1,0.31,0.5,23,21,14,20,-118,-110,89,82,19,0.1,0,10,4
6,0.1,0.31,0.5,23,21,20,19,-115,-124,88,90,25,0.1,0,10,4
7,0.1,0.31,0.5,23,21,14,19,-137,-122,89,89,38,0.1,0,10,4
8,0.1,0.31,0.5,23,21,18,16,-134,-121,88,85,35,0.1,0,10,4
9,0.1,0.31,0.5,23,21,13,19,-141,-151,88,85,52,0.1,0,10,4
10,0.1,0.31,0.5,23,21,13,25,-118,-112,91,77,24,0.1,0,10,4
11,0.1,0.31,0.5,20,26,18,15,56,46,91,89,55,0.1,1,10,4
12,0.1,0.31,0.5,45,41,32,44,-125,76,90,77,26,0.1,0,10,4
13,0.1,0.31,0.5,24,26,21,13,85,74,83,84,27,0.1,1,10,4
14,0.1,0.31,0.5,34,25,29,30,78,86,89,90,23,0.1,1,10,4
15,0.1,0.31,0.5,31,42,24,31,83,60,91,86,41,0.1,1,10,4
16,0.1,0.31,0.5,33,31,24,23,87,86,91,90,15,0.1,1,10,4
17,0.1,0.31,0.5,24,23,26,24,77,83,91,90,24,0.1,1,10,4
18,0.1,0.31,0.5,31,42,15,19,76,58,91,89,43,0.1,1,10,4
19,0.1,0.31,0.5,29,29,35,34,89,75,90,88,26,0.1,1,10,4
20,0.1,0.31,0.5,35,31,36,37,89,85,91,90,16,0.1,1,10,4
21,0.1,0.31,0.5,27,35,19,21,89,85,86,88,16,0.1,1,10,4
22,0.1,0.31,0.5,26,28,31,30,88,86,90,90,15,0.1,1,10,4
23,0.1,0.31,0.5,34,31,34,35,89,84,91,90,17,0.1,1,10,4
24,0.1,0.31,0.5,27,32,17,22,89,86,91,87,15,0.1,1,10,4
25,0.1,0.31,0.5,29,29,31,29,90,86,91,90,15,0.1,1,10,4
26,0.1,0.31,0.5,31,30,35,36,91,86,91,90,15,0.1,1,10,4
27,0.1,0.31,0.5,27,30,17,21,89,81,91,89,20,0.1,1,10,4
28,0.1,0.31,0.5,29,31,31,29,91,78,91,90,23,0.1,1,10,4
29,0.1,0.31,0.5,31,30,35,34,90,85,87,92,16,0.1,1,10,4
30,0.1,0.31,0.5,27,29,19,21,85,85,88,90,16,0.1,1,10,4
31,0.1,0.31,0.5,29,31,31,32,90,86,91,90,15,0.1,1,10,4
32,0.1,0.31,0.5,28,30,36,38,91,85,87,87,16,0.1,1,10,4
33,0.1,0.31,0.5,27,30,19,21,90,83,90,90,18,0.1,1,10,4
34,0.1,0.31,0.5,30,29,31,32,91,86,91,89,15,0.1,1,10,4
35,0.1,0.31,0.5,30,32,34,35,89,85,91,90,16,0.1,1,10,4
36,0.1,0.31,0.5,26,30,19,21,91,84,91,90,17,0.1,1,10,4
37,0.1,0.31,0.5,26,26,29,37,91,86,87,-111,15,0.1,0,10,4
38,0.1,0.31,0.5,31,32,34,32,89,83,90,90,18,0.1,1,10,4
39,0.1,0.31,0.5,30,34,29,19,91,78,79,90,23,0.1,1,10,4
40,0.1,0.31,0.5,26,27,26,37,91,84,91,90,17,0.1,1,10,4
41,0.1,0.31,0.5,30,32,35,32,91,86,91,90,15,0.1,1,10,4
42,0.1,0.31,0.5,28,32,24,19,91,83,91,89,18,0.1,1,10,4
43,0.1,0.31,0.5,23,27,25,37,91,84,93,83,18,0.1,1,10,4
44,0.1,0.31,0.5,25,26,30,38,89,84,89,-106,17,0.1,0,10,4
45,0.1,0.31,0.5,29,33,25,31,90,86,91,88,15,0.1,1,10,4
46,0.1,0.31,0.5,31,30,31,20,91,86,91,89,15,0.1,1,10,4
47,0.1,0.31,0.5,25,28,31,35,91,86,84,90,17,0.1,1,10,4
48,0.1,0.31,0.5,29,32,26,31,91,86,91,90,15,0.1,1,10,4
49,0.1,0.31,0.5,28,33,30,22,90,-102,91,90,11,0.1,0,10,4
50,0.1,0.31,0.5,30,33,23,23,-102,-102,91,86,15,0.1,0,10,4
51,0.1,0.31,0.5,20,29,21,26,90,-102,91,90,11,0.1,0,10,4
52,0.1,0.31,0.5,23,31,24,20,91,-105,89,90,12,0.1,0,10,4
53,0.1,0.31,0.5,29,31,21,27,90,-106,91,90,11,0.1,0,10,4
54,0.1,0.31,0.5,20,34,25,23,85,-123,89,90,24,0.1,0,10,4
55,0.1,0.31,0.5,21,34,24,18,91,-104,83,90,18,0.1,0,10,4
56,0.1,0.31,0.5,29,34,23,29,91,-119,91,90,20,0.1,0,10,4
57,0.1,0.31,0.5,19,34,24,25,91,-117,89,88,18,0.1,0,10,4
58,0.1,0.31,0.5,21,34,22,20,91,-189,91,90,90,0.1,0,10,4
59,0.1,0.31,0.5,26,34,23,27,91,-163,84,74,64,0.1,0,10,4
60,0.1,0.31,0.5,18,34,21,25,91,-144,91,90,45,0.1,0,10,4
61,0.1,0.31,0.5,22,34,19,18,91,-126,91,82,27,0.1,0,10,4
62,0.1,0.31,0.5,25,34,26,29,91,-169,91,90,70,0.1,0,10,4
63,0.1,0.31,0.5,20,34,20,26,91,-509,90,86,410,0.1,0,10,4
64,0.1,0.31,0.5,24,34,28,16,91,-153,75,88,54,0.1,0,10,4
65,0.1,0.31,0.5,22,36,22,27,91,-104,93,86,15,0.1,0,10,4
66,0.1,0.31,0.5,19,36,23,26,91,-181,91,90,82,0.1,0,10,4
67,0.1,0.31,0.5,26,36,26,18,91,-160,91,90,61,0.1,0,10,4
68,0.1,0.31,0.5,22,36,21,25,91,-234,91,86,135,0.1,0,10,4
69,0.1,0.31,0.5,19,36,22,28,91,-112,91,87,14,0.1,0,10,4
70,0.1,0.31,0.5,23,36,24,17,88,-137,91,92,38,0.1,0,10,4
71,0.1,0.31,0.5,23,36,21,20,-105,-156,90,90,57,0.1,0,10,4
72,0.1,0.31,0.5,26,36,22,28,91,-176,91,90,77,0.1,0,10,4
73,0.1,0.31,0.5,16,36,27,21,91,-236,91,90,137,0.1,0,10,4
74,0.1,0.31,0.5,26,36,20,22,91,-209,91,88,110,0.1,0,10,4
75,0.1,0.31,0.5,26,34,22,29,91,-20,91,90,121,0.1,1,10,4
76,0.1,0.31,0.5,24,30,33,30,91,80,91,90,21,0.1,1,10,4
77,0.1,0.31,0.5,30,40,23,24,91,84,91,90,17,0.1,1,10,4
78,0.1,0.31,0.5,34,33,30,35,90,76,91,90,25,0.1,1,10,4
79,0.1,0.31,0.5,19,27,26,27,90,84,91,86,17,0.1,1,10,4
80,0.1,0.31,0.5,32,39,24,28,91,79,91,89,22,0.1,1,10,4
81,0.1,0.31,0.5,34,33,33,37,91,72,91,90,29,0.1,1,10,4
82,0.1,0.31,0.5,22,27,30,27,89,84,91,90,17,0.1,1,10,4
83,0.1,0.31,0.5,35,42,26,28,90,80,91,90,21,0.1,1,10,4
84,0.1,0.31,0.5,32,32,29,38,91,81,91,-108,20,0.1,0,10,4
85,0.1,0.31,0.5,18,29,28,37,90,83,93,85,18,0.1,1,10,4
86,0.1,0.31,0.5,34,39,23,16,-109,76,91,89,25,0.1,0,10,4
87,0.1,0.31,0.5,32,31,28,35,87,84,91,90,17,0.1,1,10,4
88,0.1,0.31,0.5,25,29,33,34,91,84,91,89,17,0.1,1,10,4
89,0.1,0.31,0.5,35,37,27,23,91,84,91,89,17,0.1,1,10,4
90,0.1,0.31,0.5,30,31,30,35,91,84,89,90,17,0.1,1,10,4
91,0.1,0.31,0.5,23,29,33,33,91,84,87,90,17,0.1,1,10,4
92,0.1,0.31,0.5,34,37,27,23,91,82,91,90,19,0.1,1,10,4
93,0.1,0.31,0.5,31,31,28,36,91,81,91,90,20,0.1,1,10,4
94,0.1,0.31,0.5,24,31,33,33,90,82,90,89,19,0.1,1,10,4
95,0.1,0.31,0.5,34,36,28,23,91,82,91,90,19,0.1,1,10,4
96,0.1,0.31,0.5,38,29,27,35,-109,84,91,89,17,0.1,0,10,4
97,0.1,0.31,0.5,31,34,33,33,91,81,91,90,20,0.1,1,10,4
98,0.1,0.31,0.5,18,36,28,31,91,82,91,76,25,0.1,1,10,4
99,0.1,0.31,0.5,33,37,22,26,91,-102,90,88,13,0.1,0,10,4
100,0.1,0.31,0.5,28,37,27,29,91,-102,91,88,13,0.1,0,10,4
101,0.1,0.31,0.5,18,33,26,23,89,-102,91,88,13,0.1,0,10,4
102,0.1,0.31,0.5,28,35,19,23,89,-112,91,89,13,0.1,0,10,4
103,0.1,0.31,0.5,25,35,26,26,91,-106,91,90,11,0.1,0,10,4
104,0.1,0.31,0.5,16,37,24,22,91,-114,89,90,15,0.1,0,10,4
105,0.1,0.31,0.5,27,37,19,22,91,-102,91,90,11,0.1,0,10,4
106,0.1,0.31,0.5,26,37,26,27,91,-240,91,90,141,0.1,0,10,4
107,0.1,0.31,0.5,18,37,23,22,86,-150,91,89,51,0.1,0,10,4
108,0.1,0.31,0.5,28,37,21,23,89,-136,89,89,37,0.1,0,10,4
109,0.1,0.31,0.5,27,37,25,25,90,-126,91,90,27,0.1,0,10,4
110,0.1,0.31,0.5,17,37,22,20,89,-110,90,90,12,0.1,0,10,4
111,0.1,0.31,0.5,30,37,20,24,-109,-170,91,90,71,0.1,0,10,4
112,0.1,0.31,0.5,28,37,26,26,91,-161,91,90,62,0.1,0,10,4
113,0.1,0.31,0.5,13,37,21,19,91,-155,91,90,56,0.1,0,10,4
114,0.1,0.31,0.5,29,37,22,24,85,-260,90,90,161,0.1,0,10,4
115,0.1,0.31,0.5,28,37,26,26,91,-115,91,90,16,0.1,0,10,4
116,0.1,0.31,0.5,13,37,23,21,91,-141,91,89,42,0.1,0,10,4
117,0.1,0.31,0.5,27,37,20,24,91,-152,91,89,53,0.1,0,10,4
118,0.1,0.31,0.5,29,37,22,27,89,-101,91,89,12,0.1,0,10,4
119,0.1,0.31,0.5,15,37,24,21,91,-144,91,90,45,0.1,0,10,4
120,0.1,0.31,0.5,27,37,23,24,91,-155,91,90,56,0.1,0,10,4
121,0.1,0.31,0.5,29,37,22,26,89,-143,91,90,44,0.1,0,10,4
122,0.1,0.31,0.5,15,37,23,20,91,-205,91,90,106,0.1,0,10,4
123,0.1,0.31,0.5,27,37,23,25,91,-107,91,90,11,0.1,0,10,4
124,0.1,0.31,0.5,29,37,23,27,89,-183,91,90,84,0.1,0,10,4
125,0.1,0.31,0.5,15,37,22,20,91,-169,91,92,70,0.1,0,10,4
126,0.1,0.31,0.5,27,37,22,25,91,-127,91,88,28,0.1,0,10,4
127,0.1,0.31,0.5,31,37,25,26,88,-133,90,90,34,0.1,0,10,4
128,0.1,0.31,0.5,13,37,22,20,91,-124,89,90,25,0.1,0,10,4
129,0.1,0.31,0.5,27,37,23,26,91,-163,89,89,64,0.1,0,10,4
130,0.1,0.31,0.5,28,37,26,25,91,-105,91,90,11,0.1,0,10,4
131,0.1,0.31,0.5,14,37,22,24,91,-197,91,80,98,0.1,0,10,4
132,0.1,0.31,0.5,25,37,20,28,91,-137,91,88,38,0.1,0,10,4
133,0.1,0.31,0.5,25,37,23,25,91,-382,91,80,283,0.1,0,10,4
134,0.1,0.31,0.5,14,37,28,19,91,-212,-108,88,113,0.1,0,10,4
135,0.1,0.31,0.5,23,37,21,25,91,-123,93,88,24,0.1,0,10,4
136,0.1,0.31,0.5,27,37,17,27,90,-121,91,87,22,0.1,0,10,4
137,0.1,0.31,0.5,14,37,29,19,91,-157,-123,87,58,0.1,0,10,4
138,0.1,0.31,0.5,19,37,30,26,90,-183,90,-104,84,0.1,0,10,4
139,0.1,0.31,0.5,24,37,11,25,91,-165,91,90,66,0.1,0,10,4
140,0.1,0.31,0.5,21,37,28,17,91,-112,-113,90,14,0.1,0,10,4
141,0.1,0.31,0.5,20,37,28,25,91,-116,91,90,17,0.1,0,10,4
142,0.1,0.31,0.5,24,37,11,23,91,-179,91,90,80,0.1,0,10,4
