eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-102,-121,-174,-107,-120,-102,-109,-122,75,0.1,0,10,8
1,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-113,-119,-172,-247,-109,-165,-108,-178,148,0.1,0,10,8
2,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-172,-122,-118,-122,-133,-113,-111,-117,73,0.1,0,10,8
3,0.1,0.31,0.5,0,0,10,0,0,0,0,37,-117,-108,89,-105,-120,-111,-126,-20,121,0.1,0,10,8
4,0.1,0.31,0.5,15,15,15,37,11,15,13,11,-127,-124,92,35,-106,-162,-107,90,66,0.1,0,10,8
5,0.1,0.31,0.5,24,24,17,10,24,20,24,24,-143,-109,93,92,-114,91,-146,-117,47,0.1,0,10,8
6,0.1,0.31,0.5,24,24,15,21,24,15,24,11,-115,-117,93,-105,-137,91,-131,91,38,0.1,0,10,8
7,0.1,0.31,0.5,24,24,18,18,24,24,24,24,-141,-172,92,92,-127,91,-114,91,73,0.1,0,10,8
8,0.1,0.31,0.5,24,24,15,18,15,11,24,15,-110,-120,93,87,75,90,-156,91,57,0.1,0,10,8
9,0.1,0.31,0.5,32,29,25,25,32,33,32,28,-135,31,93,92,92,82,-114,86,70,0.1,0,10,8
10,0.1,0.31,0.5,36,38,28,28,36,27,14,28,-181,-107,90,89,92,90,92,91,82,0.1,0,10,8
11,0.1,0.31,0.5,38,33,26,27,12,22,31,26,-131,82,92,90,92,89,92,91,32,0.1,0,10,8
12,0.1,0.31,0.5,38,28,21,21,36,28,35,23,-115,81,93,92,89,89,91,90,20,0.1,0,10,8
13,0.1,0.31,0.5,38,34,31,30,18,26,13,29,-140,78,89,90,92,91,92,81,41,0.1,0,10,8
14,0.1,0.31,0.5,24,38,25,25,33,30,34,20,44,-135,91,90,82,88,91,94,57,0.1,0,10,8
15,0.1,0.31,0.5,50,32,26,34,28,30,31,33,80,79,93,91,92,91,88,90,22,0.1,1,10,8
16,0.1,0.31,0.5,32,37,36,33,35,34,48,39,83,79,93,92,92,91,-108,91,22,0.1,0,10,8
17,0.1,0.31,0.5,33,45,31,28,34,33,26,23,84,76,89,92,90,91,92,91,25,0.1,1,10,8
18,0.1,0.31,0.5,41,26,26,44,26,29,26,21,66,81,93,-109,90,89,91,95,35,0.1,0,10,8
19,0.1,0.31,0.5,38,43,38,31,36,36,42,30,85,85,93,92,88,91,89,95,16,0.1,1,10,8
20,0.1,0.31,0.5,41,39,35,30,42,40,36,30,83,86,93,92,91,89,92,95,18,0.1,1,10,8
21,0.1,0.31,0.5,26,28,20,33,21,23,20,25,77,84,93,92,91,91,92,86,24,0.1,1,10,8
22,0.1,0.31,0.5,51,37,30,29,37,47,39,36,79,85,93,92,91,-126,92,87,27,0.1,0,10,8
23,0.1,0.31,0.5,38,45,43,39,43,37,39,36,82,83,92,90,91,90,90,95,19,0.1,1,10,8
24,0.1,0.31,0.5,31,29,23,32,22,21,26,21,84,79,93,88,89,89,89,92,22,0.1,1,10,8
25,0.1,0.31,0.5,36,48,35,35,37,42,46,31,84,-109,93,92,92,91,-107,95,17,0.1,0,10,8
26,0.1,0.31,0.5,36,34,36,30,33,37,29,31,87,85,91,92,92,77,92,94,24,0.1,1,10,8
27,0.1,0.31,0.5,36,31,31,35,32,28,29,26,87,81,91,92,92,90,88,93,20,0.1,1,10,8
28,0.1,0.31,0.5,35,42,31,36,32,37,39,32,87,74,93,92,91,91,92,95,27,0.1,1,10,8
29,0.1,0.31,0.5,34,41,38,36,39,39,34,34,87,80,92,92,91,89,90,93,21,0.1,1,10,8
30,0.1,0.31,0.5,37,29,32,33,43,27,30,24,86,86,92,92,-104,91,92,95,15,0.1,0,10,8
31,0.1,0.31,0.5,35,39,32,37,32,38,39,30,87,86,93,91,89,91,92,95,15,0.1,1,10,8
32,0.1,0.31,0.5,29,32,31,28,28,30,23,23,87,75,91,92,89,91,92,95,26,0.1,1,10,8
33,0.1,0.31,0.5,37,32,28,35,33,31,36,28,87,85,93,92,92,91,92,95,16,0.1,1,10,8
34,0.1,0.31,0.5,43,42,37,39,42,37,38,36,-105,86,93,86,92,90,92,93,15,0.1,0,10,8
35,0.1,0.31,0.5,47,31,30,26,27,29,22,25,-107,86,93,92,92,91,92,95,15,0.1,0,10,8
36,0.1,0.31,0.5,45,36,33,40,41,40,43,28,82,86,93,92,84,91,92,95,19,0.1,1,10,8
