eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
139,0.1,0.31,0.5,97,115,133,164,81,78,115,112,66,52,70,50,81,83,75,74,51,0.1,1,25,8
140,0.1,0.31,0.5,131,121,68,166,103,97,103,101,63,51,70,-114,81,83,74,77,50,0.1,0,25,8
141,0.1,0.31,0.5,107,117,142,150,80,92,84,83,59,53,63,60,81,75,74,77,48,0.1,1,25,8
142,0.1,0.31,0.5,114,132,122,54,91,93,143,146,62,55,71,65,81,83,62,64,46,0.1,1,25,8
143,0.1,0.31,0.5,133,126,136,155,141,86,117,116,62,49,-109,62,46,83,75,75,55,0.1,0,25,8
144,0.1,0.31,0.5,111,108,155,141,120,86,84,84,52,63,-124,54,75,82,72,77,49,0.1,0,25,8
145,0.1,0.31,0.5,125,135,80,74,95,92,133,132,67,52,71,63,79,83,75,75,49,0.1,1,25,8
146,0.1,0.31,0.5,122,125,108,156,99,80,100,99,63,55,69,-121,81,83,74,77,46,0.1,0,25,8
147,0.1,0.31,0.5,114,109,145,134,87,83,89,88,63,55,67,60,81,83,75,72,46,0.1,1,25,8
148,0.1,0.31,0.5,152,135,89,59,103,78,118,129,-6,7,68,65,71,83,74,61,107,0.1,1,25,8
