eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,total_case_agent_3,total_case_agent_4,total_case_agent_5,total_case_agent_6,total_case_agent_7,rewards_agent_0,rewards_agent_1,rewards_agent_2,rewards_agent_3,rewards_agent_4,rewards_agent_5,rewards_agent_6,rewards_agent_7,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,0,0,0,0,0,-201,-132,-178,-206,-116,-179,-134,-443,344,0.1,0,15,8
1,0.1,0.31,0.5,0,0,0,26,0,22,0,40,-119,-204,-246,56,-123,47,-143,28,147,0.1,0,15,8
2,0.1,0.31,0.5,29,29,29,27,24,21,28,36,-140,-157,-189,83,-114,90,-126,71,90,0.1,0,15,8
3,0.1,0.31,0.5,33,25,32,29,33,31,33,15,-135,52,44,73,-196,71,-128,87,97,0.1,0,15,8
4,0.1,0.31,0.5,55,49,49,59,55,36,38,54,-121,83,77,-117,-133,91,-102,83,34,0.1,0,15,8
5,0.1,0.31,0.5,55,35,41,23,55,35,54,31,-144,87,81,80,-111,87,-119,81,45,0.1,0,15,8
6,0.1,0.31,0.5,56,35,37,61,56,30,55,38,-169,87,79,50,-113,90,-183,87,84,0.1,0,15,8
7,0.1,0.31,0.5,58,36,43,37,31,40,57,41,-120,87,75,73,53,89,-136,83,48,0.1,0,15,8
8,0.1,0.31,0.5,75,30,52,59,75,27,61,25,-170,87,72,74,56,90,-109,87,71,0.1,0,15,8
9,0.1,0.31,0.5,75,55,54,74,65,46,72,56,-170,87,79,-126,72,90,-123,88,71,0.1,0,15,8
10,0.1,0.31,0.5,75,47,58,52,32,37,48,45,-179,81,64,75,74,92,21,88,80,0.1,0,15,8
11,0.1,0.31,0.5,77,39,47,67,55,24,54,42,-162,84,77,-119,74,92,25,85,76,0.1,0,15,8
12,0.1,0.31,0.5,77,51,42,59,54,41,52,47,-114,84,79,-157,76,92,35,88,66,0.1,0,15,8
13,0.1,0.31,0.5,46,30,42,58,32,54,39,35,37,86,73,-118,71,61,68,76,64,0.1,0,15,8
14,0.1,0.31,0.5,59,50,55,67,59,35,70,48,62,87,72,-169,73,90,30,54,71,0.1,0,15,8
15,0.1,0.31,0.5,50,40,33,67,44,42,40,31,55,87,81,-203,75,90,65,88,104,0.1,0,15,8
16,0.1,0.31,0.5,57,39,57,41,52,33,65,47,56,87,73,54,-104,92,-128,90,47,0.1,0,15,8
17,0.1,0.31,0.5,65,63,65,61,62,43,64,60,65,86,79,85,71,92,74,39,62,0.1,1,15,8
18,0.1,0.31,0.5,74,45,36,63,55,43,42,43,-121,85,81,85,75,91,76,80,26,0.1,0,15,8
19,0.1,0.31,0.5,54,50,60,32,56,57,64,48,59,82,76,83,74,84,76,88,42,0.1,1,15,8
20,0.1,0.31,0.5,54,39,48,72,47,33,37,38,71,87,66,-134,74,85,75,87,35,0.1,0,15,8
21,0.1,0.31,0.5,64,54,76,48,59,45,59,56,57,85,-132,87,74,92,57,83,44,0.1,0,15,8
22,0.1,0.31,0.5,57,51,44,38,55,48,64,78,61,85,77,87,72,90,71,-122,40,0.1,0,15,8
23,0.1,0.31,0.5,58,48,50,67,52,42,50,41,57,87,79,87,67,92,78,90,44,0.1,1,15,8
24,0.1,0.31,0.5,70,59,65,52,61,58,63,37,55,82,79,87,75,84,65,89,46,0.1,1,15,8
25,0.1,0.31,0.5,53,45,49,40,53,46,59,61,63,87,79,77,76,90,71,90,38,0.1,1,15,8
26,0.1,0.31,0.5,60,54,52,73,59,43,55,46,65,87,80,87,73,92,65,90,36,0.1,1,15,8
27,0.1,0.31,0.5,69,61,64,58,61,57,63,45,60,87,81,77,76,86,70,89,41,0.1,1,15,8
28,0.1,0.31,0.5,52,48,48,39,51,56,52,59,65,85,75,79,74,72,78,83,36,0.1,1,15,8
29,0.1,0.31,0.5,65,47,55,69,64,42,57,50,58,87,81,87,66,87,80,89,43,0.1,1,15,8
30,0.1,0.31,0.5,65,66,64,50,61,57,62,50,51,63,80,85,72,86,78,81,50,0.1,1,15,8
31,0.1,0.31,0.5,77,52,51,45,61,57,64,57,-131,83,80,78,66,88,66,88,35,0.1,0,15,8
32,0.1,0.31,0.5,56,48,54,65,57,40,51,39,60,85,78,87,82,89,79,90,41,0.1,1,15,8
33,0.1,0.31,0.5,53,65,76,51,60,57,62,56,58,74,70,84,76,85,78,84,43,0.1,1,15,8
34,0.1,0.31,0.5,72,51,56,73,54,50,51,49,40,87,57,-224,65,83,77,90,125,0.1,0,15,8
35,0.1,0.31,0.5,57,48,54,41,57,44,51,43,64,82,70,84,76,87,80,90,37,0.1,1,15,8
36,0.1,0.31,0.5,68,64,68,54,69,65,69,53,54,87,83,83,72,86,78,90,47,0.1,1,15,8
37,0.1,0.31,0.5,71,51,50,71,71,51,58,47,60,87,81,87,-102,85,65,90,41,0.1,0,15,8
