eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agents,rewards_agents,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,2.5,-96.66666666666667,85,0.1,0,10,6
1,0.1,0.31,0.5,6.0,-74.66666666666667,16,0.1,0,10,6
2,0.1,0.31,0.5,8.166666666666666,-60.833333333333336,74,0.1,0,10,6
3,0.1,0.31,0.5,10.166666666666666,-82.5,42,0.1,0,10,6
4,0.1,0.31,0.5,18.166666666666668,-28.333333333333332,70,0.1,0,10,6
5,0.1,0.31,0.5,13.0,52.333333333333336,35,0.1,0,10,6
6,0.1,0.31,0.5,32.833333333333336,81.0,53,0.1,1,10,6
7,0.1,0.31,0.5,26.666666666666668,57.333333333333336,16,0.1,0,10,6
8,0.1,0.31,0.5,26.0,89.33333333333333,15,0.1,1,10,6
9,0.1,0.31,0.5,31.833333333333332,52.333333333333336,26,0.1,0,10,6
10,0.1,0.31,0.5,26.666666666666668,57.666666666666664,15,0.1,0,10,6
11,0.1,0.31,0.5,25.0,88.66666666666667,22,0.1,1,10,6
12,0.1,0.31,0.5,35.166666666666664,57.833333333333336,13,0.1,0,10,6
13,0.1,0.31,0.5,27.0,90.5,15,0.1,1,10,6
14,0.1,0.31,0.5,26.166666666666668,88.66666666666667,19,0.1,1,10,6
15,0.1,0.31,0.5,31.833333333333332,57.0,13,0.1,0,10,6
16,0.1,0.31,0.5,34.166666666666664,90.33333333333333,16,0.1,1,10,6
17,0.1,0.31,0.5,29.0,58.333333333333336,12,0.1,0,10,6
18,0.1,0.31,0.5,30.666666666666668,91.0,12,0.1,1,10,6
19,0.1,0.31,0.5,28.666666666666668,55.833333333333336,17,0.1,0,10,6
20,0.1,0.31,0.5,31.5,57.666666666666664,14,0.1,0,10,6
21,0.1,0.31,0.5,32.333333333333336,57.666666666666664,14,0.1,0,10,6
22,0.1,0.31,0.5,30.0,55.333333333333336,25,0.1,0,10,6
23,0.1,0.31,0.5,29.333333333333332,91.0,13,0.1,1,10,6
24,0.1,0.31,0.5,28.666666666666668,86.83333333333333,34,0.1,1,10,6
25,0.1,0.31,0.5,33.5,91.33333333333333,13,0.1,1,10,6
