eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,rewards_agent_0,rewards_agent_1,rewards_agent_2,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,-158,-105,-120,59,0.1,0,10,3
1,0.1,0.31,0.5,0,0,0,-116,-144,-119,45,0.1,0,10,3
2,0.1,0.31,0.5,0,0,0,-126,-136,-104,37,0.1,0,10,3
3,0.1,0.31,0.5,0,0,0,-123,-116,-133,34,0.1,0,10,3
4,0.1,0.31,0.5,0,0,0,-144,-106,-118,45,0.1,0,10,3
5,0.1,0.31,0.5,0,0,11,-136,-122,79,37,0.1,0,10,3
6,0.1,0.31,0.5,5,5,11,-111,-139,-113,40,0.1,0,10,3
7,0.1,0.31,0.5,9,9,9,-221,-120,93,122,0.1,0,10,3
8,0.1,0.31,0.5,9,9,9,-127,-227,93,128,0.1,0,10,3
9,0.1,0.31,0.5,9,9,10,-120,-137,91,38,0.1,0,10,3
10,0.1,0.31,0.5,16,9,9,80,-124,92,25,0.1,0,10,3
11,0.1,0.31,0.5,25,9,9,72,-119,93,29,0.1,0,10,3
12,0.1,0.31,0.5,17,9,9,80,-219,93,120,0.1,0,10,3
13,0.1,0.31,0.5,22,9,9,-104,-122,93,23,0.1,0,10,3
14,0.1,0.31,0.5,22,9,9,81,-128,93,29,0.1,0,10,3
15,0.1,0.31,0.5,20,9,9,77,-143,-107,44,0.1,0,10,3
16,0.1,0.31,0.5,22,14,9,87,78,91,23,0.1,1,10,3
17,0.1,0.31,0.5,20,17,17,87,87,91,14,0.1,1,10,3
18,0.1,0.31,0.5,17,17,9,85,87,92,16,0.1,1,10,3
19,0.1,0.31,0.5,19,14,14,83,83,93,18,0.1,1,10,3
20,0.1,0.31,0.5,21,17,18,-111,88,91,13,0.1,0,10,3
21,0.1,0.31,0.5,27,19,12,65,86,91,36,0.1,1,10,3
22,0.1,0.31,0.5,17,14,14,81,87,93,20,0.1,1,10,3
23,0.1,0.31,0.5,21,18,16,87,87,93,14,0.1,1,10,3
24,0.1,0.31,0.5,23,17,12,87,86,92,15,0.1,1,10,3
25,0.1,0.31,0.5,18,16,15,83,84,93,18,0.1,1,10,3
26,0.1,0.31,0.5,24,17,16,-117,83,93,18,0.1,0,10,3
27,0.1,0.31,0.5,20,18,12,85,88,93,16,0.1,1,10,3
28,0.1,0.31,0.5,17,16,14,87,88,93,14,0.1,1,10,3
29,0.1,0.31,0.5,24,15,19,83,88,86,18,0.1,1,10,3
30,0.1,0.31,0.5,21,18,15,87,87,88,14,0.1,1,10,3
31,0.1,0.31,0.5,19,17,14,87,86,93,15,0.1,1,10,3
