eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,total_case_agent_2,rewards_agent_0,rewards_agent_1,rewards_agent_2,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,0.31,0.5,0,0,0,-153,-105,-122,54,0.1,0,10,3
1,0.1,0.31,0.5,0,0,0,-162,-159,-121,63,0.1,0,10,3
2,0.1,0.31,0.5,0,0,0,-118,-109,-132,33,0.1,0,10,3
3,0.1,0.31,0.5,0,0,0,-152,-136,-107,53,0.1,0,10,3
4,0.1,0.31,0.5,0,0,0,-126,-111,-113,27,0.1,0,10,3
5,0.1,0.31,0.5,0,0,0,-107,-148,-113,49,0.1,0,10,3
6,0.1,0.31,0.5,0,0,0,-191,-134,-115,92,0.1,0,10,3
7,0.1,0.31,0.5,0,0,0,-121,-108,-136,37,0.1,0,10,3
8,0.1,0.31,0.5,0,0,0,-143,-110,-129,44,0.1,0,10,3
9,0.1,0.31,0.5,0,0,0,-161,-181,-147,82,0.1,0,10,3
10,0.1,0.31,0.5,0,0,0,-177,-196,-151,97,0.1,0,10,3
11,0.1,0.31,0.5,0,0,0,-142,-138,-108,43,0.1,0,10,3
12,0.1,0.31,0.5,0,0,0,-119,-143,-133,44,0.1,0,10,3
13,0.1,0.31,0.5,0,0,0,-271,-153,-134,172,0.1,0,10,3
14,0.1,0.31,0.5,0,0,0,-143,-118,-124,44,0.1,0,10,3
15,0.1,0.31,0.5,0,0,10,-126,-158,83,59,0.1,0,10,3
16,0.1,0.31,0.5,7,7,8,-169,-141,91,70,0.1,0,10,3
17,0.1,0.31,0.5,20,7,14,40,-113,77,61,0.1,0,10,3
18,0.1,0.31,0.5,19,26,17,91,27,93,74,0.1,1,10,3
19,0.1,0.31,0.5,24,24,16,89,73,92,28,0.1,1,10,3
20,0.1,0.31,0.5,12,26,16,88,90,93,13,0.1,1,10,3
21,0.1,0.31,0.5,26,17,18,88,89,93,13,0.1,1,10,3
22,0.1,0.31,0.5,15,20,14,88,89,92,13,0.1,1,10,3
23,0.1,0.31,0.5,16,25,15,91,-116,92,17,0.1,0,10,3
24,0.1,0.31,0.5,26,23,21,88,87,93,14,0.1,1,10,3
25,0.1,0.31,0.5,18,15,20,91,90,91,11,0.1,1,10,3
26,0.1,0.31,0.5,17,28,17,91,83,91,18,0.1,1,10,3
27,0.1,0.31,0.5,17,20,16,91,83,93,18,0.1,1,10,3
28,0.1,0.31,0.5,21,26,16,89,-152,93,53,0.1,0,10,3
29,0.1,0.31,0.5,18,18,28,90,89,70,31,0.1,1,10,3
30,0.1,0.31,0.5,21,20,21,90,90,93,11,0.1,1,10,3
31,0.1,0.31,0.5,20,26,14,91,88,92,13,0.1,1,10,3
32,0.1,0.31,0.5,23,17,26,75,90,-150,51,0.1,0,10,3
33,0.1,0.31,0.5,20,21,20,89,90,93,12,0.1,1,10,3
34,0.1,0.31,0.5,28,22,13,82,87,93,19,0.1,1,10,3
35,0.1,0.31,0.5,20,18,22,90,88,93,13,0.1,1,10,3
36,0.1,0.31,0.5,19,21,18,91,85,88,16,0.1,1,10,3
37,0.1,0.31,0.5,23,25,19,91,89,93,12,0.1,1,10,3
38,0.1,0.31,0.5,20,17,22,91,90,93,11,0.1,1,10,3
39,0.1,0.31,0.5,20,21,20,91,89,91,12,0.1,1,10,3
40,0.1,0.31,0.5,23,25,20,91,90,93,11,0.1,1,10,3
41,0.1,0.31,0.5,20,19,22,89,88,92,13,0.1,1,10,3
42,0.1,0.31,0.5,28,18,26,75,90,73,28,0.1,1,10,3
43,0.1,0.31,0.5,23,24,20,91,90,93,11,0.1,1,10,3
44,0.1,0.31,0.5,20,20,22,91,90,93,11,0.1,1,10,3
45,0.1,0.31,0.5,21,19,14,88,90,93,13,0.1,1,10,3
46,0.1,0.31,0.5,22,24,17,91,90,93,11,0.1,1,10,3
47,0.1,0.31,0.5,20,19,22,89,88,93,13,0.1,1,10,3
48,0.1,0.31,0.5,19,19,15,91,88,93,13,0.1,1,10,3
49,0.1,0.31,0.5,21,20,18,91,90,-102,11,0.1,0,10,3
50,0.1,0.31,0.5,20,18,18,89,90,-102,12,0.1,0,10,3
51,0.1,0.31,0.5,17,21,17,91,84,93,17,0.1,1,10,3
52,0.1,0.31,0.5,22,22,23,89,89,87,14,0.1,1,10,3
53,0.1,0.31,0.5,20,16,22,91,90,93,11,0.1,1,10,3
54,0.1,0.31,0.5,20,25,17,91,86,93,15,0.1,1,10,3
55,0.1,0.31,0.5,24,26,19,89,82,93,19,0.1,1,10,3
56,0.1,0.31,0.5,21,20,22,87,85,-107,16,0.1,0,10,3
57,0.1,0.31,0.5,19,21,19,91,90,93,11,0.1,1,10,3
58,0.1,0.31,0.5,21,22,15,91,88,93,13,0.1,1,10,3
59,0.1,0.31,0.5,24,19,21,85,89,93,16,0.1,1,10,3
60,0.1,0.31,0.5,19,21,19,91,88,93,13,0.1,1,10,3
61,0.1,0.31,0.5,22,23,15,91,90,93,11,0.1,1,10,3
62,0.1,0.31,0.5,22,19,25,89,90,89,12,0.1,1,10,3
63,0.1,0.31,0.5,19,21,21,91,90,93,11,0.1,1,10,3
64,0.1,0.31,0.5,21,22,14,90,90,93,11,0.1,1,10,3
65,0.1,0.31,0.5,22,20,21,85,90,93,16,0.1,1,10,3
66,0.1,0.31,0.5,19,19,19,91,88,93,13,0.1,1,10,3
