eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size
96,0.1,0.2,0.1,22,26,81,88,20,0.1,1,10
97,0.1,0.2,0.1,25,23,85,85,16,0.1,1,10
98,0.1,0.2,0.1,24,21,81,87,20,0.1,1,10
99,0.1,0.2,0.1,24,23,-106,88,13,0.1,0,10
100,0.1,0.2,0.1,24,23,-108,88,13,0.1,0,10
101,0.1,0.2,0.1,24,23,-106,86,15,0.1,0,10
102,0.1,0.2,0.1,24,19,-106,88,13,0.1,0,10
103,0.1,0.2,0.1,16,22,-106,88,13,0.1,0,10
104,0.1,0.2,0.1,16,20,-127,88,28,0.1,0,10
105,0.1,0.2,0.1,26,16,75,87,26,0.1,1,10
106,0.1,0.2,0.1,24,25,85,88,16,0.1,1,10
107,0.1,0.2,0.1,26,25,82,88,19,0.1,1,10
108,0.1,0.2,0.1,25,25,82,87,19,0.1,1,10
109,0.1,0.2,0.1,27,23,78,86,23,0.1,1,10
110,0.1,0.2,0.1,28,24,75,88,26,0.1,1,10
111,0.1,0.2,0.1,27,17,83,92,18,0.1,1,10
112,0.1,0.2,0.1,28,24,83,88,18,0.1,1,10
113,0.1,0.2,0.1,28,24,79,88,22,0.1,1,10
114,0.1,0.2,0.1,30,24,73,86,28,0.1,1,10
115,0.1,0.2,0.1,28,24,82,92,19,0.1,1,10
116,0.1,0.2,0.1,28,25,83,88,18,0.1,1,10
117,0.1,0.2,0.1,27,25,87,88,14,0.1,1,10
118,0.1,0.2,0.1,26,23,86,88,15,0.1,1,10
119,0.1,0.2,0.1,23,22,79,88,22,0.1,1,10
120,0.1,0.2,0.1,24,23,83,87,18,0.1,1,10
121,0.1,0.2,0.1,23,24,83,79,22,0.1,1,10
122,0.1,0.2,0.1,24,25,83,-119,20,0.1,0,10
123,0.1,0.2,0.1,24,19,83,88,18,0.1,1,10
124,0.1,0.2,0.1,22,25,82,86,19,0.1,1,10
125,0.1,0.2,0.1,23,25,83,88,18,0.1,1,10
126,0.1,0.2,0.1,22,26,83,83,18,0.1,1,10
127,0.1,0.2,0.1,25,24,87,88,14,0.1,1,10
128,0.1,0.2,0.1,25,24,83,88,18,0.1,1,10
129,0.1,0.2,0.1,25,24,87,86,15,0.1,1,10
130,0.1,0.2,0.1,23,24,87,88,14,0.1,1,10
131,0.1,0.2,0.1,25,23,85,83,18,0.1,1,10
132,0.1,0.2,0.1,25,23,79,88,22,0.1,1,10
133,0.1,0.2,0.1,26,24,80,92,21,0.1,1,10
134,0.1,0.2,0.1,26,20,83,88,18,0.1,1,10
135,0.1,0.2,0.1,26,25,87,86,15,0.1,1,10
136,0.1,0.2,0.1,33,25,70,86,31,0.1,1,10
137,0.1,0.2,0.1,31,25,83,88,18,0.1,1,10
138,0.1,0.2,0.1,30,25,83,86,18,0.1,1,10
139,0.1,0.2,0.1,30,26,-107,86,15,0.1,0,10
140,0.1,0.2,0.1,30,26,80,88,21,0.1,1,10
141,0.1,0.2,0.1,27,23,83,86,18,0.1,1,10
142,0.1,0.2,0.1,21,23,83,88,18,0.1,1,10
143,0.1,0.2,0.1,22,23,81,87,20,0.1,1,10
144,0.1,0.2,0.1,22,23,83,88,18,0.1,1,10
145,0.1,0.2,0.1,23,17,83,88,18,0.1,1,10
146,0.1,0.2,0.1,23,23,83,88,18,0.1,1,10
147,0.1,0.2,0.1,22,23,83,88,18,0.1,1,10
148,0.1,0.2,0.1,23,23,83,88,18,0.1,1,10
