eps,inc_success,dec_unsuccess,dec_success_nocase,total_case_agent_0,total_case_agent_1,rewards_agent_0,rewards_agent_1,total_steps,del_threshold,eps_status,grid_size,num_agents
0,0.1,1,1,0,0,-110,-142,43,0.1,0,10,2
1,0.1,1,1,0,0,-110,-119,20,0.1,0,10,2
2,0.1,1,1,0,0,-140,-117,41,0.1,0,10,2
3,0.1,1,1,0,0,-113,-123,24,0.1,0,10,2
4,0.1,1,1,0,0,-111,-129,30,0.1,0,10,2
5,0.1,1,1,0,0,-122,-116,23,0.1,0,10,2
6,0.1,1,1,0,0,-114,-127,28,0.1,0,10,2
7,0.1,1,1,0,28,-133,18,83,0.1,0,10,2
8,0.1,1,1,11,12,-153,89,54,0.1,0,10,2
9,0.1,1,1,25,12,53,87,48,0.1,1,10,2
10,0.1,1,1,21,23,81,86,20,0.1,1,10,2
11,0.1,1,1,22,12,69,86,32,0.1,1,10,2
12,0.1,1,1,21,25,77,80,24,0.1,1,10,2
13,0.1,1,1,22,12,75,90,26,0.1,1,10,2
14,0.1,1,1,21,22,74,87,27,0.1,1,10,2
15,0.1,1,1,21,12,81,90,20,0.1,1,10,2
16,0.1,1,1,21,22,79,90,22,0.1,1,10,2
17,0.1,1,1,14,11,-108,88,13,0.1,0,10,2
18,0.1,1,1,14,12,-116,90,17,0.1,0,10,2
19,0.1,1,1,14,11,-104,90,11,0.1,0,10,2
20,0.1,1,1,27,12,55,90,46,0.1,1,10,2
21,0.1,1,1,24,21,74,90,27,0.1,1,10,2
22,0.1,1,1,22,13,75,88,26,0.1,1,10,2
23,0.1,1,1,15,13,-108,-154,55,0.1,0,10,2
24,0.1,1,1,15,12,-134,-132,35,0.1,0,10,2
25,0.1,1,1,15,12,-105,83,18,0.1,0,10,2
26,0.1,1,1,18,10,-134,92,35,0.1,0,10,2
27,0.1,1,1,30,10,36,90,65,0.1,1,10,2
28,0.1,1,1,19,16,77,91,24,0.1,1,10,2
29,0.1,1,1,28,14,57,92,44,0.1,1,10,2
30,0.1,1,1,23,17,79,90,22,0.1,1,10,2
31,0.1,1,1,15,16,-111,82,19,0.1,0,10,2
32,0.1,1,1,18,10,-118,92,19,0.1,0,10,2
33,0.1,1,1,19,10,-121,92,22,0.1,0,10,2
34,0.1,1,1,19,10,-122,89,23,0.1,0,10,2
35,0.1,1,1,19,10,-141,92,42,0.1,0,10,2
36,0.1,1,1,19,10,-165,90,66,0.1,0,10,2
37,0.1,1,1,25,24,34,43,67,0.1,1,10,2
38,0.1,1,1,15,19,-158,88,59,0.1,0,10,2
39,0.1,1,1,17,11,64,92,37,0.1,1,10,2
40,0.1,1,1,19,13,71,89,30,0.1,1,10,2
41,0.1,1,1,15,17,91,92,10,0.1,1,10,2
42,0.1,1,1,15,12,91,92,10,0.1,1,10,2
43,0.1,1,1,15,17,91,91,10,0.1,1,10,2
44,0.1,1,1,13,11,90,92,11,0.1,1,10,2
45,0.1,1,1,9,14,-107,86,15,0.1,0,10,2
46,0.1,1,1,12,9,-105,92,9,0.1,0,10,2
47,0.1,1,1,13,10,-182,92,83,0.1,0,10,2
48,0.1,1,1,18,10,57,92,44,0.1,1,10,2
49,0.1,1,1,17,15,-104,92,9,0.1,0,10,2
50,0.1,1,1,14,10,-132,92,33,0.1,0,10,2
51,0.1,1,1,14,9,-102,92,9,0.1,0,10,2
52,0.1,1,1,13,10,-139,92,40,0.1,0,10,2
53,0.1,1,1,12,10,-150,91,51,0.1,0,10,2
54,0.1,1,1,12,10,-111,92,12,0.1,0,10,2
55,0.1,1,1,12,10,-157,92,58,0.1,0,10,2
56,0.1,1,1,12,10,-129,92,30,0.1,0,10,2
57,0.1,1,1,12,10,-163,91,64,0.1,0,10,2
58,0.1,1,1,12,10,-147,92,48,0.1,0,10,2
59,0.1,1,1,12,10,-126,91,27,0.1,0,10,2
60,0.1,1,1,12,10,-125,92,26,0.1,0,10,2
61,0.1,1,1,12,10,-151,88,52,0.1,0,10,2
62,0.1,1,1,12,9,-102,91,10,0.1,0,10,2
63,0.1,1,1,12,10,-127,92,28,0.1,0,10,2
64,0.1,1,1,12,9,-106,92,9,0.1,0,10,2
65,0.1,1,1,12,10,-137,92,38,0.1,0,10,2
66,0.1,1,1,12,10,-134,90,35,0.1,0,10,2
67,0.1,1,1,12,9,-107,92,9,0.1,0,10,2
68,0.1,1,1,12,10,-147,92,48,0.1,0,10,2
69,0.1,1,1,12,9,-104,91,10,0.1,0,10,2
70,0.1,1,1,12,10,-119,92,20,0.1,0,10,2
71,0.1,1,1,18,10,57,92,44,0.1,1,10,2
72,0.1,1,1,23,17,85,92,16,0.1,1,10,2
73,0.1,1,1,14,11,85,92,16,0.1,1,10,2
74,0.1,1,1,22,19,87,90,14,0.1,1,10,2
75,0.1,1,1,15,12,87,92,14,0.1,1,10,2
76,0.1,1,1,21,17,87,92,14,0.1,1,10,2
77,0.1,1,1,15,12,87,91,14,0.1,1,10,2
78,0.1,1,1,18,15,87,-111,14,0.1,0,10,2
79,0.1,1,1,19,18,77,-118,24,0.1,0,10,2
80,0.1,1,1,15,11,87,82,19,0.1,1,10,2
81,0.1,1,1,17,19,85,88,16,0.1,1,10,2
82,0.1,1,1,12,10,-118,92,19,0.1,0,10,2
83,0.1,1,1,15,10,64,89,37,0.1,1,10,2
84,0.1,1,1,19,20,91,90,11,0.1,1,10,2
85,0.1,1,1,11,10,91,92,10,0.1,1,10,2
86,0.1,1,1,19,19,91,92,10,0.1,1,10,2
87,0.1,1,1,10,16,91,-104,10,0.1,0,10,2
88,0.1,1,1,11,12,91,82,19,0.1,1,10,2
89,0.1,1,1,19,18,91,92,10,0.1,1,10,2
90,0.1,1,1,12,11,88,92,13,0.1,1,10,2
91,0.1,1,1,12,18,91,88,13,0.1,1,10,2
92,0.1,1,1,11,14,91,70,31,0.1,1,10,2
93,0.1,1,1,15,16,89,92,12,0.1,1,10,2
94,0.1,1,1,11,12,90,83,18,0.1,1,10,2
95,0.1,1,1,14,17,87,81,20,0.1,1,10,2
96,0.1,1,1,16,13,91,90,11,0.1,1,10,2
97,0.1,1,1,14,16,90,92,11,0.1,1,10,2
98,0.1,1,1,16,13,91,92,10,0.1,1,10,2
99,0.1,1,1,11,17,-105,85,16,0.1,0,10,2
100,0.1,1,1,13,11,-146,90,47,0.1,0,10,2
101,0.1,1,1,13,10,-115,92,16,0.1,0,10,2
102,0.1,1,1,13,10,-141,92,42,0.1,0,10,2
103,0.1,1,1,13,14,-111,70,31,0.1,0,10,2
104,0.1,1,1,12,10,-135,92,36,0.1,0,10,2
105,0.1,1,1,12,10,-147,92,48,0.1,0,10,2
106,0.1,1,1,29,10,36,92,65,0.1,1,10,2
107,0.1,1,1,20,14,83,-105,18,0.1,0,10,2
108,0.1,1,1,18,18,83,-110,18,0.1,0,10,2
109,0.1,1,1,19,13,83,84,18,0.1,1,10,2
110,0.1,1,1,20,20,83,90,18,0.1,1,10,2
111,0.1,1,1,6,10,-119,92,20,0.1,0,10,2
112,0.1,1,1,7,10,-141,92,42,0.1,0,10,2
113,0.1,1,1,9,10,-112,92,13,0.1,0,10,2
114,0.1,1,1,9,10,-141,92,42,0.1,0,10,2
115,0.1,1,1,10,9,-106,92,9,0.1,0,10,2
116,0.1,1,1,10,11,-158,83,59,0.1,0,10,2
117,0.1,1,1,22,13,70,87,31,0.1,1,10,2
118,0.1,1,1,19,20,83,89,18,0.1,1,10,2
119,0.1,1,1,21,13,81,90,20,0.1,1,10,2
120,0.1,1,1,20,21,81,80,21,0.1,1,10,2
